year,GP,GS,minutes,oRebounds,PF,fgAttempted,ftMade,threeAttempted,dq,PostGP,PostGS,PostoRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostthreeAttempted,PostDQ,total_rebounds,total_blocks,total_steals,total_turnovers,FG%,FT%,award,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,Usability,POSITION_METRIC,playoff,playerID,tmID,pos
7,23,20,414,28,73,112,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,10,7,29,0.5267857142857143,0.7777777777777778,0,3.6956521739130435,0.30434782608695654,1.2608695652173914,0.45,0.12190166598943518,0,anderch01w,SAS,C
8,11,1,86,6,11,20,8,0,0,2,0,1,1,0,0,0,0,3,2,0,0,21,5,1,5,0.47619047619047616,0.7142857142857143,0,1.8181818181818181,0.09090909090909091,0.45454545454545453,0.19545454545454546,0.12744265080713676,1,anderch01w,SAS,C
9,24,7,367,11,17,126,11,69,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,7,16,0.2777777777777778,0.7333333333333333,0,2.4166666666666665,0.2916666666666667,0.6666666666666666,0.38229166666666664,0.29545454545454547,1,anderjo01w,CON,G
1,30,9,434,12,53,68,14,8,0,2,2,2,5,5,0,0,4,1,2,0,0,51,3,25,51,0.4225352112676056,0.7,0,1.5333333333333334,0.8333333333333334,1.5666666666666667,0.3616666666666667,0.2901353965183752,1,anderke01w,WAS,G
2,18,0,102,3,8,16,8,2,0,2,0,0,0,1,1,0,1,1,0,1,0,15,0,7,18,0.11764705882352941,0.8,0,0.8333333333333334,0.3333333333333333,0.9444444444444444,0.14166666666666666,0.1497326203208556,1,anderke01w,CHA,G
3,7,0,31,2,4,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0.25,0.0,0,0.8571428571428571,0.0,0.42857142857142855,0.11071428571428571,0.30303030303030304,1,anderke01w,CHA,G
1,32,18,797,32,91,195,60,75,1,6,5,5,17,14,6,3,11,17,9,9,0,112,13,47,76,0.42543859649122806,0.7303370786516854,0,2.96875,1.28125,2.03125,0.62265625,0.25592672413793105,1,andrame01w,CLE,F
2,32,32,893,21,77,171,30,30,0,3,3,5,9,1,2,2,7,9,0,2,0,96,12,53,68,0.3404255319148936,0.6666666666666666,0,2.71875,1.59375,1.90625,0.69765625,0.23437500000000003,1,andrame01w,CLE,F
3,32,16,665,17,82,111,18,26,2,0,0,0,0,0,0,0,0,0,0,0,0,56,6,29,41,0.3063063063063063,0.782608695652174,0,1.75,0.90625,1.28125,0.51953125,0.15086206896551724,0,andrame01w,CLE,F
5,12,0,65,1,12,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0.42857142857142855,1.0,0,0.3333333333333333,0.0,0.25,0.13541666666666666,0.028735632183908046,0,andrame01w,CHA,F
9,34,34,920,78,125,226,116,1,2,0,0,0,0,0,0,0,0,0,0,0,0,231,43,75,42,0.43805309734513276,0.6987951807228916,0,6.794117647058823,2.2058823529411766,1.2352941176470589,0.6764705882352942,0.3545904343045629,0,anosini01w,MIN,C
10,30,29,896,73,88,265,135,4,1,0,0,0,0,0,0,0,0,0,0,0,0,222,28,81,61,0.49056603773584906,0.6958762886597938,0,7.4,2.7,2.033333333333333,0.7466666666666667,0.2616822429906542,0,anosini01w,MIN,C
1,32,32,977,36,66,233,41,45,1,6,6,6,27,12,10,0,16,14,7,7,0,146,3,52,69,0.4642857142857143,0.8392857142857143,0,3.71875,1.3125,1.65625,0.76328125,0.2058319039451115,1,arcaija01w,HOU,G
2,32,32,1154,49,82,509,135,66,1,2,2,2,11,5,2,0,5,5,2,8,0,147,3,62,88,0.42357274401473294,0.9013157894736842,1,4.25,1.875,2.59375,0.9015625,0.20591456736035052,1,arcaija01w,HOU,G
3,32,32,1116,42,49,302,98,37,0,3,3,2,11,4,5,1,5,11,8,7,0,137,7,56,76,0.42433234421364985,0.8823529411764706,0,3.9375,1.59375,2.21875,0.871875,0.22023047375160051,1,arcaija01w,HOU,G
4,34,34,1136,24,64,324,79,37,0,3,3,6,14,3,8,0,7,5,13,5,0,150,1,49,57,0.4591549295774648,0.8504672897196262,0,4.0,1.2058823529411764,1.4705882352941178,0.8352941176470589,0.24363636363636365,1,arcaija01w,HOU,G
6,34,34,1079,20,85,304,83,16,0,5,5,1,10,6,6,0,2,5,12,1,0,103,6,61,58,0.42729970326409494,0.8962264150943396,0,2.735294117647059,1.6176470588235294,1.6470588235294117,0.7933823529411764,0.17207792207792208,1,arcaija01w,HOU,G
1,32,32,869,96,95,209,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,231,21,17,49,0.40669856459330145,0.6837606837606838,0,7.21875,0.53125,1.53125,0.67890625,0.18399532710280372,0,askamma01w,MIA,C
2,30,11,431,35,62,58,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,11,12,19,0.4827586206896552,0.5625,0,2.9,0.4,0.6333333333333333,0.3591666666666667,0.10280373831775699,1,askamma01w,MIA,C
3,26,5,287,30,34,65,12,1,0,4,3,1,3,0,0,0,0,4,2,0,0,63,5,12,12,0.42857142857142855,0.5185185185185185,0,2.3076923076923075,0.46153846153846156,0.46153846153846156,0.2759615384615385,0.053918044572250176,0,askamma01w,MIA,C
7,33,1,417,25,31,87,18,17,0,2,0,10,17,3,1,2,2,2,4,0,0,93,7,19,36,0.4166666666666667,0.46511627906976744,0,2.303030303030303,0.5454545454545454,1.0303030303030303,0.3159090909090909,0.39215686274509803,1,atkinla01w,IND,G-F
8,28,0,226,13,15,47,14,2,0,2,0,0,0,0,1,0,1,0,0,0,0,44,5,11,34,0.4489795918367347,0.7368421052631579,0,1.5714285714285714,0.35714285714285715,1.1785714285714286,0.2017857142857143,0.0,1,atkinla01w,SAC,G-F
9,5,1,73,3,5,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,5,10,0.375,0.5,0,2.8,1.0,2.0,0.365,0.0,1,atkinla01w,SAC,G-F
10,2,1,46,6,5,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,10,4,0.25,0.5,0,9.0,5.0,2.0,0.575,0.0,1,atkinla01w,SEA,G-F
9,33,0,348,16,21,87,11,41,0,8,0,0,7,4,1,1,1,4,2,4,0,55,14,17,27,0.29473684210526313,0.6111111111111112,0,1.4545454545454546,0.48484848484848486,0.7878787878787878,0.2636363636363636,0.39024390243902435,1,atunrmo01w,SAS,G-F
7,34,34,1124,15,58,620,148,85,0,0,0,0,0,0,0,0,0,0,0,0,0,128,18,21,71,0.45645161290322583,0.896969696969697,1,3.764705882352941,0.6176470588235294,2.088235294117647,0.8264705882352941,0.32454361054766734,0,augusse01w,MIN,F
8,34,34,1093,37,58,583,151,62,0,0,0,0,0,0,0,0,0,0,0,0,0,136,21,41,83,0.5077186963979416,0.8728323699421965,0,4.0,1.2058823529411764,2.4411764705882355,0.8036764705882353,0.3448275862068966,0,augusse01w,MIN,F
9,31,31,1042,28,46,496,105,63,0,0,0,0,0,0,0,0,0,0,0,0,0,120,12,32,52,0.46975806451612906,0.8898305084745762,0,3.870967741935484,1.032258064516129,1.6774193548387097,0.8403225806451613,0.33370411568409347,0,augusse01w,MIN,F
10,6,6,178,4,5,86,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,12,13,0.5697674418604651,0.9047619047619048,0,4.166666666666667,2.0,2.1666666666666665,0.7416666666666667,0.3591954022988506,0,augusse01w,MIN,F
1,4,0,13,1,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0,1.25,0.0,0.0,0.08125,0.0,0,aycocan01w,SEA,G-F
4,7,0,44,2,5,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,3,0.2857142857142857,0.5,0,1.2857142857142858,0.0,0.42857142857142855,0.15714285714285714,0.11083743842364534,0,azizle01w,IND,F
1,15,15,559,5,43,104,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,12,28,0.4519230769230769,0.9302325581395349,0,2.7333333333333334,0.8,1.8666666666666667,0.9316666666666666,0.5974025974025974,0,azzije01w,SAS,G
2,32,32,1205,10,89,184,88,74,1,2,2,0,3,10,1,1,5,7,1,7,0,101,11,23,74,0.3979591836734694,0.9175257731958762,0,3.0625,0.6875,2.15625,0.94140625,0.4505928853754941,1,azzije01w,SAS,G
3,32,32,1151,15,102,198,83,92,0,5,5,2,13,34,4,5,8,20,8,19,0,82,19,31,75,0.45021645021645024,0.8035714285714286,0,2.15625,0.84375,2.09375,0.89921875,0.42876526458616016,1,azzije01w,SAS,G
4,34,34,1136,10,98,211,51,97,2,0,0,0,0,0,0,0,0,0,0,0,0,91,9,27,61,0.4028436018957346,0.7846153846153846,0,2.676470588235294,0.7941176470588235,1.7941176470588236,0.8352941176470589,0.330849478390462,0,azzije01w,SAS,G
1,25,0,201,2,16,48,5,24,0,5,0,0,1,1,2,0,1,1,1,3,0,12,1,19,19,0.3508771929824561,0.7142857142857143,0,0.44,0.68,0.72,0.201,0.21212121212121213,1,badertr01w,CLE,G
2,19,0,114,2,7,20,0,13,0,1,0,1,1,0,0,0,0,0,0,2,0,13,0,5,8,0.36363636363636365,0.0,0,0.631578947368421,0.2631578947368421,0.42105263157894735,0.15,0.25,1,badertr01w,CLE,G
3,18,0,132,1,3,26,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,7,0.15384615384615385,0.8333333333333334,0,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.18333333333333332,0.38961038961038963,0,badertr01w,CLE,G
7,34,16,614,23,69,251,48,33,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,46,50,0.38645418326693226,0.8571428571428571,0,1.6470588235294117,1.3529411764705883,1.4705882352941178,0.4514705882352941,0.12727272727272726,0,bakersh01w,NYL,G
8,27,11,505,17,59,194,70,34,1,0,0,0,0,0,0,0,0,0,0,0,0,70,2,36,65,0.33505154639175255,0.8333333333333334,0,2.5925925925925926,1.3333333333333333,2.4074074074074074,0.4675925925925926,0.2153846153846154,1,bakersh01w,NYL,G
9,13,0,110,7,15,37,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,9,11,0.32432432432432434,0.7352941176470589,0,1.6923076923076923,0.6923076923076923,0.8461538461538461,0.21153846153846154,0.24793388429752064,1,bakersh01w,IND,G
10,1,0,11,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.6666666666666666,1.0,0,1.0,1.0,1.0,0.275,0.18181818181818182,1,bakersh01w,DET,G
8,17,0,169,12,14,42,7,0,0,4,0,0,2,1,0,0,1,2,0,0,0,47,13,4,8,0.5217391304347826,0.875,0,2.6470588235294117,0.23529411764705882,0.4117647058823529,0.2485294117647059,0.21440351841671246,1,balesal01w,IND,C
9,31,9,515,27,55,110,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,124,43,20,13,0.4,0.7,0,4.0,0.6451612903225806,0.41935483870967744,0.4153225806451613,0.38890563762435937,1,balesal01w,IND,C
1,9,0,21,2,3,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0.2857142857142857,0.5,0,0.3333333333333333,0.0,0.2222222222222222,0.058333333333333334,0.0,1,banchrh01w,SAC,C
2,32,30,984,40,81,330,66,80,2,3,3,7,18,7,2,2,9,9,11,11,0,209,59,35,71,0.4297520661157025,0.9024390243902439,0,5.96875,1.03125,1.9375,0.76875,0.5145474137931035,1,baranel01w,MIA,F
4,33,7,850,45,69,257,31,91,0,0,0,0,0,0,0,0,0,0,0,0,0,181,43,36,62,0.4163424124513619,0.8857142857142857,0,5.484848484848484,1.0909090909090908,1.878787878787879,0.6439393939393939,0.4728317659352142,0,baranel01w,NYL,F
5,34,33,1048,33,88,315,49,115,0,5,5,7,34,10,4,9,12,18,10,13,0,280,67,41,92,0.45609065155807366,0.9047619047619048,0,7.235294117647059,1.088235294117647,2.3529411764705883,0.7705882352941177,0.6237322515212982,1,baranel01w,NYL,F
6,33,33,953,39,79,236,47,85,1,2,2,1,8,2,3,2,1,4,2,3,0,235,48,28,60,0.4349593495934959,0.8596491228070176,0,6.878787878787879,0.7575757575757576,1.7878787878787878,0.7219696969696969,0.5929989550679207,1,baranel01w,NYL,F
2,5,0,35,1,3,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0.1,0.0,0,1.2,0.4,0.2,0.175,0.7272727272727273,0,barksla01w,POR,G
3,17,3,285,18,31,101,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,8,23,0.3564356435643564,0.8846153846153846,0,2.3529411764705883,0.47058823529411764,1.3529411764705883,0.41911764705882354,0.09486166007905138,0,barksla01w,POR,G
4,26,0,168,8,21,79,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,1,10,0.26582278481012656,1.0,0,1.2692307692307692,0.038461538461538464,0.38461538461538464,0.16153846153846155,0.09090909090909091,0,barksla01w,SAS,G
1,5,0,18,2,2,5,2,1,0,4,0,0,1,2,0,0,1,0,0,1,0,3,0,0,3,0.5714285714285714,0.5,0,0.4,0.0,0.4,0.09,0.03448275862068966,1,barnead01w,CLE,F
2,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0,0.3333333333333333,0.0,0.0,0.025,0.028735632183908046,1,barnead01w,CLE,F
3,26,17,493,45,64,111,15,4,1,2,2,3,8,3,3,0,7,4,0,4,0,110,9,35,32,0.3416666666666667,0.5172413793103449,0,3.923076923076923,1.2307692307692308,0.9615384615384616,0.4740384615384615,0.33819628647214856,1,barnead01w,SEA,F
4,16,16,396,26,36,84,12,31,1,0,0,0,0,0,0,0,0,0,0,0,0,65,7,11,18,0.38095238095238093,0.5714285714285714,0,4.0625,0.6875,1.125,0.61875,0.35021551724137934,0,barnead01w,SEA,F
5,34,2,402,33,38,69,22,6,0,6,0,4,8,5,3,1,1,10,4,0,0,71,3,26,25,0.3,0.6571428571428571,0,1.8529411764705883,0.6764705882352942,0.7058823529411765,0.29558823529411765,0.15973630831643004,1,barnead01w,SEA,F
1,31,23,705,27,103,213,30,9,2,0,0,0,0,0,0,0,0,0,0,0,0,84,33,19,62,0.41784037558685444,0.5357142857142857,0,2.7096774193548385,0.6129032258064516,2.0,0.5685483870967742,0.2984624660838106,0,barnequ01w,SEA,C
2,20,3,229,14,29,59,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,9,16,0.3898305084745763,0.7777777777777778,0,1.7,0.45,0.8,0.28625,0.08411214953271028,0,barnequ01w,SEA,C
3,2,0,13,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0.0,0.75,0,0.5,0.5,0.0,0.1625,0.2803738317757009,0,barnequ01w,PHO,C
6,29,0,461,26,85,174,45,7,1,3,0,2,10,0,0,2,5,8,5,0,0,104,26,17,37,0.44086021505376344,0.746031746031746,0,3.2413793103448274,0.5862068965517241,1.103448275862069,0.39741379310344827,0.2320335159523042,1,batkosu01w,SEA,C
10,20,0,147,9,29,43,2,11,0,3,0,0,10,0,4,7,7,9,4,13,0,39,13,9,31,0.49295774647887325,0.4166666666666667,0,1.45,0.25,1.2,0.18375,0.08411214953271028,1,batkosu01w,SEA,C
6,8,0,46,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,0.0,0.0,0,0.625,0.0,0.375,0.14375,0.05387931034482759,0,batteja01w,MIN,F
7,26,1,178,13,21,54,4,14,0,4,0,0,0,1,0,0,0,1,0,1,0,25,3,2,4,0.26785714285714285,0.5714285714285714,0,0.9615384615384616,0.07692307692307693,0.15384615384615385,0.17115384615384616,0.08289124668435013,1,batteja01w,DET,F
6,2,0,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0.5,0.0,0,1.0,0.0,0.5,0.1,0.08620689655172414,1,battlas01w,SEA,F
7,33,2,455,13,32,141,20,46,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,31,38,0.3829787234042553,0.8,0,1.878787878787879,0.9393939393939394,1.1515151515151516,0.3446969696969697,0.16196447230929992,0,battlas01w,NYL,F
8,34,5,757,32,50,244,45,93,0,3,0,0,7,4,1,0,1,8,2,2,0,133,2,36,49,0.3643410852713178,0.7666666666666667,0,3.7058823529411766,1.0294117647058822,1.411764705882353,0.5566176470588236,0.3194726166328601,1,battlas01w,NYL,F
9,34,0,336,18,26,98,36,30,0,6,0,2,13,9,5,1,3,5,0,9,0,66,2,20,31,0.375,0.72,0,1.5588235294117647,0.4411764705882353,0.8235294117647058,0.24705882352941178,0.13438133874239352,1,battlas01w,NYL,F
10,34,3,548,17,48,148,32,46,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2,31,52,0.42567567567567566,0.6956521739130435,0,2.5,0.9117647058823529,1.5294117647058822,0.40294117647058825,0.21551724137931036,0,battlas01w,NYL,F
1,29,18,398,20,72,72,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56,3,8,28,0.4027777777777778,0.8571428571428571,0,1.9310344827586208,0.27586206896551724,0.9655172413793104,0.3431034482758621,0.5555555555555556,0,bauerca01w,CHA,F-C
2,15,0,102,8,12,17,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,2,6,0.29411764705882354,0.5,0,1.2,0.13333333333333333,0.4,0.17,0.46439628482972134,0,bauerca01w,WAS,F-C
3,25,2,233,14,34,57,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,2,25,0.2982456140350877,0.6,0,1.64,0.08,1.0,0.233,0.39704524469067404,0,bauerca01w,SAC,F-C
5,34,34,1025,28,98,380,107,56,0,3,3,2,15,9,6,8,10,8,13,4,0,158,42,75,90,0.42042755344418054,0.7407407407407407,0,4.205882352941177,2.0294117647058822,2.3529411764705883,0.7536764705882353,0.5,1,beardal01w,WAS,G-F
6,30,30,1015,25,87,408,80,101,0,0,0,0,0,0,0,0,0,0,0,0,0,130,9,45,63,0.3799019607843137,0.7619047619047619,0,4.333333333333333,1.5,2.1,0.8458333333333333,0.42244224422442245,0,beardal01w,WAS,G-F
7,32,32,994,23,92,469,113,102,4,2,2,2,10,2,6,2,4,6,10,5,0,159,27,65,94,0.4792079207920792,0.7672955974842768,0,4.65625,1.84375,2.8125,0.7765625,0.4836601307189542,1,beardal01w,WAS,G-F
8,33,33,1169,25,105,539,127,146,2,0,0,0,0,0,0,0,0,0,0,0,0,139,24,64,94,0.4155844155844156,0.8466666666666667,0,4.212121212121212,1.9393939393939394,2.8484848484848486,0.8856060606060606,0.4292237442922374,0,beardal01w,WAS,G-F
9,33,33,1092,4,111,474,107,144,2,0,0,0,0,0,0,0,0,0,0,0,0,118,19,55,106,0.39451476793248946,0.7328767123287672,0,3.5757575757575757,1.6666666666666667,3.212121212121212,0.8272727272727273,0.4722222222222222,0,beardal01w,WAS,G-F
10,31,30,985,19,97,438,84,107,2,2,2,1,4,5,2,0,0,6,3,8,0,127,18,74,100,0.4224137931034483,0.7350427350427351,0,3.967741935483871,2.3225806451612905,3.225806451612903,0.7943548387096774,0.3987538940809968,1,beardal01w,WAS,G-F
9,17,0,93,2,7,9,5,6,0,2,0,0,0,0,0,0,0,0,0,1,0,12,2,4,4,0.4,0.8333333333333334,0,0.7058823529411765,0.23529411764705882,0.23529411764705882,0.13676470588235295,0.2727272727272727,1,beckki01w,SEA,G
6,10,0,52,3,5,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,4,0.375,0.75,0,0.6,0.1,0.4,0.13,0.05172413793103448,1,bennije01w,IND,F
9,2,0,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.075,0.0,1,berezva01w,SAS,C
