year,GP,GS,minutes,oRebounds,PF,fgAttempted,ftMade,threeAttempted,dq,PostGP,PostGS,PostoRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostthreeAttempted,PostDQ,total_rebounds,total_blocks,total_steals,total_turnovers,FG%,FT%,award,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,Usability,POSITION_METRIC,playoff,playerID,tmID,pos
1,28,0,424,32,65,108,37,4,1,0,0,0,0,0,0,0,0,0,0,0,0,62,1,32,27,0.3055555555555556,0.5873015873015873,0,2.2142857142857144,1.1428571428571428,0.9642857142857143,0.37857142857142856,0.3333333333333333,0,fordki01w,MIA,G-F
2,30,1,395,19,43,80,18,11,0,3,0,1,1,2,0,0,1,3,0,0,0,66,5,17,19,0.3176470588235294,0.5625,0,2.1666666666666665,0.5666666666666667,0.6,0.32916666666666666,0.12121212121212122,1,fordki01w,MIA,G-F
2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0,1.0,0.0,0.0,0.075,0.08620689655172414,1,fordst01w,NYL,F
3,5,0,12,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0.5,0.0,0,0.4,0.0,0.2,0.06,0.03448275862068966,0,fordst01w,SAC,F
9,17,14,430,28,32,150,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127,36,19,37,0.5133333333333333,0.5853658536585366,0,7.470588235294118,1.1176470588235294,2.176470588235294,0.6323529411764706,0.593732820230896,0,fowlesy01w,CHI,C
10,24,20,692,52,72,172,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,188,35,21,76,0.5988372093023255,0.6464646464646465,0,7.833333333333333,0.875,3.1666666666666665,0.7208333333333333,0.40887850467289716,0,fowlesy01w,CHI,C
1,1,0,2,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.0,1,francde01w,NYL,F
9,34,0,351,5,44,70,9,24,0,3,0,0,1,1,1,0,2,2,0,4,0,46,1,17,28,0.2631578947368421,0.6428571428571429,0,1.3235294117647058,0.47058823529411764,0.7647058823529411,0.2580882352941177,0.4125874125874126,1,frankaq01w,SAC,G
10,2,0,20,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0.0,0.0,0,1.0,0.5,0.5,0.25,0.18181818181818182,1,frankaq01w,SEA,G
10,29,0,326,27,43,126,27,37,0,1,0,0,0,0,0,0,0,0,2,0,0,84,5,8,21,0.4094488188976378,0.7073170731707317,0,2.896551724137931,0.27586206896551724,0.7241379310344828,0.2810344827586207,0.24970273483947683,1,frazeme01w,SAS,F
1,21,0,222,4,14,30,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,14,0.3333333333333333,0.9166666666666666,0,0.8571428571428571,0.19047619047619047,0.6666666666666666,0.2642857142857143,0.22077922077922077,0,fresest01w,SAS,G
1,25,0,187,8,10,51,12,1,0,3,0,0,0,0,0,0,0,0,4,0,0,24,6,7,13,0.2962962962962963,0.75,0,0.96,0.28,0.52,0.187,0.08275862068965517,1,frettla01w,LAS,F
2,30,10,403,23,30,126,30,0,0,5,0,2,2,1,0,0,1,2,2,0,0,57,6,10,33,0.373134328358209,0.8648648648648649,0,1.8333333333333333,0.3333333333333333,1.0666666666666667,0.3358333333333333,0.15804597701149425,1,frettla01w,SAC,F
3,32,15,648,30,70,187,14,15,2,0,0,0,0,0,0,0,0,0,0,0,0,95,19,5,27,0.44919786096256686,0.8235294117647058,0,2.96875,0.15625,0.84375,0.50625,0.25592672413793105,0,frettla01w,SAC,F
4,24,4,150,9,16,47,1,2,0,1,0,0,0,0,0,0,1,1,0,1,0,23,3,2,11,0.3673469387755102,0.5,0,0.9583333333333334,0.08333333333333333,0.4166666666666667,0.15625,0.08261494252873564,1,frettla01w,SAC,F
5,26,2,347,17,29,98,23,0,0,5,0,5,17,6,4,3,7,12,4,1,0,67,10,14,31,0.4589041095890411,0.6585365853658537,0,1.9230769230769231,0.38461538461538464,0.9230769230769231,0.33365384615384613,0.16578249336870027,1,frettla01w,NYL,F
6,33,1,361,15,52,88,14,0,0,2,1,2,4,1,0,0,2,7,6,0,0,42,4,12,20,0.47,0.76,0,1.1515151515151516,0.36363636363636365,0.5454545454545454,0.2734848484848485,0.09926854754440963,1,frettla01w,NYL,F
5,5,0,22,3,7,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0.2222222222222222,1.0,0,1.0,0.0,0.2,0.11,0.08620689655172414,1,friertr01w,SEA,F
3,16,0,67,3,11,10,4,4,0,3,0,0,5,2,1,0,3,2,2,0,0,18,0,3,7,0.07692307692307693,0.8333333333333334,0,0.8125,0.125,0.25,0.1046875,0.3157894736842105,1,frohlli01w,NYL,F-C
4,26,0,214,11,26,72,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,6,14,0.4305555555555556,0.6363636363636364,0,1.3846153846153846,0.23076923076923078,0.5384615384615384,0.20576923076923076,0.6067251461988303,0,frohlli01w,NYL,F-C
7,20,0,169,14,27,68,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,5,13,0.38235294117647056,0.75,0,1.75,0.25,0.65,0.21125,0.5108359133126935,1,frohlli01w,IND,F-C
8,10,0,51,2,10,13,4,3,0,1,0,0,1,0,1,0,1,3,2,0,0,10,1,2,13,0.3125,0.8333333333333334,0,0.9,0.1,1.2,0.1275,0.5668016194331983,1,frohlli01w,SAC,F-C
5,20,0,144,7,20,38,13,17,0,2,0,0,0,0,0,0,0,0,0,0,0,19,1,5,7,0.3076923076923077,0.8125,0,0.95,0.25,0.35,0.18,0.25974025974025977,1,futreca01w,CON,G
1,15,0,78,8,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,4,5,0.3333333333333333,1.0,0,1.3333333333333333,0.26666666666666666,0.3333333333333333,0.13,0.018691588785046728,0,gaithka01w,SAS,C
3,2,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0.5,0.0,0.5,0.075,0.0,1,gaithka01w,WAS,C
3,8,0,64,0,8,11,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,11,0.18181818181818182,0.5,0,0.5,0.375,1.375,0.2,0.1487603305785124,0,garcibe01w,DET,G
9,34,15,540,38,56,133,22,56,0,3,3,4,7,3,5,1,1,6,4,3,0,118,8,34,46,0.35664335664335667,0.5333333333333333,0,3.264705882352941,0.8529411764705882,1.3235294117647058,0.39705882352941174,0.2814401622718053,1,gardike01w,CON,F
10,33,23,596,54,57,159,54,39,0,0,0,0,0,0,0,0,0,0,0,0,0,143,24,25,38,0.36477987421383645,0.6067415730337079,0,4.333333333333333,0.7575757575757576,1.1515151515151516,0.45151515151515154,0.3735632183908046,0,gardike01w,CON,F
3,30,2,198,29,35,49,21,0,0,3,0,1,4,0,0,1,1,5,2,0,0,65,4,3,14,0.38461538461538464,0.55,0,2.033333333333333,0.1,0.43333333333333335,0.165,0.6122448979591836,1,gardnan01w,SAS,F-C
9,22,0,178,23,26,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,3,11,0.3793103448275862,0.5416666666666666,0,2.272727272727273,0.13636363636363635,0.5,0.20227272727272727,0.5172413793103448,0,gardnan01w,WAS,F-C
1,32,19,560,43,44,116,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,98,10,27,43,0.3275862068965517,0.631578947368421,0,3.0625,0.84375,1.34375,0.4375,0.45825771324863884,0,garnean01w,SEA,F-C
1,3,0,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0.0,0.058333333333333334,0.0,1,gaydeco01w,CON,G
8,33,0,437,16,22,114,22,64,0,2,0,1,3,3,1,0,1,2,0,1,0,56,6,13,21,0.3879310344827586,0.88,0,1.606060606060606,0.36363636363636365,0.6060606060606061,0.33106060606060606,0.4583333333333333,1,gearlka01w,SEA,G-F
9,34,3,468,5,28,158,17,92,0,3,0,1,1,2,3,0,0,3,2,4,0,45,3,14,15,0.3719512195121951,0.72,0,1.2941176470588236,0.3235294117647059,0.4411764705882353,0.34411764705882353,0.5217391304347826,1,gearlka01w,SEA,G-F
10,20,0,243,4,14,74,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,6,12,0.3918918918918919,0.75,0,1.3,0.3,0.6,0.30375,0.5384615384615384,1,gearlka01w,SEA,G-F
1,17,0,76,4,11,19,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,4,0.35,0.875,0,0.7058823529411765,0.058823529411764705,0.23529411764705882,0.11176470588235295,0.5714285714285714,1,gibsoke01w,HOU,G-F
2,28,6,288,6,20,57,15,21,0,2,2,0,3,0,1,0,2,1,0,3,0,32,6,9,17,0.25,0.6818181818181818,0,1.0357142857142858,0.2857142857142857,0.5357142857142857,0.2571428571428571,0.19047619047619047,1,gibsoke01w,HOU,G-F
3,29,2,276,3,21,55,4,36,0,2,0,3,4,0,0,0,1,3,0,3,0,24,7,8,22,0.3968253968253968,0.6666666666666666,0,0.6896551724137931,0.27586206896551724,0.7241379310344828,0.23793103448275862,0.5185185185185185,1,gibsoke01w,HOU,G-F
4,26,0,209,4,14,42,0,24,0,2,0,0,1,0,0,0,0,1,0,2,0,17,5,1,9,0.3404255319148936,0.0,0,0.6153846153846154,0.038461538461538464,0.34615384615384615,0.20096153846153847,0.5555555555555556,1,gibsoke01w,HOU,G-F
1,30,30,826,31,91,316,79,69,1,2,2,1,4,2,1,5,4,10,10,5,0,120,34,22,63,0.44345238095238093,0.7241379310344828,0,3.8666666666666667,0.7,1.9666666666666666,0.6883333333333334,0.626249167221852,1,gilloje01w,PHO,F-C
2,32,32,858,36,91,355,71,70,1,0,0,0,0,0,0,0,0,0,0,0,0,127,19,31,71,0.4225352112676056,0.7395833333333334,0,3.96875,0.96875,2.21875,0.6703125,0.5856189770200149,0,gilloje01w,PHO,F-C
3,31,31,874,36,90,400,105,93,0,0,0,0,0,0,0,0,0,0,0,0,0,116,21,29,61,0.415,0.8015267175572519,1,3.7419354838709675,0.9354838709677419,1.967741935483871,0.7048387096774194,0.6223684210526316,0,gilloje01w,PHO,F-C
4,33,10,397,18,65,97,16,26,1,6,0,0,1,0,1,1,0,5,0,0,0,56,4,17,9,0.39215686274509803,0.7619047619047619,0,1.6666666666666667,0.48484848484848486,0.2727272727272727,0.3007575757575758,0.5588714053174172,1,gilloje01w,LAS,F-C
1,4,0,21,3,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0.2,0.0,0,1.25,0.0,1.0,0.13125,0.09090909090909091,0,gilmous01w,IND,G
9,2,0,14,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0,1.0,0.0,0.5,0.175,0.08620689655172414,1,gisseka01w,LAS,F
9,3,0,10,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0,0.0,0.0,0.6666666666666666,0.08333333333333333,0.18181818181818182,1,givench01w,DET,G
7,2,0,15,0,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.75,0,0.0,0.5,0.5,0.1875,0.0,0,gomisem01w,NYL,G
1,29,28,929,69,67,415,92,29,0,0,0,0,0,0,0,0,0,0,0,0,0,164,7,41,81,0.4795180722891566,0.6865671641791045,0,5.655172413793103,1.4137931034482758,2.793103448275862,0.8008620689655173,0.4875148632580262,0,goodsad01w,SAS,F
2,28,25,854,66,64,319,62,31,0,2,2,6,16,3,3,2,4,7,9,4,0,168,2,30,79,0.4339080459770115,0.6836734693877551,0,5.428571428571429,0.9642857142857143,2.6785714285714284,0.7625,0.4679802955665025,1,goodsad01w,SAS,F
3,32,32,1101,91,92,419,117,28,0,5,5,9,27,8,7,0,21,11,17,7,0,208,6,52,123,0.4421906693711968,0.7413793103448276,0,5.65625,1.40625,3.1875,0.86015625,0.48760775862068967,1,goodsad01w,SAS,F
4,33,32,969,74,96,357,81,36,2,0,0,0,0,0,0,0,0,0,0,0,0,185,6,24,85,0.3949579831932773,0.7941176470588235,0,5.606060606060606,0.7272727272727273,2.5757575757575757,0.7340909090909091,0.48328108672936265,0,goodsad01w,SAS,F
5,34,34,1068,89,77,317,84,16,1,0,0,0,0,0,0,0,0,0,0,0,0,235,2,28,67,0.4479495268138801,0.8235294117647058,0,6.911764705882353,0.8235294117647058,1.9705882352941178,0.7852941176470588,0.5958417849898581,0,goodsad01w,SAS,F
6,33,0,486,33,40,144,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,71,1,11,34,0.4097222222222222,0.6111111111111112,0,2.1515151515151514,0.3333333333333333,1.0303030303030303,0.36818181818181817,0.18547544409613376,1,goodsad01w,HOU,F
8,21,0,156,16,28,45,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,12,5,4,0.4222222222222222,0.7619047619047619,0,1.9523809523809523,0.23809523809523808,0.19047619047619047,0.18571428571428572,0.16021361815754337,0,goringi01w,WAS,C
3,29,2,369,16,42,97,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,61,6,13,25,0.36082474226804123,0.7777777777777778,0,2.103448275862069,0.4482758620689655,0.8620689655172413,0.31810344827586207,0.15272727272727274,0,gortmsh01w,MIN,G
4,25,0,200,9,25,49,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,11,20,0.42857142857142855,0.75,0,1.28,0.44,0.8,0.2,0.12727272727272726,1,gortmsh01w,MIN,G
5,4,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0.0,0.0,0,1.0,0.0,0.5,0.15,0.18181818181818182,1,gortmsh01w,WAS,G
7,20,0,265,9,32,55,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,11,25,0.36363636363636365,0.7777777777777778,0,2.4,0.55,1.25,0.33125,0.12363636363636366,1,gortmsh01w,SEA,G
8,17,2,211,7,20,23,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,7,11,0.391304347826087,0.7,0,1.1176470588235294,0.4117647058823529,0.6470588235294118,0.31029411764705883,0.6115702479338844,0,granter01w,HOU,G
5,13,0,73,3,6,18,9,2,0,4,0,0,0,1,0,0,1,0,0,0,0,10,0,3,9,0.5789473684210527,0.6923076923076923,0,0.7692307692307693,0.23076923076923078,0.6153846153846154,0.14038461538461539,0.18181818181818182,1,grecomi01w,SEA,G
7,5,0,24,2,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.5,0,1.6,0.0,0.0,0.12,0.0,1,greenci01w,SEA,C
1,18,0,183,9,17,62,14,17,0,3,0,0,3,1,1,0,2,0,2,1,0,26,1,4,16,0.28125,0.56,0,1.2777777777777777,0.16666666666666666,0.7777777777777778,0.25416666666666665,0.11015325670498084,1,grginve01w,LAS,F
2,24,7,223,13,21,65,9,19,0,4,0,0,1,0,0,0,0,0,2,1,0,36,1,4,15,0.4264705882352941,0.6875,0,1.4583333333333333,0.16666666666666666,0.625,0.23229166666666667,0.1257183908045977,1,grginve01w,LAS,F
3,12,0,79,3,11,31,2,12,0,1,0,0,0,2,0,0,0,0,0,0,0,8,0,1,8,0.375,0.6666666666666666,0,0.6666666666666666,0.08333333333333333,0.6666666666666666,0.16458333333333333,0.05747126436781609,1,grginve01w,LAS,F
1,32,32,1026,148,110,361,137,0,1,2,2,6,24,2,1,1,4,4,8,0,0,355,62,84,86,0.5338541666666666,0.7029702970297029,0,10.34375,2.59375,2.5625,0.8015625,0.7625018224230937,1,griffyo01w,SAC,F-C
2,32,31,1077,162,114,368,134,0,1,5,5,18,44,7,8,6,11,18,55,0,0,401,43,71,86,0.5149425287356322,0.7302904564315352,0,11.15625,1.96875,2.34375,0.84140625,0.7408466819221967,1,griffyo01w,SAC,F-C
3,17,17,577,66,70,179,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,13,16,45,0.5195530726256983,0.8031496062992126,0,8.705882352941176,0.9411764705882353,2.6470588235294117,0.8485294117647059,0.8468097618347544,0,griffyo01w,SAC,F-C
4,34,34,1015,92,125,332,147,2,3,6,6,19,53,7,7,6,12,16,34,0,0,301,45,64,87,0.49373433583959897,0.7946428571428571,0,7.294117647058823,1.6764705882352942,2.2058823529411766,0.7463235294117647,0.7435003170577045,1,griffyo01w,SAC,F-C
5,34,34,1031,122,99,341,140,1,2,6,6,20,49,8,12,6,12,15,24,0,0,295,47,87,71,0.5148514851485149,0.7619047619047619,0,7.235294117647059,2.2058823529411766,1.7352941176470589,0.7580882352941176,0.7624633431085044,1,griffyo01w,SAC,F-C
6,34,33,962,87,98,357,123,0,0,8,8,27,66,11,10,4,10,20,45,0,0,289,35,52,78,0.4860215053763441,0.7077625570776256,1,6.5588235294117645,1.2352941176470589,2.0,0.7073529411764706,0.6914344685242517,1,griffyo01w,SAC,F-C
7,34,34,854,87,74,293,139,1,0,9,9,28,64,16,10,5,10,23,51,0,0,283,21,54,76,0.4641025641025641,0.7542372881355932,1,6.4411764705882355,1.2941176470588236,1.9411764705882353,0.6279411764705882,0.7310939464702713,1,griffyo01w,SAC,F-C
8,32,32,738,63,97,213,75,0,1,3,3,8,18,1,2,1,7,6,9,0,0,165,13,35,72,0.49361702127659574,0.6747967479674797,0,4.59375,1.03125,2.03125,0.5765625,0.7141092167037312,1,griffyo01w,SAC,F-C
9,30,30,658,77,110,145,83,0,1,3,3,6,19,5,9,4,5,16,8,0,0,208,21,52,56,0.44025157232704404,0.6617647058823529,0,6.3,1.4333333333333333,1.7,0.5483333333333333,0.7876588021778584,1,griffyo01w,SEA,F-C
10,3,0,41,4,6,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,3,0.5,0.7777777777777778,0,2.3333333333333335,0.0,1.0,0.3416666666666667,0.8333333333333333,1,griffyo01w,IND,F-C
1,30,3,401,27,27,88,46,1,0,2,0,2,2,0,0,0,1,3,1,0,0,46,3,10,22,0.4444444444444444,0.7580645161290323,0,1.4666666666666666,0.3333333333333333,0.7,0.33416666666666667,0.0,1,groomla01w,SAC,G-F
2,31,0,543,32,43,114,43,0,0,5,0,1,4,1,0,0,3,3,6,0,0,82,10,15,28,0.4214876033057851,0.75,0,2.5161290322580645,0.4838709677419355,0.8064516129032258,0.43790322580645163,0.0,1,groomla01w,SAC,G-F
3,32,26,850,38,69,181,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8,21,46,0.430939226519337,0.8554216867469879,0,3.09375,0.65625,1.4375,0.6640625,0.0,0,groomla01w,SAC,G-F
4,34,9,470,15,27,112,21,1,0,6,0,2,5,3,1,0,1,3,2,0,0,51,5,18,22,0.41935483870967744,0.7857142857142857,0,1.3529411764705883,0.5,0.6176470588235294,0.34558823529411764,0.0,1,groomla01w,SAC,G-F
5,28,0,235,10,14,66,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,2,7,2,0.2835820895522388,0.9166666666666666,0,0.6428571428571429,0.25,0.07142857142857142,0.20982142857142858,0.0,1,groomla01w,SAC,G-F
1,29,20,720,20,47,239,31,91,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,31,60,0.37656903765690375,0.775,0,2.6206896551724137,1.0689655172413792,2.0689655172413794,0.6206896551724138,0.19090909090909092,0,grubigo01w,IND,G
2,27,9,481,18,30,167,29,58,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,7,34,0.3712574850299401,0.7435897435897436,0,1.8148148148148149,0.25925925925925924,1.2592592592592593,0.44537037037037036,0.17647058823529413,0,grubigo01w,IND,G
3,32,31,859,16,59,297,60,92,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,36,58,0.3838383838383838,0.759493670886076,0,2.0,1.125,1.8125,0.67109375,0.3260188087774295,0,grubigo01w,PHO,G
5,5,0,24,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0.0,1.0,0,0.2,0.0,0.6,0.12,0.0,0,grubigo01w,HOU,G
6,9,0,41,1,4,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0.0,0.25,0,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.11388888888888889,0.4545454545454546,1,grubigo01w,LAS,G
9,31,1,476,44,56,178,31,0,0,3,0,0,4,1,1,0,4,2,0,0,0,114,26,20,45,0.4594594594594595,0.543859649122807,0,3.5483870967741935,0.6129032258064516,1.3225806451612903,0.38387096774193546,0.5706682436428149,1,grudasa01w,CON,F-C
10,26,25,810,66,86,323,48,0,2,0,0,0,0,0,0,0,0,0,0,0,0,165,41,23,68,0.4674922600619195,0.5581395348837209,0,6.346153846153846,0.8846153846153846,2.6153846153846154,0.7788461538461539,0.5703112269838684,0,grudasa01w,CON,F-C
8,17,0,148,14,25,41,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,7,9,0.24390243902439024,0.75,0,1.7647058823529411,0.4117647058823529,0.5294117647058824,0.21764705882352942,0.15212981744421908,1,hairska01w,CON,F
3,20,0,104,8,12,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,7,12,0.4583333333333333,0.5,0,1.3,0.35,0.6,0.13,0.1120689655172414,0,hallam01w,POR,F
1,32,10,577,24,60,158,22,42,0,6,1,5,15,4,0,1,2,4,1,5,0,107,9,17,27,0.3791208791208791,0.6285714285714286,0,2.875,0.53125,0.78125,0.45078125,0.2478448275862069,1,hallvi01w,CLE,F
2,27,6,348,15,33,100,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5,5,18,0.41,0.5454545454545454,0,1.8148148148148149,0.18518518518518517,0.6666666666666666,0.32222222222222224,0.15644955300127716,0,hallvi01w,IND,F
3,3,0,19,1,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0.5,0.75,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.15833333333333333,0.05747126436781609,1,hallvi01w,LAS,F
1,32,16,835,19,55,252,61,141,0,7,7,5,10,15,9,0,17,10,19,23,0,74,1,38,79,0.46511627906976744,0.8863636363636364,0,2.0,0.90625,1.9375,0.65234375,0.17008797653958943,1,hammobe01w,NYL,G
2,32,0,619,10,46,197,40,111,0,6,0,0,3,2,1,0,3,3,0,10,0,55,1,28,51,0.4485981308411215,0.7843137254901961,0,1.625,0.84375,1.5,0.48359375,0.19318181818181818,1,hammobe01w,NYL,G
3,32,1,659,18,49,197,38,114,0,8,0,2,17,16,5,0,11,12,8,33,0,85,0,30,66,0.46215139442231074,0.703125,0,2.125,0.78125,1.71875,0.51484375,0.17851239669421487,1,hammobe01w,NYL,G
4,11,2,257,1,13,87,39,49,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,10,27,0.5747126436781609,0.9512195121951219,0,1.9090909090909092,0.9090909090909091,2.4545454545454546,0.5840909090909091,0.12121212121212122,0,hammobe01w,NYL,G
5,34,34,1130,17,73,354,97,170,0,5,5,3,13,17,6,0,19,12,5,33,0,131,2,64,137,0.4271604938271605,0.8181818181818182,0,3.4705882352941178,1.7058823529411764,3.4705882352941178,0.8308823529411765,0.23112480739599384,1,hammobe01w,NYL,G
6,34,34,1180,20,77,336,118,178,0,2,2,0,7,4,0,0,10,8,3,7,1,121,2,60,117,0.43258426966292135,0.9029850746268657,0,3.3529411764705883,1.7647058823529411,3.1470588235294117,0.8676470588235294,0.24808836023789294,1,hammobe01w,NYL,G
7,22,20,674,6,46,252,72,108,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,29,65,0.4246031746031746,0.96,0,3.0,1.3181818181818181,2.9545454545454546,0.7659090909090909,0.22657342657342658,0,hammobe01w,NYL,G
8,28,27,934,8,51,402,95,183,0,5,5,5,14,25,6,1,16,13,10,45,1,91,6,29,130,0.4392712550607287,0.9196428571428571,0,2.75,0.8214285714285714,4.071428571428571,0.8339285714285715,0.2232854864433812,1,hammobe01w,SAS,G
9,33,33,1101,13,60,438,163,220,0,9,9,2,21,41,9,5,31,14,57,48,0,112,12,52,135,0.3963302752293578,0.9264069264069265,0,2.757575757575758,1.303030303030303,3.1515151515151514,0.8340909090909091,0.2814685314685315,1,hammobe01w,SAS,G
10,31,31,1049,25,54,447,128,206,0,3,3,0,8,6,5,0,7,4,10,21,0,111,12,54,118,0.4487704918032787,0.9013157894736842,0,3.3225806451612905,1.5806451612903225,3.5806451612903225,0.8459677419354839,0.25552825552825553,1,hammobe01w,SAS,G
1,15,0,43,1,4,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0.18181818181818182,0.5,0,0.2,0.3333333333333333,0.26666666666666666,0.07166666666666667,0.2272727272727273,1,hamzoro01w,CON,G
8,20,20,602,15,44,243,53,35,0,0,0,0,0,0,0,0,0,0,0,0,0,87,6,20,47,0.35390946502057613,0.6794871794871795,0,4.35,1.0,2.35,0.7525,0.30174081237911027,0,hardili01w,MIN,G
9,24,11,591,9,56,139,50,25,2,0,0,0,0,0,0,0,0,0,0,0,0,56,4,27,55,0.3669064748201439,0.6944444444444444,0,2.3333333333333335,1.125,2.2916666666666665,0.615625,0.2512396694214876,0,hardili01w,MIN,G
10,34,34,1194,24,68,375,89,62,1,2,2,1,5,8,3,0,10,6,1,3,0,140,13,46,111,0.4314214463840399,0.75,0,3.9705882352941178,1.2647058823529411,2.9705882352941178,0.8779411764705882,0.27722772277227725,1,hardili01w,WAS,G
9,34,1,560,68,80,135,60,0,0,3,0,5,9,2,2,1,10,11,6,0,0,146,21,17,58,0.46853146853146854,0.5779816513761468,0,4.029411764705882,0.4411764705882353,1.411764705882353,0.4117647058823529,0.732943469785575,1,harpela01w,SAC,F-C
10,33,11,460,54,65,116,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113,22,13,42,0.3879310344827586,0.7317073170731707,0,3.4242424242424243,0.3939393939393939,1.2727272727272727,0.3484848484848485,0.6805807622504537,0,harpela01w,SAC,F-C
1,8,0,67,4,16,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,11,0.16666666666666666,0.6,0,1.125,0.25,1.375,0.209375,0.09698275862068967,0,harrido01w,IND,F
1,31,20,750,38,62,154,30,12,0,2,2,4,11,10,3,0,3,5,2,2,0,132,4,33,25,0.543859649122807,0.8205128205128205,0,3.903225806451613,0.967741935483871,0.7096774193548387,0.6048387096774194,0.33648498331479426,1,harrili01w,PHO,F
2,32,32,915,39,58,223,51,9,0,0,0,0,0,0,0,0,0,0,0,0,0,139,1,39,49,0.4304932735426009,0.864406779661017,0,4.34375,1.21875,1.53125,0.71484375,0.37446120689655177,0,harrili01w,PHO,F
3,32,28,899,43,62,242,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,126,3,31,45,0.49586776859504134,0.8695652173913043,0,3.9375,0.96875,1.40625,0.70234375,0.3394396551724138,0,harrili01w,PHO,F
4,33,33,838,42,58,179,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,118,6,29,34,0.4134078212290503,0.6862745098039216,0,3.5757575757575757,0.8787878787878788,1.0303030303030303,0.6348484848484849,0.30825496342737724,0,harrili01w,PHO,F
6,27,2,297,13,33,34,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,5,12,0.4411764705882353,0.7857142857142857,0,1.4444444444444444,0.18518518518518517,0.4444444444444444,0.275,0.12452107279693488,0,harrili01w,PHO,F
