height,weight,birthYear,num_seasons,bioID,pos,college,collegeOther
77.0,170,1977,9,williad01w,F-C,USC,
72.0,149,1983,2,willian01w,G,Illinois,
69.0,145,1965,1,willibe01w,G,Texas,
72.0,200,1981,6,willile01w,F,Auburn,
71.0,155,1979,1,willile02w,G-F,DePaul,
71.0,170,1984,4,willili01w,G,UCLA,
74.0,210,1970,6,willina01w,F-C,UCLA,
66.0,135,1976,4,williri01w,G,Connecticut,
66.0,135,1980,1,willish01w,G,Oregon,
71.0,170,1974,1,willita01w,G,Auburn,
68.0,138,1982,1,willito01w,G,Texas A&M,
67.0,141,1978,1,williwe01w,G,Arkansas,
71.0,176,1977,1,wilsoam01w,F,Louisiana Tech,
73.0,185,1987,1,wirthch01w,F,Vanderbilt,
74.0,186,1986,1,wisdoli01w,F,Purdue,
70.0,145,1969,4,witheso01w,G,Florida,
79.0,227,1975,3,wolteka01w,C,Connecticut,
75.0,205,1978,1,wolvean01w,F-C,Oregon,
70.0,155,1981,2,wrighsh01w,F,Purdue,
71.0,165,1983,5,wrighta01w,G,Penn State,
73.0,183,1980,9,wyckobr01w,F,Florida State,
74.0,175,1975,1,wynneda01w,F,Seton Hall,
73.0,190,1980,2,yamasli01w,G,Stanford,
76.0,193,1980,2,yilmane01w,F-C,,
69.0,175,1969,2,youngca01w,G,Auburn,
73.0,165,1983,4,youngso01w,F,Baylor,
74.0,166,1986,2,youngta01w,F,James Madison,
78.0,174,1977,3,zakalok01w,C,,
70.0,146,1976,1,zarafr01w,G,,
70.0,155,1986,1,zellosh01w,G,Pittsburgh,
69.0,145,1980,1,zirkozu01w,G,,
67.0,148,1986,1,zollsh01w,G,Virginia,
