height,weight,birthYear,num_seasons,bioID,pos,college,collegeOther
70.0,160,1976,10,deforan01w,G,Nebraska,
70.0,140,1982,5,derevje01w,G,George Mason,
77.0,190,1982,8,desouer01w,F-C,,
71.0,165,1978,2,dickeke01w,F,Texas Tech,
69.0,154,1981,3,dillata01w,G,Texas,
69.0,148,1975,10,dixonta01w,G,Kansas,
74.0,195,1980,2,donapbe01w,F-C,Stanford,
69.0,145,1985,1,doronsh01w,G,Maryland,
77.0,187,1975,3,dossaci01w,C,,
72.0,167,1979,9,douglka01w,G-F,Purdue,
67.0,135,1984,3,duffyme01w,G,Notre Dame,
74.0,162,1984,4,dupreca01w,F,Temple,
9.0,223,1974,9,dydekma01w,C,,
69.0,150,1966,2,edwarmi01w,G,Rutgers,
76.0,164,1973,6,edwarsi01w,C,Iowa,
71.0,155,1964,2,edwarte01w,G-F,Georgia,
70.0,160,1968,3,edwarto01w,G,Tennessee,
74.0,182,1983,5,elysh01w,F,Tennessee,
73.0,185,1974,4,enissh01w,F-C,Alabama,
78.0,240,1977,3,erbsu01w,C,North Carolina State,
76.0,171,1985,1,ervinla01w,F,Arkansas,
75.0,165,1972,1,fallotr01w,G-F,,
75.0,200,1976,10,farriba01w,F-C,Tulane,
71.0,168,1976,9,feastal01w,F,Harvard,
73.0,162,1979,1,feifesu01w,G,,
69.0,153,1978,9,ferdima01w,G,Louisiana State,
71.0,138,1981,1,fernama01w,G,,
75.0,190,1972,1,ferrama01w,F,,
69.0,142,1977,4,figgsuk01w,G,Purdue,
78.0,215,1976,1,firsool01w,C,Kansas State,
66.0,125,1977,1,floremi01w,G,Stanford,
77.0,209,1984,3,flukety01w,C,Tennessee,
74.0,190,1975,3,folklkr01w,F,Stanford,
75.0,198,1981,7,fordch01w,F,Louisiana Tech,
70.0,153,1975,2,fordki01w,G-F,Georgia Tech,
74.0,185,1969,2,fordst01w,F,Georgia,
78.0,200,1985,2,fowlesy01w,C,Louisiana State,
70.0,193,1975,1,francde01w,F,Iowa State,
64.0,154,1985,2,frankaq01w,G,Texas A&M,
75.0,191,1987,1,frazeme01w,F,Liberty,
68.0,126,1976,1,fresest01w,G,Iowa State,
75.0,170,1975,6,frettla01w,F,Georgia,
74.0,186,1979,1,friertr01w,F,Louisiana Tech,
75.0,185,1979,6,frohlli01w,F-C,,
70.0,154,1982,1,futreca01w,G,Duquesne,
75.0,170,1975,3,gaithka01w,C,Notre Dame,
65.0,135,1976,1,garcibe01w,G,,
73.0,168,1984,2,gardike01w,F,Virginia Tech,
75.0,190,1979,7,gardnan01w,F-C,Howard,
75.0,160,1979,1,garnean01w,F-C,Penn State,
69.0,150,1971,1,gaydeco01w,G,Louisiana State,
73.0,184,1984,3,gearlka01w,G-F,Purdue,
70.0,136,1976,4,gibsoke01w,G-F,Maryland,
75.0,180,1964,4,gilloje01w,F-C,Mississippi,
71.0,158,1978,1,gilmous01w,G,Rutgers,
73.0,178,1985,1,gisseka01w,F,Penn State,North Carolina State
70.0,0,1985,1,givench01w,G,Middle Tennessee State,
71.0,134,1983,1,gomisem01w,G,,
72.0,165,1966,6,goodsad01w,F,Old Dominion,
79.0,225,1983,1,goringi01w,C,North Carolina State (jr-sr),Arkansas-Fort Smith (fr-so)
70.0,158,1979,5,gortmsh01w,G,South Carolina,
68.0,125,1984,1,granter01w,G,Texas Tech,
69.0,145,1980,1,grecomi01w,G,UCLA,
77.0,183,1983,1,greenci01w,C,Texas Tech,
73.0,160,1975,3,grginve01w,F,,
75.0,188,1970,10,griffyo01w,F-C,Florida Atlantic,
70.0,160,1970,5,groomla01w,G-F,Georgia,
71.0,165,1972,6,grubigo01w,G,,
76.0,185,1987,2,grudasa01w,F-C,,
72.0,150,1985,1,hairska01w,F,Temple,
75.0,180,1977,1,hallam01w,F,Washington,
73.0,180,1969,3,hallvi01w,F,Texas,
66.0,136,1977,10,hammobe01w,G,Colorado State,
69.0,152,1970,1,hamzoro01w,G,,
68.0,139,1984,3,hardili01w,G,Duke,
77.0,190,1986,2,harpela01w,F-C,Maryland,
75.0,190,1966,1,harrido01w,F,Old Dominion,
73.0,164,1971,6,harrili01w,F,Tennessee,
64.0,139,1975,9,harrokr01w,G,,
76.0,240,1982,6,haydeva01w,C,Florida,
69.0,147,1983,5,haynikr01w,G,Michigan State,
70.0,160,1970,1,headde01w,G,Tennessee,
68.0,144,1973,1,hendene01w,G,Texas,
75.0,200,1974,2,hendetr01w,C,Georgia,
67.0,143,1969,4,henniso01w,G,Stanford,
76.0,189,1977,3,herriam01w,C,Iowa,
70.0,140,1977,1,hibbeka01w,G-F,Louisiana State,
76.0,188,1971,5,hicksje01w,F-C,Maryland,
67.0,173,1971,2,hillec01w,G,Northern Illinois,
69.0,150,1975,3,hledeko01w,G,Duquesne,
69.0,160,1982,5,hodgedo01w,G,Louisiana State,
71.0,165,1982,5,hodgero01w,G,Florida State,
74.0,215,1982,6,hoffmeb01w,F,USC,
74.0,172,1977,10,holdsch01w,F,Tennessee,
68.0,129,1974,7,hollake01w,G,Georgia,
77.0,201,1988,1,holliqu01w,C,Virginia Commonwealth,
70.0,150,1969,1,holmejo01w,F,Purdue,
73.0,155,1986,1,holmese01w,G-F,UNLV,
72.0,168,1985,2,holtam01w,F,Middle Tennessee State,
74.0,165,1977,1,hopeky01w,C,Miami (FL),
71.0,155,1985,2,hornbal01w,G,Tennessee,
72.0,189,1986,2,houstch01w,F,Connecticut,
75.0,190,1985,2,humphta01w,C,Georgia,
75.0,185,1982,4,irvinsa01w,F,Texas Christian,
70.0,135,1976,7,ivanyda01w,G,Florida International,
67.0,149,1977,5,iveyni01w,G,Notre Dame,
74.0,155,1979,5,jacksde01w,F,Alabama-Birmingham,
75.0,182,1980,3,jacksgw01w,F,Tennessee,
