year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,tmID_encoded
7,0,1,1,1.0,0.5,0.0,982,2216,545,675,510,342,926,1268,630,530,252,514,153,948,2357,500,163,508,370,1153,528,646,273,486,103,34,126096,0.7647058823529411,0.23529411764705882,0.8235294117647058,0.17647058823529413,0.7058823529411765,0.29411764705882354,0.75,0.25,CON,4
8,0,3,1,0.5,0.0,0.0,1001,2327,478,615,572,354,868,1222,619,641,272,540,156,976,2317,626,166,485,337,1179,581,633,246,524,85,34,135490,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.4117647058823529,0.5,0.5,CON,4
9,0,2,1,0.5,0.0,0.0,965,2286,539,723,669,370,869,1239,607,629,211,487,97,955,2284,638,159,496,360,1200,554,703,252,499,104,34,129951,0.6176470588235294,0.38235294117647056,0.7647058823529411,0.23529411764705882,0.47058823529411764,0.5294117647058824,0.65,0.35,CON,4
10,0,6,0,0.0,0.0,0.0,966,2381,517,692,639,358,826,1184,608,677,250,453,130,953,2236,746,157,488,329,1274,525,684,248,549,125,34,115496,0.47058823529411764,0.5294117647058824,0.7058823529411765,0.29411764705882354,0.23529411764705882,0.7647058823529411,0.45454545454545453,0.5454545454545454,CON,4
1,0,5,0,0.0,0.0,0.0,868,1980,519,699,273,341,644,985,503,701,260,530,88,905,1967,652,136,372,331,971,513,672,284,543,148,32,107289,0.4375,0.5625,0.5,0.5,0.375,0.625,0.47619047619047616,0.5238095238095238,DET,5
2,0,7,0,0.0,0.0,0.0,774,1914,412,542,405,324,621,945,469,602,225,498,82,848,1837,583,127,340,279,981,438,591,262,483,109,32,109348,0.3125,0.6875,0.375,0.625,0.25,0.75,0.3333333333333333,0.6666666666666666,DET,5
3,0,8,0,0.0,0.0,0.0,766,1919,472,651,364,360,719,1079,478,609,201,541,132,828,1984,605,146,447,314,983,465,637,277,443,139,32,94171,0.28125,0.71875,0.4375,0.5625,0.125,0.875,0.2857142857142857,0.7142857142857143,DET,5
4,0,1,1,1.0,1.0,1.0,902,2004,624,882,323,379,851,1230,545,605,263,608,158,911,2286,556,161,541,390,1064,504,774,309,497,129,34,133647,0.7352941176470589,0.2647058823529412,0.7647058823529411,0.23529411764705882,0.7058823529411765,0.29411764705882354,0.75,0.25,DET,5
5,0,3,1,0.5,0.0,0.0,874,2097,556,792,209,397,773,1170,564,648,277,513,148,860,2098,609,191,533,325,1055,515,728,289,496,131,34,160860,0.5,0.5,0.47058823529411764,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.55,0.45,DET,5
6,0,4,1,0.5,0.0,0.0,831,2060,509,774,238,412,803,1215,474,761,241,571,155,784,1945,754,154,456,273,1018,473,744,272,520,136,34,159356,0.47058823529411764,0.5294117647058824,0.7058823529411765,0.29411764705882354,0.23529411764705882,0.7647058823529411,0.55,0.45,DET,5
7,0,2,1,1.0,1.0,1.0,919,2220,553,746,414,406,880,1286,572,711,213,537,137,840,2165,702,175,561,324,1084,474,733,275,506,108,34,159453,0.6764705882352942,0.3235294117647059,0.8235294117647058,0.17647058823529413,0.5294117647058824,0.47058823529411764,0.7,0.3,DET,5
8,0,1,1,1.0,1.0,0.5,972,2261,595,785,442,380,931,1311,563,702,227,564,117,895,2262,718,203,610,309,1089,546,767,276,529,117,34,165738,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.7,0.3,DET,5
9,0,1,1,1.0,1.0,1.0,974,2295,556,744,476,405,843,1248,604,724,278,496,118,872,2151,740,215,616,324,1085,520,762,229,572,119,34,162669,0.6470588235294118,0.35294117647058826,0.8235294117647058,0.17647058823529413,0.47058823529411764,0.5294117647058824,0.8,0.2,DET,5
10,0,3,1,1.0,0.5,0.0,980,2277,539,721,436,373,853,1226,575,766,261,546,97,902,2201,813,208,611,320,1101,524,716,279,531,110,34,136069,0.5294117647058824,0.47058823529411764,0.6470588235294118,0.35294117647058826,0.4117647058823529,0.5882352941176471,0.5,0.5,DET,5
1,1,2,1,1.0,1.0,1.0,891,1894,521,634,491,273,724,997,494,554,284,440,104,786,1938,508,124,418,290,902,473,648,233,480,85,32,196077,0.84375,0.15625,0.875,0.125,0.8125,0.1875,0.8095238095238095,0.19047619047619047,HOU,6
2,1,4,1,0.5,0.0,0.0,747,1908,415,539,435,348,710,1058,426,509,251,436,95,740,1883,504,152,456,297,982,452,561,248,433,120,32,181115,0.59375,0.40625,0.6875,0.3125,0.5,0.5,0.6190476190476191,0.38095238095238093,HOU,6
3,1,2,1,0.5,0.0,0.0,755,1778,453,585,332,299,702,1001,450,467,260,455,126,705,1880,452,151,489,309,973,446,606,262,464,71,32,188648,0.75,0.25,0.875,0.125,0.625,0.375,0.7619047619047619,0.23809523809523808,HOU,6
4,1,2,1,0.5,0.0,0.0,828,1916,473,600,344,266,764,1030,465,490,231,450,129,824,2030,448,169,500,298,1006,516,634,227,430,122,34,150203,0.5882352941176471,0.4117647058823529,0.8235294117647058,0.17647058823529413,0.35294117647058826,0.6470588235294118,0.5833333333333334,0.4166666666666667,HOU,6
5,1,6,0,0.0,0.0,0.0,798,1933,458,615,358,311,724,1035,451,555,242,484,107,834,2008,531,152,434,335,1055,539,655,258,471,129,34,137455,0.38235294117647056,0.6176470588235294,0.5294117647058824,0.47058823529411764,0.23529411764705882,0.7647058823529411,0.3181818181818182,0.6818181818181818,HOU,6
6,1,3,1,1.0,0.5,0.0,860,1920,527,690,205,276,684,960,467,581,246,425,105,848,1944,559,148,423,274,961,541,685,197,481,111,34,120676,0.5588235294117647,0.4411764705882353,0.6470588235294118,0.35294117647058826,0.47058823529411764,0.5294117647058824,0.5,0.5,HOU,6
7,1,3,1,0.5,0.0,0.0,928,2098,482,678,472,303,822,1125,532,617,252,566,84,928,2232,615,148,496,337,1124,526,705,298,519,89,34,130586,0.5294117647058824,0.47058823529411764,0.7058823529411765,0.29411764705882354,0.35294117647058826,0.6470588235294118,0.55,0.45,HOU,6
8,1,5,0,0.0,0.0,0.0,915,2149,554,721,365,374,770,1144,558,655,289,633,109,924,2190,719,202,581,342,1063,588,677,310,568,160,34,138816,0.38235294117647056,0.6176470588235294,0.4117647058823529,0.5882352941176471,0.35294117647058826,0.6470588235294118,0.45454545454545453,0.5454545454545454,HOU,6
9,1,5,0,0.0,0.0,0.0,923,2213,563,736,481,376,803,1179,556,728,295,599,120,903,2186,781,218,580,349,1092,542,744,313,555,165,34,111951,0.5,0.5,0.7647058823529411,0.23529411764705882,0.23529411764705882,0.7647058823529411,0.5,0.5,HOU,6
1,0,7,0,0.0,0.0,0.0,796,1838,428,569,521,285,647,932,501,642,271,518,126,839,1868,669,109,358,321,954,528,612,267,476,75,32,180270,0.28125,0.71875,0.3125,0.6875,0.25,0.75,0.3333333333333333,0.6666666666666666,IND,7
