year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,tmID_encoded
2,1,5,0,0.0,0.0,0.0,767,1894,429,587,313,300,642,942,514,625,292,519,138,785,1892,584,137,391,333,1031,524,603,283,517,127,32,136979,0.40625,0.59375,0.625,0.375,0.1875,0.8125,0.38095238095238093,0.6190476190476191,PHO,12
3,1,7,0,0.0,0.0,0.0,793,1889,405,538,328,292,626,918,427,623,267,501,94,850,1870,608,155,388,309,1001,532,600,268,491,127,32,139798,0.34375,0.65625,0.625,0.375,0.0625,0.9375,0.3333333333333333,0.6666666666666666,PHO,12
4,1,7,0,0.0,0.0,0.0,801,2095,379,556,349,357,643,1000,461,664,310,479,111,834,1867,626,136,371,303,1114,509,667,275,610,146,34,144511,0.23529411764705882,0.7647058823529411,0.35294117647058826,0.6470588235294118,0.11764705882352941,0.8823529411764706,0.20833333333333334,0.7916666666666666,PHO,12
5,1,5,0,0.0,0.0,0.0,826,1922,456,598,519,264,652,916,501,748,282,464,137,784,1845,724,133,348,309,1020,456,660,226,536,137,34,136295,0.5,0.5,0.5882352941176471,0.4117647058823529,0.4117647058823529,0.5882352941176471,0.5,0.5,PHO,12
6,1,5,0,0.0,0.0,0.0,826,1994,531,693,539,342,720,1062,549,697,243,517,179,855,1993,720,121,332,319,1024,470,672,265,483,112,34,124146,0.47058823529411764,0.5294117647058824,0.6470588235294118,0.35294117647058826,0.29411764705882354,0.7058823529411765,0.5454545454545454,0.45454545454545453,PHO,12
7,1,5,0,0.0,0.0,0.0,1079,2434,537,684,722,334,811,1145,640,741,275,442,127,1023,2360,852,203,618,408,1283,578,669,231,537,126,34,126801,0.5294117647058824,0.47058823529411764,0.5882352941176471,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.4,0.6,PHO,12
8,1,1,1,1.0,1.0,1.0,1063,2419,616,754,802,279,873,1152,683,658,285,486,159,1022,2526,716,290,762,445,1390,628,684,244,595,109,34,131524,0.6764705882352942,0.3235294117647059,0.7058823529411765,0.29411764705882354,0.6470588235294118,0.35294117647058826,0.7727272727272727,0.22727272727272727,PHO,12
9,1,6,0,0.0,0.0,0.0,1069,2485,642,773,701,375,851,1226,560,794,232,489,156,1036,2460,932,243,695,440,1298,650,717,234,500,129,34,144867,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.4117647058823529,0.35294117647058826,0.6470588235294118,0.4,0.6,PHO,12
10,1,1,1,1.0,1.0,1.0,1128,2454,643,752,665,284,906,1190,625,740,225,500,181,1094,2582,851,205,608,421,1285,607,671,260,460,143,34,144884,0.6764705882352942,0.3235294117647059,0.7058823529411765,0.29411764705882354,0.6470588235294118,0.35294117647058826,0.65,0.35,PHO,12
1,1,7,0,0.0,0.0,0.0,761,1828,488,697,433,309,627,936,480,761,265,593,93,788,1847,766,150,447,307,953,487,729,277,531,130,32,133076,0.3125,0.6875,0.375,0.625,0.25,0.75,0.19047619047619047,0.8095238095238095,POR,13
2,1,7,0,0.0,0.0,0.0,733,1891,450,612,519,300,696,996,451,633,244,500,106,791,1944,656,159,410,343,1106,501,643,293,474,144,32,137656,0.34375,0.65625,0.375,0.625,0.3125,0.6875,0.23809523809523808,0.7619047619047619,POR,13
3,1,5,0,0.0,0.0,0.0,829,1951,410,564,391,307,641,948,492,623,239,493,120,819,1885,647,126,348,334,1012,486,616,272,508,139,32,128656,0.5,0.5,0.5625,0.4375,0.4375,0.5625,0.38095238095238093,0.6190476190476191,POR,13
1,1,3,1,0.5,0.0,0.0,876,1993,449,650,459,388,650,1038,567,571,332,458,157,811,1918,544,144,418,320,951,503,600,226,524,116,32,126841,0.65625,0.34375,0.8125,0.1875,0.5,0.5,0.6190476190476191,0.38095238095238093,SAC,14
2,1,2,1,1.0,0.5,0.0,837,1974,457,618,423,374,723,1097,558,588,276,494,158,804,2003,578,116,400,343,1005,496,616,261,481,143,32,133603,0.625,0.375,0.75,0.25,0.5,0.5,0.6190476190476191,0.38095238095238093,SAC,14
3,1,6,0,0.0,0.0,0.0,780,1945,494,653,395,301,648,949,500,675,247,456,109,815,1944,681,149,453,352,1075,493,633,233,496,128,32,144179,0.4375,0.5625,0.625,0.375,0.25,0.75,0.38095238095238093,0.6190476190476191,SAC,14
4,1,3,1,1.0,0.5,0.0,862,2107,425,626,473,349,718,1067,568,641,297,461,122,816,1991,597,149,467,345,1096,516,640,224,576,141,34,155578,0.5588235294117647,0.4411764705882353,0.7058823529411765,0.29411764705882354,0.4117647058823529,0.5882352941176471,0.5416666666666666,0.4583333333333333,SAC,14
5,1,4,1,1.0,0.5,0.0,874,2072,435,604,365,389,635,1024,519,641,314,485,118,803,1872,631,161,458,310,986,513,646,241,593,117,34,147544,0.5294117647058824,0.47058823529411764,0.5882352941176471,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.5454545454545454,0.45454545454545453,SAC,14
6,1,1,1,1.0,1.0,1.0,853,1986,494,721,360,369,674,1043,527,684,304,500,108,751,1823,653,113,376,273,967,463,723,235,622,132,34,145213,0.7352941176470589,0.2647058823529412,0.8823529411764706,0.11764705882352941,0.5882352941176471,0.4117647058823529,0.7727272727272727,0.22727272727272727,SAC,14
7,1,2,1,1.0,1.0,0.5,919,2190,542,741,461,418,720,1138,509,670,330,542,88,872,2021,661,156,507,294,1019,507,687,244,633,143,34,147739,0.6176470588235294,0.38235294117647056,0.8235294117647058,0.17647058823529413,0.4117647058823529,0.5882352941176471,0.5,0.5,SAC,14
8,1,3,1,0.5,0.0,0.0,901,2214,572,745,429,452,723,1175,537,642,325,611,101,891,2081,664,186,547,308,1026,542,689,274,649,141,34,142575,0.5588235294117647,0.4411764705882353,0.7058823529411765,0.29411764705882354,0.4117647058823529,0.5882352941176471,0.5454545454545454,0.45454545454545453,SAC,14
9,1,4,1,0.5,0.0,0.0,883,2159,611,816,438,388,721,1109,473,690,319,586,77,958,2128,622,186,542,308,1075,581,759,267,624,206,34,139066,0.5294117647058824,0.47058823529411764,0.7647058823529411,0.23529411764705882,0.29411764705882354,0.7058823529411765,0.45,0.55,SAC,14
10,1,6,0,0.0,0.0,0.0,946,2194,586,744,389,391,763,1154,540,645,289,584,98,994,2221,586,223,604,326,1028,627,704,262,576,147,34,131654,0.35294117647058826,0.6470588235294118,0.4117647058823529,0.5882352941176471,0.29411764705882354,0.7058823529411765,0.3,0.7,SAC,14
4,1,6,0,0.0,0.0,0.0,792,2068,538,736,315,350,795,1145,428,728,187,513,167,867,2176,745,149,482,389,1172,530,669,275,424,140,34,176526,0.35294117647058826,0.6470588235294118,0.5294117647058824,0.47058823529411764,0.17647058823529413,0.8235294117647058,0.4166666666666667,0.5833333333333334,SAS,15
5,1,7,0,0.0,0.0,0.0,812,1940,488,628,247,302,701,1003,493,628,272,513,106,888,2003,564,172,469,324,1034,575,624,280,492,129,34,142717,0.2647058823529412,0.7352941176470589,0.35294117647058826,0.6470588235294118,0.17647058823529413,0.8235294117647058,0.2727272727272727,0.7272727272727273,SAS,15
6,1,7,0,0.0,0.0,0.0,764,1833,503,652,339,256,690,946,433,650,195,535,90,898,2059,611,142,408,351,1055,563,685,283,429,148,34,135054,0.20588235294117646,0.7941176470588235,0.29411764705882354,0.7058823529411765,0.11764705882352941,0.8823529411764706,0.13636363636363635,0.8636363636363636,SAS,15
7,1,6,0,0.0,0.0,0.0,915,2255,504,672,556,354,814,1168,540,610,246,488,83,974,2262,640,165,459,372,1237,560,641,254,480,129,34,125749,0.38235294117647056,0.6176470588235294,0.35294117647058826,0.6470588235294118,0.4117647058823529,0.5882352941176471,0.5,0.5,SAS,15
8,1,2,1,1.0,0.5,0.0,923,2176,464,577,566,323,764,1087,567,653,283,558,130,904,2139,688,147,454,361,1137,516,619,257,583,137,34,128680,0.5882352941176471,0.4117647058823529,0.5294117647058824,0.47058823529411764,0.6470588235294118,0.35294117647058826,0.5909090909090909,0.4090909090909091,SAS,15
9,1,1,1,1.0,1.0,0.5,901,2080,561,694,539,246,847,1093,601,602,272,525,150,904,2271,634,139,483,389,1206,500,666,278,528,109,34,135722,0.7058823529411765,0.29411764705882354,0.8823529411764706,0.11764705882352941,0.5294117647058824,0.47058823529411764,0.5,0.5,SAS,15
10,1,4,1,0.5,0.0,0.0,936,2190,487,626,739,281,768,1049,598,596,257,509,116,1000,2279,620,173,499,364,1188,529,643,268,502,120,34,127957,0.4411764705882353,0.5588235294117647,0.5882352941176471,0.4117647058823529,0.29411764705882354,0.7058823529411765,0.5,0.5,SAS,15
1,1,8,0,0.0,0.0,0.0,667,1740,379,561,364,256,537,793,390,648,255,525,93,778,1721,654,117,334,288,1009,506,618,284,529,123,32,142594,0.1875,0.8125,0.25,0.75,0.125,0.875,0.19047619047619047,0.8095238095238095,SEA,16
2,1,8,0,0.0,0.0,0.0,689,1821,415,606,412,306,585,891,412,605,273,431,127,753,1750,559,125,325,296,1052,492,588,228,519,127,32,95257,0.3125,0.6875,0.3125,0.6875,0.3125,0.6875,0.2857142857142857,0.7142857142857143,SEA,16
3,1,4,1,0.5,0.0,0.0,794,1948,418,543,506,362,633,995,514,623,282,477,151,783,1818,587,102,342,307,969,488,563,254,531,125,32,111774,0.53125,0.46875,0.625,0.375,0.4375,0.5625,0.47619047619047616,0.5238095238095238,SEA,16
4,1,5,0,0.0,0.0,0.0,890,2045,442,567,500,342,732,1074,548,644,232,465,138,844,2039,591,145,437,352,1041,456,570,245,459,104,34,120857,0.5294117647058824,0.47058823529411764,0.7647058823529411,0.23529411764705882,0.29411764705882354,0.7058823529411765,0.4583333333333333,0.5416666666666666,SEA,16
5,1,2,1,1.0,1.0,1.0,873,2025,524,676,439,350,709,1059,552,665,302,499,131,851,1989,592,139,391,303,982,507,678,252,527,137,34,134291,0.5882352941176471,0.4117647058823529,0.7647058823529411,0.23529411764705882,0.4117647058823529,0.5882352941176471,0.5909090909090909,0.4090909090909091,SEA,16
6,1,2,1,0.5,0.0,0.0,906,2066,544,688,429,323,776,1099,520,657,201,516,158,892,2163,646,133,419,334,1020,568,691,267,438,154,34,151150,0.5882352941176471,0.4117647058823529,0.8235294117647058,0.17647058823529413,0.35294117647058826,0.6470588235294118,0.5909090909090909,0.4090909090909091,SEA,16
7,1,4,1,0.5,0.0,0.0,961,2124,562,712,475,327,821,1148,514,682,232,570,127,940,2218,707,164,484,322,1031,520,683,297,485,115,34,145664,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.5,0.5,SEA,16
8,1,4,1,0.5,0.0,0.0,964,2210,582,715,639,344,820,1164,533,620,242,533,151,987,2321,586,195,528,333,1094,591,642,272,495,112,34,135553,0.5,0.5,0.7058823529411765,0.29411764705882354,0.29411764705882354,0.7058823529411765,0.5,0.5,SEA,16
9,1,2,1,0.5,0.0,0.0,899,2112,552,728,453,340,822,1162,530,684,269,526,140,861,2164,680,172,539,332,1092,498,674,263,515,115,34,140503,0.6470588235294118,0.35294117647058826,0.9411764705882353,0.058823529411764705,0.35294117647058826,0.6470588235294118,0.65,0.35,SEA,16
10,1,2,1,0.5,0.0,0.0,909,2116,555,707,486,316,788,1104,536,710,276,555,150,882,2150,671,202,585,332,1078,517,672,275,555,131,34,133858,0.5882352941176471,0.4117647058823529,0.7647058823529411,0.23529411764705882,0.4117647058823529,0.5882352941176471,0.65,0.35,SEA,16
1,1,5,0,0.0,0.0,0.0,858,1896,609,790,262,348,732,1080,522,698,214,544,157,860,1964,721,156,448,313,911,503,702,301,437,112,32,103442,0.5625,0.4375,0.75,0.25,0.375,0.625,0.6190476190476191,0.38095238095238093,SAS,15
2,1,3,1,0.5,0.0,0.0,811,1849,507,675,244,295,775,1070,524,622,202,493,156,789,1976,660,125,429,344,974,478,645,275,390,148,32,110507,0.59375,0.40625,0.5625,0.4375,0.625,0.375,0.5238095238095238,0.47619047619047616,SAS,15
3,1,3,1,1.0,0.0,0.0,843,1911,643,844,247,347,721,1068,478,665,228,522,178,851,2067,688,126,377,361,1006,489,724,260,444,149,32,118720,0.625,0.375,0.75,0.25,0.5,0.5,0.5714285714285714,0.42857142857142855,SAS,15
1,0,4,1,0.5,0.0,0.0,832,1813,403,578,335,300,646,946,521,597,245,506,126,845,1875,555,149,397,299,911,513,595,261,456,102,32,244134,0.4375,0.5625,0.4375,0.5625,0.4375,0.5625,0.6190476190476191,0.38095238095238093,WAS,17
2,0,8,0,0.0,0.0,0.0,739,1915,333,504,418,356,699,1055,424,537,257,495,127,791,1945,467,146,408,331,1068,487,543,261,454,103,32,246667,0.3125,0.6875,0.5,0.5,0.125,0.875,0.19047619047619047,0.8095238095238095,WAS,17
3,0,3,1,1.0,0.0,0.0,806,1910,359,478,443,330,708,1038,516,583,221,455,94,786,1903,538,147,446,309,989,442,570,237,441,101,32,259237,0.53125,0.46875,0.5625,0.4375,0.5,0.5,0.5714285714285714,0.42857142857142855,WAS,17
4,0,7,0,0.0,0.0,0.0,896,2191,381,507,505,382,703,1085,568,676,213,462,99,909,2033,691,171,482,334,1115,591,565,251,468,119,34,238710,0.2647058823529412,0.7352941176470589,0.17647058823529413,0.8235294117647058,0.35294117647058826,0.6470588235294118,0.2916666666666667,0.7083333333333334,WAS,17
5,0,4,1,0.5,0.0,0.0,873,2088,474,661,283,337,726,1063,467,652,255,424,128,864,2013,686,146,425,336,1106,534,627,237,492,111,34,214448,0.5,0.5,0.6470588235294118,0.35294117647058826,0.35294117647058826,0.6470588235294118,0.45,0.55,WAS,17
6,0,5,0,0.0,0.0,0.0,847,1968,388,546,510,266,677,943,517,697,260,435,76,833,1872,648,150,433,267,1024,545,638,205,504,108,34,171501,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.4117647058823529,0.35294117647058826,0.6470588235294118,0.45,0.55,WAS,17
7,0,4,1,0.5,0.0,0.0,1016,2199,528,715,522,330,770,1100,576,784,306,541,113,909,2102,851,204,553,321,1041,583,687,252,573,89,34,133255,0.5294117647058824,0.47058823529411764,0.7647058823529411,0.23529411764705882,0.29411764705882354,0.7058823529411765,0.6,0.4,WAS,17
8,0,5,0,0.0,0.0,0.0,877,2170,668,839,528,335,783,1118,472,763,282,571,133,924,2216,801,175,520,383,1208,549,762,256,579,103,34,133255,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.4,0.6,WAS,17
9,0,6,0,0.0,0.0,0.0,885,2131,435,659,460,362,770,1132,483,757,241,637,93,929,2096,760,180,528,306,1093,542,708,314,530,146,34,154637,0.29411764705882354,0.7058823529411765,0.35294117647058826,0.6470588235294118,0.23529411764705882,0.7647058823529411,0.3,0.7,WAS,17
10,0,4,1,0.5,0.0,0.0,933,2205,580,827,426,388,803,1191,453,725,314,607,118,945,2184,755,162,478,322,1111,524,778,315,576,156,34,192747,0.47058823529411764,0.5294117647058824,0.6470588235294118,0.35294117647058826,0.29411764705882354,0.7058823529411765,0.45454545454545453,0.5454545454545454,WAS,17
