year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,total_blocks_weighted_mean,FG%_weighted_mean,FT%_weighted_mean,Avg_Rebounds_Per_Game_weighted_mean,Points_Ratio_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean,num_trophies
5,0,1,1,1,0,0.293,0.394,0.376,0.621,0.602,0.236,0.216,0.154,0.219,0.503,0.598,0.28,0.394,0.311,0.28,CON,5.0,3.0,15.46774031563708,0.41975424609364137,0.7564070336845501,4.817704294523294,0.22467967147991724,0.6644844731373145,0.4061489602266918,1.0
6,0,1,1,1,1,0.53,0.308,0.381,0.625,0.263,0.192,0.438,0.19,0.466,0.426,0.361,0.407,0.201,0.059,0.319,CON,5.0,3.0,19.560523570437745,0.43362781452155585,0.6807874137290915,5.06853878909748,0.21683848107054013,0.6488262124175778,0.4320084272903616,1.0
7,0,1,1,0,,0.499,0.507,0.476,0.819,0.349,0.463,0.588,0.432,0.579,0.571,0.473,0.507,0.371,0.237,0.34,CON,3.0,2.0,19.746082735443093,0.41618407260559626,0.7862925987312107,5.0765164318392175,0.1200196055312664,0.5631318125643884,0.4616754078637559,1.0
8,0,1,0,,,0.354,0.602,0.533,0.782,0.457,0.576,0.608,0.38,0.393,0.728,0.652,0.327,0.517,0.104,0.386,CON,1.0,2.0,15.875933790289498,0.4188201451146475,0.7619330103475901,4.486297106758545,0.09310264848808245,0.546216840838098,0.4042810948890262,0.0
9,0,1,0,,,0.615,0.719,0.61,0.741,0.129,0.345,0.222,0.405,0.522,0.722,0.561,0.367,0.421,0.244,0.359,CON,1.0,2.0,9.06961613653739,0.4060695797874196,0.7469229760423598,4.223957131221697,0.13684209817042448,0.48860772664634244,0.3835857356344428,0.0
10,0,0,,,,0.54,0.633,0.552,0.744,0.339,0.197,0.438,0.387,0.348,1.0,0.463,0.34,0.614,0.4,0.287,CON,,,11.146076427275776,0.3903023098064702,0.7341707753604286,3.7579358629223507,0.0,0.46992782327358695,0.33944202056687944,0.0
1,0,0,,,,0.557,0.063,0.471,0.386,0.392,0.533,0.163,0.128,0.36,0.193,0.422,0.58,0.591,0.57,0.246,DET,,,8.235580790293408,0.43214158066720204,0.7468787985602788,3.2512042635933236,0.0,0.4448608036644413,0.3109165496339826,0.0
2,0,0,,,,0.177,0.367,0.39,0.27,0.204,0.393,0.124,0.056,0.067,0.357,0.169,0.433,0.359,0.281,0.257,DET,,,8.114493392400606,0.40413057427843385,0.7587744693384215,3.2795010756835543,0.0,0.4537781699364539,0.3866624236262262,0.0
3,0,0,,,,0.441,0.217,0.562,0.3,0.075,0.581,0.451,0.295,0.264,0.27,0.26,0.533,0.205,0.504,0.181,DET,,,11.540822721299971,0.3927330104005003,0.6899973983629922,3.7978637123448187,0.0,0.46211821145590487,0.4381392323917636,0.0
4,0,1,1,1,1,1.0,0.285,0.652,0.529,0.409,0.873,0.621,0.506,0.691,0.283,0.392,0.747,0.413,0.43,0.377,DET,6.0,2.0,24.706998437861163,0.43189796029609784,0.6960959578678361,5.597922183433555,0.20785708214032544,0.6425765536133495,0.47349001340743213,2.0
5,0,1,0,,,0.782,0.0,0.738,0.594,0.484,0.459,0.556,0.488,0.326,0.431,0.429,0.613,0.409,0.444,0.512,DET,1.0,2.0,18.778465546702403,0.41788744026003183,0.6568870543548956,4.559005507602236,0.0845433739830965,0.535540267156024,0.44528956075401965,0.0
6,0,1,0,,,0.738,0.063,0.81,0.287,0.29,0.712,0.601,0.315,0.034,0.471,0.287,0.5,0.502,0.481,0.505,DET,0.0,2.0,14.600331942756599,0.3878148653963774,0.7038998883207466,3.9991855102900353,0.057264681199470625,0.5145728336436294,0.4697888100685415,0.0
7,0,1,1,1,1,0.671,0.335,0.781,0.621,0.14,0.563,0.484,0.55,0.32,0.511,0.291,0.52,0.448,0.274,0.505,DET,7.0,3.0,15.682202996974935,0.42054600306453976,0.7118097609996069,5.712969622474253,2.2102448491671267,0.7912441416719413,0.4057211144664919,2.0
8,0,1,1,1,0,0.765,0.434,0.657,0.59,0.215,0.681,0.353,0.66,0.236,0.563,0.534,0.527,0.537,0.341,0.536,DET,6.0,5.0,13.094410288654082,0.4121765012773276,0.7093803060118333,7.125571689952281,0.33735710411810255,0.7150716141647803,0.5041032413232746,2.0
9,0,1,1,1,1,0.666,0.48,0.776,0.73,0.489,0.384,0.359,0.673,0.32,0.513,0.446,0.213,0.703,0.356,0.521,DET,7.0,2.0,11.772267049044105,0.41484198371920616,0.772830173648583,6.4851378285202,0.4856755202833585,0.7154947564953608,0.4261717583656213,1.0
10,0,1,1,0,,0.61,0.412,0.624,0.631,0.398,0.603,0.222,0.662,0.298,0.566,0.459,0.547,0.544,0.289,0.389,DET,3.0,2.0,9.839337540784525,0.39617069787318115,0.6591121214853741,4.145050697495885,0.15348909064714916,0.54056738610365,0.38825986209686386,0.0
