year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,total_blocks_weighted_mean,FG%_weighted_mean,FT%_weighted_mean,Avg_Rebounds_Per_Game_weighted_mean,Points_Ratio_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean,num_trophies
1,1,1,0,,,0.465,0.281,0.157,0.256,0.527,0.092,0.183,0.226,0.376,0.18,0.331,0.18,0.544,0.148,0.513,PHO,0.0,2.0,10.421898871812218,0.42186049424899674,0.78099829912119,3.2734341149035235,0.06306074182888867,0.5072842253678189,0.3890038910052411,0.0
2,1,0,,,,0.286,0.176,0.276,0.423,0.565,0.485,0.49,0.17,0.371,0.347,0.459,0.573,0.49,0.415,0.394,PHO,,,10.572678925258275,0.3436932632548189,0.7293200351654961,2.7862168281848434,0.0,0.4121166484573805,0.35475989520761986,0.0
3,1,0,,,,0.167,0.172,0.238,0.126,0.43,0.406,0.203,0.163,0.236,0.331,0.486,0.473,0.39,0.415,0.408,PHO,,,8.317106207720567,0.41048685727767864,0.7495787104392642,2.8020636539406216,0.0,0.42160136403043125,0.30699965075258534,1.0
4,1,0,,,,0.211,0.244,0.548,0.242,0.661,0.31,0.314,0.125,0.202,0.646,0.409,0.52,0.849,0.556,0.431,PHO,,,8.03657383397789,0.35699938136288306,0.6191887798880178,2.752374365138182,0.0,0.4019392534040731,0.2862401124035617,0.0
5,1,0,,,,0.312,0.588,0.105,0.379,0.511,0.245,0.484,0.074,0.236,0.381,0.23,0.193,0.564,0.489,0.39,PHO,,,13.125397680960223,0.42165073783534257,0.7314344440222549,3.080985417379269,0.0,0.4742021186432531,0.34843674171500505,1.0
6,1,0,,,,0.542,0.525,0.476,0.543,0.301,0.476,0.758,0.038,0.292,0.365,0.277,0.453,0.359,0.304,0.33,PHO,,,15.515437388140734,0.4098661961771211,0.7412091620296364,3.7801213773308167,0.0,0.4926893272751329,0.3735063688506316,0.0
7,1,0,,,,0.521,0.919,0.438,0.853,0.473,0.148,0.418,0.678,0.792,0.815,0.642,0.227,0.568,0.407,0.343,PHO,,,11.332845926180703,0.42389020611139483,0.7128743271331988,3.7894527983086137,0.0,0.4900593890878876,0.41594835246859657,1.0
8,1,1,1,1,1,0.69,1.0,0.176,1.0,0.527,0.341,0.627,1.0,1.0,1.0,0.811,0.313,0.792,0.281,0.367,PHO,7.0,2.0,25.655802391653264,0.42768592757612656,0.8097749732694524,5.514481749308545,0.2560777777210377,0.6787364655029102,0.3923860693105927,1.0
9,1,0,,,,0.736,0.76,0.633,0.58,0.242,0.354,0.608,0.85,0.972,0.77,0.885,0.247,0.425,0.43,0.433,PHO,,,14.355042404767504,0.42776380880132897,0.7635355564555077,4.073907405982905,0.0,0.4647330466794887,0.43505944634031,0.0
10,1,1,1,1,1,0.685,0.882,0.2,0.802,0.204,0.402,0.771,0.655,0.865,0.786,0.74,0.42,0.27,0.533,0.433,PHO,7.0,4.0,24.04407608497605,0.4663310860396805,0.8557251822108954,5.355135376782954,0.36703272560412925,0.6720774023381172,0.39433537139990604,3.0
1,1,0,,,,0.552,0.376,0.319,0.307,0.419,0.808,0.196,0.295,0.225,0.209,0.334,0.533,0.544,0.437,0.374,POR,,,9.696414127910153,0.4018191094846282,0.6771955128105515,3.2719095163271996,0.0,0.4767981019517371,0.2846316496682198,0.0
2,1,0,,,,0.346,0.498,0.276,0.208,0.306,0.402,0.281,0.213,0.427,0.519,0.382,0.64,0.324,0.541,0.397,POR,,,11.107710918801654,0.3911942865357828,0.6830190902102794,3.3555993021309005,0.0,0.46237398635757737,0.30682967715016346,1.0
3,1,0,,,,0.23,0.294,0.31,0.348,0.28,0.371,0.373,0.074,0.376,0.294,0.331,0.5,0.456,0.504,0.352,POR,,,12.160113858330462,0.4140069979020169,0.7455717696070037,2.960227112672358,0.0,0.432700618858721,0.2946500793781296,0.0
1,1,1,0,,,0.438,0.362,0.695,0.604,0.78,0.218,0.614,0.23,0.298,0.169,0.389,0.193,0.517,0.333,0.343,SAC,0.0,2.0,20.510688523757295,0.4237470662651066,0.6898585036593073,4.394676318593432,0.06621016818128568,0.5476952413382107,0.42797443827562914,0.0
2,1,1,1,0,,0.361,0.457,0.629,0.573,0.478,0.376,0.621,0.19,0.427,0.251,0.365,0.427,0.351,0.533,0.377,SAC,3.0,2.0,20.409340371663436,0.4211635002969041,0.7435793643291985,4.855717227474727,0.17945665808130884,0.5961835474983206,0.354013870379924,0.0
3,1,0,,,,0.446,0.226,0.281,0.375,0.323,0.21,0.301,0.309,0.478,0.413,0.355,0.24,0.409,0.422,0.429,SAC,,,11.43598512599041,0.39469520607501524,0.6951872359308707,3.8919803447823673,0.0,0.5332838763811009,0.3516001569367754,0.0
4,1,1,1,0,,0.38,0.398,0.51,0.608,0.591,0.231,0.386,0.34,0.438,0.487,0.432,0.18,0.718,0.519,0.486,SAC,3.0,3.0,17.122738400447616,0.39918546441447905,0.6880448742393173,4.445471568748091,0.15308313486329597,0.5687211855062024,0.3745420409149783,1.0
5,1,1,1,0,,0.327,0.303,0.7,0.44,0.683,0.336,0.359,0.32,0.242,0.288,0.422,0.293,0.784,0.341,0.446,SAC,3.0,3.0,17.42125450142695,0.4135683650235862,0.6556598610059171,3.9611502056665153,0.1674290653866708,0.5512596814123465,0.3637850169233437,0.0
6,1,1,1,1,1,0.61,0.303,0.605,0.468,0.629,0.402,0.294,0.136,0.034,0.336,0.253,0.253,0.896,0.452,0.434,SAC,7.0,1.0,12.93945056731252,0.4143603837277888,0.7141539382274629,4.362759599406723,0.24562261275990432,0.5904934146244668,0.362374487634204,1.0
7,1,1,1,1,0,0.659,0.43,0.838,0.406,0.769,0.585,0.163,0.43,0.152,0.418,0.402,0.313,0.938,0.533,0.447,SAC,6.0,3.0,10.748529503190934,0.41065473149857695,0.7273691406585083,4.535641594991707,0.3062210047059732,0.5613954868906086,0.3411091485847371,2.0
8,1,1,0,,,0.668,0.412,1.0,0.502,0.742,0.886,0.248,0.519,0.23,0.399,0.52,0.513,1.0,0.519,0.421,SAC,1.0,2.0,11.295184116796001,0.4035041157889442,0.7813597640960125,4.438557383440608,0.08580873160766042,0.49577521055643703,0.4554265448897351,0.0
9,1,1,0,,,0.84,0.48,0.695,0.283,0.71,0.777,0.092,0.508,0.23,0.529,0.652,0.467,0.903,1.0,0.404,SAC,1.0,2.0,6.832083791484626,0.41978643479081607,0.7135633206788768,3.7266781574299044,0.18006031703153447,0.4552417227461003,0.3513489570282013,0.0
10,1,0,,,,0.666,0.317,0.71,0.512,0.548,0.769,0.229,0.647,0.331,0.357,0.807,0.433,0.718,0.563,0.367,SAC,,,8.180118372308165,0.4199529273865099,0.7940992650579012,3.5903245460826168,0.0,0.44028239981208533,0.3629651098927013,1.0
4,1,0,,,,0.646,0.14,0.514,0.13,0.0,0.459,0.68,0.374,0.685,0.571,0.48,0.52,0.131,0.511,0.59,SAS,,,20.584024386304634,0.38136668607981006,0.7364419095749002,4.142489417518764,0.0,0.5274373267352218,0.39063022067847825,0.0
5,1,0,,,,0.385,0.077,0.286,0.352,0.457,0.459,0.281,0.345,0.32,0.378,0.632,0.553,0.394,0.43,0.422,SAS,,,7.92373835523608,0.4099739886889611,0.7368205590780704,3.161972427525438,0.0,0.4628081329827926,0.34554489524178356,0.0
6,1,0,,,,0.443,0.217,0.067,0.147,0.043,0.555,0.176,0.208,0.472,0.362,0.591,0.573,0.151,0.57,0.384,SAS,,,4.945924316425701,0.39668812367094836,0.7297135670362416,2.712737356791791,0.0,0.46579490336636636,0.21968124748955783,0.0
7,1,0,,,,0.492,0.575,0.533,0.512,0.317,0.349,0.131,0.322,0.59,0.788,0.581,0.38,0.347,0.43,0.338,SAS,,,6.589362045201994,0.40145539306390077,0.7756799266473005,3.859263434193263,0.0,0.47295495671030663,0.387671204690661,0.0
8,1,1,1,0,,0.262,0.656,0.386,0.604,0.516,0.655,0.438,0.311,0.528,0.553,0.432,0.4,0.745,0.489,0.352,SAS,2.0,3.0,16.975052822411886,0.42121192229177745,0.7907502566270985,4.557268149096432,0.1890319565216224,0.6142468621400186,0.38221189025705304,0.0
9,1,1,1,1,0,0.545,0.548,0.019,0.72,0.457,0.511,0.569,0.376,0.685,0.661,0.378,0.54,0.533,0.281,0.387,SAS,4.0,5.0,20.004782183925347,0.40592556437753524,0.7704962643904537,5.11974749961839,0.23231758662388774,0.6718663216642486,0.3302131137834134,1.0
10,1,1,0,,,0.38,0.878,0.186,0.71,0.376,0.441,0.346,0.412,0.545,0.68,0.476,0.473,0.432,0.363,0.349,SAS,1.0,2.0,12.188168927413827,0.43062330398974696,0.7888732727651122,4.347651885732574,0.10576632357076102,0.5755762060545183,0.36049005250570365,0.0
1,1,0,,,,0.223,0.213,0.067,0.0,0.366,0.511,0.196,0.043,0.118,0.407,0.399,0.58,0.537,0.385,0.421,SEA,,,7.449414416116577,0.3681848817560399,0.655925889745243,2.441146648579101,0.0,0.44354500929854485,0.24910986090581871,0.0
2,1,0,,,,0.332,0.299,0.305,0.075,0.462,0.1,0.418,0.022,0.163,0.5,0.351,0.207,0.498,0.415,0.187,SEA,,,15.032269526077977,0.36949156991194054,0.6738857671486103,3.101165980030572,0.0,0.4593653908367414,0.3198059025278539,0.0
3,1,1,0,,,0.179,0.543,0.571,0.423,0.511,0.301,0.575,0.06,0.225,0.251,0.338,0.38,0.544,0.4,0.269,SEA,0.0,2.0,15.840861256295913,0.3895603606557587,0.7503558284182679,3.5512722869457733,0.051411325609941015,0.5059881185973912,0.31341191292500964,0.0
4,1,0,,,,0.237,0.471,0.476,0.539,0.242,0.249,0.49,0.273,0.478,0.323,0.23,0.32,0.266,0.244,0.314,SEA,,,15.433088023004935,0.4170392257835734,0.7517739652038612,3.745077439080815,0.0,0.4840573192109378,0.36442166920196667,1.0
5,1,1,1,1,1,0.501,0.475,0.514,0.553,0.618,0.397,0.444,0.17,0.202,0.296,0.402,0.367,0.529,0.489,0.38,SEA,6.0,2.0,19.812650523888585,0.42371334117622544,0.7712235403969434,4.871917065662134,0.23255312285686583,0.6447367543493209,0.37068605551749306,1.0
6,1,1,0,,,0.53,0.362,0.386,0.444,0.075,0.472,0.621,0.233,0.376,0.315,0.608,0.467,0.185,0.615,0.464,SEA,1.0,2.0,19.37939856477479,0.4270060308190014,0.7424947724864046,4.169091542775663,0.07187536912422479,0.5455505476733683,0.33071857904608054,0.0
7,1,1,0,,,0.588,0.443,0.405,0.423,0.242,0.707,0.418,0.378,0.309,0.376,0.446,0.667,0.367,0.326,0.437,SEA,1.0,2.0,14.345706274080692,0.42564296306423405,0.7381907007358415,4.434985595128785,0.06745429248196502,0.5005646833476746,0.34777192023125436,2.0
8,1,1,0,,,0.596,0.733,0.486,0.488,0.296,0.546,0.575,0.477,0.371,0.513,0.686,0.5,0.405,0.304,0.386,SEA,0.0,2.0,17.01549386427946,0.41581065870814327,0.7336013298656074,4.0425517756052685,0.0628236324582167,0.5018816797656421,0.3785036568549189,2.0
9,1,1,0,,,0.627,0.367,0.467,0.478,0.441,0.515,0.503,0.501,0.365,0.511,0.372,0.44,0.483,0.326,0.411,SEA,1.0,2.0,14.379389937017525,0.41364517033329185,0.7398873303750989,4.358435326472276,0.08859664755253727,0.543977099685154,0.4088051589815356,0.0
10,1,1,0,,,0.576,0.493,0.352,0.498,0.478,0.642,0.569,0.604,0.365,0.474,0.436,0.52,0.637,0.444,0.378,SEA,1.0,2.0,14.607144337590407,0.39049458131659703,0.7305797044824783,4.740489158189251,0.08883883081076033,0.588623412335898,0.3883500167914221,1.0
1,1,0,,,,0.777,0.118,0.505,0.451,0.145,0.594,0.614,0.298,0.258,0.082,0.389,0.693,0.181,0.304,0.227,SAS,,,14.975714844607975,0.42494426735713775,0.753745492098451,4.21616152417163,0.0,0.5177400876791783,0.4156733979943804,0.0
2,1,1,0,,,0.499,0.072,0.252,0.457,0.081,0.371,0.608,0.255,0.433,0.167,0.304,0.52,0.0,0.57,0.262,SAS,0.0,2.0,22.265389643896576,0.4202146718073976,0.765825682833582,4.902382923785072,0.07544063379797136,0.6000238983311559,0.45690631467768794,0.0
3,1,1,1,,,0.908,0.122,0.5,0.3,0.22,0.498,0.752,0.139,0.528,0.206,0.341,0.42,0.208,0.578,0.303,SAS,2.0,3.0,25.034409957960264,0.4361059969666122,0.7624309379073194,5.224291707001499,0.15625597138733222,0.6628448102688779,0.443339361142327,0.0
1,0,1,0,,,0.264,0.213,0.276,0.447,0.312,0.428,0.412,0.183,0.18,0.119,0.422,0.427,0.255,0.23,0.925,WAS,0.0,2.0,18.071076338226096,0.4446005206748438,0.6915809114767181,4.112522675993557,0.051965433108471536,0.5879140870999159,0.38667938390241924,0.0
2,0,0,,,,0.085,0.249,0.543,0.116,0.376,0.38,0.418,0.208,0.36,0.45,0.334,0.427,0.247,0.237,0.938,WAS,,,16.374363609006124,0.36785641242649336,0.6369075117055364,4.015321698299422,0.0,0.4863450630280074,0.37111664276031975,0.0
3,0,1,1,,,0.022,0.462,0.419,0.43,0.183,0.205,0.203,0.293,0.236,0.299,0.182,0.267,0.197,0.222,1.0,WAS,3.0,2.0,11.294743150332385,0.41311521861002337,0.7286546173207156,4.932983276254067,0.1623926894335954,0.568355733769423,0.4354914289184259,1.0
4,0,0,,,,0.092,0.43,0.667,0.608,0.14,0.236,0.235,0.374,0.376,0.566,0.686,0.36,0.301,0.356,0.898,WAS,,,10.41289523619034,0.39350921095088504,0.7159095075579284,3.9528338934616833,0.0,0.485380576750301,0.41753288639340636,0.0
5,0,1,0,,,0.465,0.195,0.452,0.263,0.366,0.07,0.425,0.246,0.388,0.537,0.493,0.267,0.394,0.296,0.778,WAS,1.0,2.0,15.146159261096916,0.4084055336122797,0.6963388467576545,4.087831013201452,0.08028766254366466,0.520791083501639,0.4515617456456718,0.0
6,0,0,,,,0.186,0.538,0.114,0.433,0.392,0.118,0.085,0.264,0.0,0.503,0.53,0.053,0.44,0.274,0.565,WAS,,,8.783316691556978,0.42739643366887725,0.7002808592619053,3.489837158322393,0.0,0.5236758128439221,0.40628360183004436,1.0
7,0,1,0,,,0.596,0.566,0.419,0.635,0.64,0.581,0.327,0.532,0.303,0.405,0.659,0.367,0.707,0.133,0.375,WAS,0.0,2.0,13.785011301158764,0.45207275286915793,0.7530643128717304,4.263286960653277,0.04424660714433502,0.546404085490257,0.435235218212369,0.0
8,0,0,,,,0.896,0.457,0.443,0.28,0.511,0.712,0.458,0.459,0.652,0.683,0.544,0.393,0.73,0.237,0.375,WAS,,,13.232763391751964,0.38555808607729886,0.770036567806415,3.908796414296533,0.0,0.48810881084054103,0.39495508620009545,0.0
9,0,0,,,,0.46,0.457,0.571,0.317,0.29,1.0,0.196,0.477,0.219,0.582,0.52,0.78,0.541,0.556,0.481,WAS,,,9.178362283396398,0.40177934424209727,0.6200769005425751,3.7943161525170574,0.0,0.46833908239157673,0.3688062548051503,0.0
10,0,1,0,,,0.867,0.348,0.695,0.215,0.683,0.869,0.359,0.365,0.309,0.587,0.459,0.787,0.718,0.63,0.67,WAS,0.0,2.0,13.872745791863128,0.42051763341965126,0.7110026624178992,4.282435174895069,0.059732698204437065,0.5298093219534532,0.4215728236543566,1.0
