year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID
3,0,0.857,0,0.0,0.0,0.0,0.235,0.107,0.29,0.203,0.267,0.283,0.252,0.348,0.34,0.307,0.304,0.183,0.188,0.131,0.187,0.309,0.174,0.195,0.158,0.288,0.282,0.062,0.193,0.087,0.48,0.312,0.3,0.147,0.281,0.283,0.0,0.24,0.454,0.257,0.743,0.203,0.797,0.42,0.58,0.29,0.71,CLE
4,0,0.429,1,0.5,0.0,0.0,0.349,0.315,0.391,0.421,0.33,0.369,0.51,0.464,0.533,0.433,0.523,0.21,0.253,0.15,0.305,0.337,0.277,0.379,0.334,0.177,0.089,0.185,0.362,0.253,0.412,0.504,0.173,0.297,0.474,0.34,1.0,0.68,0.338,0.505,0.495,0.625,0.375,0.39,0.61,0.549,0.451,CLE
4,0,0.286,1,1.0,0.5,0.0,0.451,0.486,0.436,0.429,0.52,0.576,0.433,0.571,0.583,0.444,0.596,0.446,0.114,0.314,0.421,0.465,0.472,0.499,0.469,0.404,0.494,0.556,0.648,0.59,0.557,0.546,0.367,0.332,0.126,0.5,1.0,0.76,0.222,0.544,0.456,0.562,0.438,0.546,0.454,0.445,0.555,CON
5,0,0.0,1,1.0,1.0,0.5,0.476,0.417,0.301,0.293,0.394,0.439,0.376,0.475,0.486,0.621,0.435,0.602,0.236,0.216,0.385,0.451,0.353,0.32,0.318,0.268,0.154,0.219,0.503,0.368,0.598,0.371,0.28,0.394,0.311,0.415,1.0,0.8,0.28,0.544,0.456,0.562,0.438,0.546,0.454,0.746,0.254,CON
6,0,0.0,1,1.0,1.0,1.0,0.559,0.383,0.534,0.53,0.308,0.281,0.381,0.637,0.612,0.625,0.477,0.263,0.192,0.438,0.489,0.398,0.468,0.344,0.318,0.152,0.19,0.466,0.426,0.397,0.361,0.571,0.407,0.201,0.059,0.367,1.0,0.64,0.319,0.854,0.146,0.812,0.188,0.859,0.141,0.683,0.317,CON
7,0,0.0,1,1.0,0.5,0.0,0.696,0.639,0.633,0.499,0.507,0.511,0.476,0.987,0.917,0.819,0.191,0.349,0.463,0.588,0.645,0.66,0.752,0.089,0.115,0.359,0.432,0.579,0.571,0.542,0.473,0.45,0.507,0.371,0.237,0.506,1.0,0.68,0.34,0.854,0.146,0.812,0.188,0.859,0.141,0.808,0.192,CON
8,0,0.286,1,0.5,0.0,0.0,0.736,0.788,0.433,0.354,0.602,0.615,0.533,0.84,0.828,0.782,0.529,0.457,0.576,0.608,0.639,0.726,0.708,0.407,0.373,0.374,0.38,0.393,0.728,0.592,0.652,0.396,0.327,0.517,0.104,0.648,1.0,0.84,0.386,0.544,0.456,0.438,0.562,0.702,0.298,0.497,0.503,CON
9,0,0.143,1,0.5,0.0,0.0,0.661,0.733,0.615,0.615,0.719,0.777,0.61,0.843,0.861,0.741,0.492,0.129,0.345,0.222,0.651,0.677,0.671,0.398,0.398,0.338,0.405,0.522,0.722,0.632,0.561,0.688,0.367,0.421,0.244,0.606,1.0,0.72,0.359,0.66,0.34,0.75,0.25,0.546,0.454,0.683,0.317,CON
10,0,0.714,0,0.0,0.0,0.0,0.663,0.86,0.549,0.54,0.633,0.727,0.552,0.734,0.755,0.744,0.638,0.339,0.197,0.438,0.621,0.672,0.618,0.721,0.619,0.328,0.387,0.348,1.0,0.776,0.463,0.608,0.34,0.614,0.4,0.697,1.0,0.92,0.287,0.466,0.534,0.688,0.312,0.234,0.766,0.441,0.559,CON
1,0,0.571,0,0.0,0.0,0.0,0.459,0.322,0.555,0.557,0.063,0.114,0.471,0.272,0.371,0.386,0.711,0.392,0.533,0.163,0.382,0.56,0.321,0.42,0.426,0.222,0.128,0.36,0.193,0.19,0.422,0.558,0.58,0.591,0.57,0.513,0.0,0.04,0.246,0.422,0.578,0.469,0.531,0.42,0.58,0.467,0.533,DET
