year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID
1,0,0.714,0,0.0,0.0,0.0,0.0,0.046,0.355,0.472,0.104,0.176,0.586,0.147,0.322,0.085,0.729,0.457,0.507,0.163,0.007,0.119,0.0,0.35,0.375,0.126,0.0,0.045,0.214,0.097,0.095,0.512,0.333,0.533,0.348,0.171,0.0,0.12,0.348,0.381,0.619,0.535,0.465,0.254,0.746,0.408,0.592,MIA
2,0,0.286,1,0.5,0.0,0.0,0.222,0.115,0.069,0.0,0.14,0.151,0.238,0.289,0.29,0.263,0.41,0.608,0.175,0.588,0.101,0.035,0.054,0.257,0.295,0.141,0.179,0.191,0.265,0.184,0.0,0.0,0.413,0.471,0.119,0.088,0.0,0.28,0.417,0.67,0.33,0.602,0.398,0.751,0.249,0.704,0.296,MIA
3,0,0.714,0,0.0,0.0,0.0,0.264,0.156,0.107,0.145,0.303,0.308,0.257,0.091,0.147,0.294,0.535,0.468,0.118,0.216,0.168,0.188,0.051,0.39,0.348,0.187,0.15,0.062,0.333,0.19,0.196,0.208,0.167,0.483,0.244,0.241,0.0,0.12,0.415,0.464,0.536,0.535,0.465,0.42,0.58,0.527,0.473,MIA
1,1,0.714,0,0.0,0.0,0.0,0.256,0.122,0.346,0.298,0.643,0.613,0.076,0.19,0.149,0.358,0.678,0.269,0.389,0.0,0.278,0.212,0.091,0.512,0.529,0.364,0.371,0.185,0.291,0.201,0.284,0.704,0.52,0.606,0.437,0.322,0.0,0.04,0.293,0.464,0.536,0.469,0.531,0.502,0.498,0.172,0.828,MIN
2,1,0.714,0,0.0,0.0,0.0,0.05,0.094,0.675,0.625,0.516,0.581,0.314,0.396,0.402,0.16,0.693,0.124,0.432,0.418,0.191,0.205,0.277,0.472,0.369,0.308,0.351,0.343,0.32,0.277,0.416,0.754,0.413,0.309,0.407,0.296,0.0,0.12,0.312,0.34,0.66,0.336,0.664,0.42,0.58,0.408,0.592,MIN
3,1,1.0,0,0.0,0.0,0.0,0.166,0.047,0.149,0.264,0.471,0.494,0.319,0.287,0.32,0.259,0.456,0.21,0.528,0.255,0.136,0.193,0.145,0.39,0.346,0.247,0.166,0.197,0.119,0.079,0.361,0.333,0.507,0.29,0.341,0.254,0.0,0.12,0.408,0.257,0.743,0.402,0.598,0.171,0.829,0.231,0.769,MIN
4,1,0.429,1,0.5,0.0,0.0,0.474,0.319,0.349,0.375,0.534,0.534,0.567,0.459,0.552,0.648,0.508,0.296,0.655,0.248,0.418,0.498,0.432,0.401,0.387,0.247,0.293,0.393,0.225,0.224,0.473,0.533,0.493,0.313,0.407,0.468,1.0,0.72,0.311,0.544,0.456,0.625,0.375,0.468,0.532,0.601,0.399,MIN
5,1,0.286,1,0.5,0.0,0.0,0.249,0.215,0.361,0.414,0.52,0.564,0.429,0.475,0.508,0.464,0.587,0.376,0.895,0.497,0.257,0.326,0.327,0.447,0.461,0.0,0.034,0.315,0.386,0.315,0.405,0.575,0.907,0.432,0.459,0.323,1.0,0.72,0.335,0.544,0.456,0.625,0.375,0.468,0.532,0.554,0.446,MIN
6,1,0.714,0,0.0,0.0,0.0,0.32,0.277,0.31,0.32,0.498,0.481,0.324,0.452,0.448,0.481,0.477,0.382,0.559,0.418,0.292,0.46,0.379,0.298,0.303,0.187,0.136,0.433,0.381,0.352,0.503,0.529,0.52,0.375,0.541,0.402,1.0,0.72,0.277,0.388,0.612,0.625,0.375,0.156,0.844,0.384,0.616,MIN
7,1,0.857,0,0.0,0.0,0.0,0.62,0.632,0.454,0.513,0.389,0.358,0.467,0.678,0.678,0.345,0.568,0.032,0.533,0.327,0.525,0.791,0.704,0.604,0.564,0.439,0.508,0.59,0.701,0.64,0.801,0.396,0.74,0.185,0.393,0.762,1.0,0.68,0.257,0.233,0.767,0.438,0.562,0.078,0.922,0.249,0.751,MIN
8,1,0.714,0,0.0,0.0,0.0,0.674,0.826,0.591,0.496,0.457,0.487,0.738,0.629,0.751,0.703,0.748,0.274,0.668,0.209,0.61,0.753,0.573,0.783,0.699,0.354,0.327,0.287,0.616,0.474,0.598,0.446,0.547,0.537,0.563,0.776,1.0,0.76,0.314,0.233,0.767,0.375,0.625,0.156,0.844,0.328,0.672,MIN
9,1,0.857,0,0.0,0.0,0.0,0.715,0.756,0.952,0.956,0.321,0.348,0.529,0.647,0.68,0.57,0.863,0.656,0.279,0.444,0.708,0.721,0.6,0.778,0.748,0.348,0.383,0.466,0.78,0.656,0.672,0.875,0.34,0.73,0.511,0.751,1.0,0.8,0.302,0.466,0.534,0.5,0.5,0.468,0.532,0.373,0.627,MIN
10,1,0.571,0,0.0,0.0,0.0,0.628,0.694,0.77,0.719,0.814,0.821,0.395,0.571,0.568,0.406,0.687,0.613,0.459,0.425,0.681,0.877,0.645,0.61,0.547,0.52,0.436,0.281,0.743,0.565,0.679,0.65,0.353,0.591,0.511,0.836,1.0,0.76,0.35,0.388,0.612,0.5,0.5,0.312,0.688,0.311,0.689,MIN
1,0,0.0,1,1.0,1.0,0.5,0.301,0.101,0.287,0.237,0.33,0.32,0.219,0.292,0.284,0.297,0.456,0.317,0.288,0.255,0.244,0.179,0.161,0.304,0.299,0.121,0.235,0.298,0.212,0.182,0.25,0.446,0.173,0.344,0.17,0.199,0.0,0.04,0.865,0.67,0.33,0.734,0.266,0.585,0.415,0.704,0.296,NYL
2,0,0.143,1,1.0,0.5,0.0,0.387,0.118,0.009,0.075,0.443,0.362,0.062,0.312,0.236,0.556,0.453,0.419,0.127,0.124,0.255,0.186,0.092,0.369,0.402,0.207,0.177,0.208,0.296,0.213,0.142,0.258,0.173,0.409,0.037,0.237,0.0,0.0,0.957,0.711,0.289,0.801,0.199,0.585,0.415,0.645,0.355,NYL
3,0,0.0,1,1.0,1.0,0.5,0.26,0.0,0.2,0.237,0.376,0.327,0.086,0.185,0.149,0.362,0.52,0.398,0.218,0.242,0.2,0.063,0.063,0.431,0.412,0.288,0.266,0.253,0.217,0.17,0.074,0.246,0.207,0.34,0.126,0.183,0.0,0.08,0.878,0.587,0.413,0.602,0.398,0.585,0.415,0.527,0.473,NYL
4,0,0.714,0,0.0,0.0,0.0,0.37,0.246,0.236,0.165,0.538,0.494,0.138,0.378,0.317,0.468,0.365,0.403,0.271,0.425,0.316,0.365,0.312,0.363,0.281,0.318,0.34,0.331,0.447,0.366,0.399,0.317,0.48,0.347,0.185,0.377,1.0,0.72,0.767,0.466,0.534,0.625,0.375,0.312,0.688,0.445,0.555,NYL
5,0,0.143,1,1.0,0.5,0.0,0.358,0.258,0.194,0.15,0.697,0.69,0.1,0.518,0.407,0.509,0.365,0.118,0.428,0.399,0.322,0.472,0.464,0.287,0.277,0.202,0.226,0.584,0.431,0.441,0.436,0.212,0.607,0.154,0.385,0.409,1.0,0.8,0.548,0.544,0.456,0.625,0.375,0.468,0.532,0.497,0.503,NYL
6,0,0.286,1,0.5,0.0,0.0,0.376,0.161,0.355,0.201,0.661,0.67,0.0,0.495,0.349,0.369,0.444,0.145,0.236,0.32,0.37,0.453,0.371,0.317,0.336,0.167,0.186,0.438,0.312,0.304,0.287,0.217,0.52,0.081,0.111,0.4,1.0,0.84,0.569,0.544,0.456,0.562,0.438,0.546,0.454,0.435,0.565,NYL
7,0,0.571,0,0.0,0.0,0.0,0.364,0.442,0.534,0.438,0.697,0.737,0.205,0.505,0.44,0.29,0.629,0.349,0.734,0.32,0.412,0.702,0.526,0.618,0.57,0.399,0.327,0.416,0.701,0.58,0.405,0.542,0.487,0.367,0.467,0.698,1.0,0.76,0.483,0.272,0.728,0.375,0.625,0.234,0.766,0.311,0.689,NYL
8,0,0.429,1,0.5,0.0,0.0,0.464,0.466,0.29,0.269,0.819,0.75,0.214,0.637,0.544,0.375,0.459,0.548,0.891,0.301,0.443,0.595,0.604,0.396,0.359,0.495,0.613,0.624,0.714,0.662,0.409,0.292,0.827,0.664,0.326,0.574,1.0,0.72,0.448,0.466,0.534,0.562,0.438,0.39,0.61,0.497,0.503,NYL
9,0,0.286,1,1.0,0.5,0.0,0.551,0.574,0.469,0.446,0.891,0.839,0.405,0.612,0.602,0.549,0.571,0.554,0.607,0.353,0.563,0.605,0.538,0.518,0.471,0.414,0.38,0.478,0.677,0.584,0.365,0.362,0.587,0.653,0.281,0.603,1.0,0.8,0.477,0.583,0.417,0.625,0.375,0.546,0.454,0.559,0.441,NYL
10,0,0.857,0,0.0,0.0,0.0,0.526,0.574,0.373,0.274,0.869,0.846,0.181,0.673,0.558,0.464,0.517,0.478,0.59,0.379,0.517,0.563,0.531,0.558,0.469,0.505,0.535,0.371,0.799,0.636,0.318,0.217,0.48,0.61,0.393,0.601,1.0,0.8,0.541,0.35,0.65,0.438,0.562,0.312,0.688,0.384,0.616,NYL
1,0,0.286,1,0.5,0.0,0.0,0.387,0.23,0.191,0.186,0.376,0.367,0.367,0.175,0.255,0.283,0.353,0.366,0.341,0.438,0.289,0.435,0.318,0.144,0.105,0.308,0.302,0.455,0.27,0.279,0.5,0.412,0.447,0.425,0.274,0.358,0.0,0.16,0.298,0.505,0.495,0.668,0.332,0.337,0.663,0.645,0.355,CON
2,0,0.571,0,0.0,0.0,0.0,0.252,0.234,0.29,0.286,0.507,0.548,0.543,0.195,0.342,0.212,0.535,0.715,0.541,0.405,0.238,0.33,0.171,0.301,0.33,0.328,0.275,0.275,0.243,0.197,0.493,0.258,0.673,0.602,0.319,0.335,0.0,0.08,0.304,0.381,0.619,0.602,0.398,0.171,0.829,0.408,0.592,CON
3,0,0.571,0,0.0,0.0,0.0,0.335,0.234,0.478,0.429,0.376,0.429,0.371,0.147,0.236,0.191,0.614,0.581,0.21,0.327,0.324,0.326,0.205,0.45,0.459,0.323,0.239,0.534,0.31,0.335,0.443,0.412,0.36,0.583,0.274,0.376,0.0,0.2,0.279,0.505,0.495,0.602,0.398,0.42,0.58,0.645,0.355,CON
1,1,0.429,1,0.5,0.0,0.0,0.324,0.081,0.537,0.465,0.281,0.317,0.157,0.208,0.195,0.256,0.495,0.527,0.092,0.183,0.316,0.253,0.168,0.26,0.266,0.217,0.226,0.376,0.18,0.186,0.331,0.671,0.18,0.544,0.148,0.253,0.0,0.04,0.513,0.67,0.33,0.668,0.332,0.668,0.332,0.527,0.473,PHO
2,1,0.571,0,0.0,0.0,0.0,0.249,0.207,0.287,0.286,0.176,0.181,0.276,0.266,0.288,0.423,0.48,0.565,0.485,0.49,0.181,0.281,0.238,0.371,0.287,0.227,0.17,0.371,0.347,0.306,0.459,0.271,0.573,0.49,0.415,0.307,0.0,0.08,0.394,0.381,0.619,0.602,0.398,0.171,0.829,0.349,0.651,PHO
3,1,0.857,0,0.0,0.0,0.0,0.304,0.2,0.215,0.167,0.172,0.206,0.238,0.226,0.241,0.126,0.474,0.43,0.406,0.203,0.202,0.433,0.214,0.301,0.336,0.318,0.163,0.236,0.331,0.248,0.486,0.258,0.473,0.39,0.415,0.405,0.0,0.0,0.408,0.299,0.701,0.602,0.398,0.005,0.995,0.29,0.71,PHO
4,1,0.857,0,0.0,0.0,0.0,0.32,0.477,0.137,0.211,0.244,0.241,0.548,0.269,0.4,0.242,0.599,0.661,0.31,0.314,0.206,0.395,0.211,0.382,0.373,0.222,0.125,0.202,0.646,0.466,0.409,0.538,0.52,0.849,0.556,0.388,1.0,0.84,0.431,0.155,0.845,0.312,0.688,0.078,0.922,0.135,0.865,PHO
5,1,0.571,0,0.0,0.0,0.0,0.372,0.244,0.367,0.312,0.588,0.526,0.105,0.292,0.237,0.379,0.854,0.511,0.245,0.484,0.358,0.279,0.187,0.566,0.574,0.207,0.074,0.236,0.381,0.284,0.23,0.508,0.193,0.564,0.489,0.36,1.0,0.68,0.39,0.505,0.495,0.562,0.438,0.468,0.532,0.497,0.503,PHO
6,1,0.571,0,0.0,0.0,0.0,0.372,0.341,0.591,0.542,0.525,0.559,0.476,0.464,0.519,0.543,0.699,0.301,0.476,0.758,0.404,0.444,0.35,0.537,0.566,0.146,0.038,0.292,0.365,0.292,0.277,0.558,0.453,0.359,0.304,0.455,1.0,0.64,0.33,0.466,0.534,0.625,0.375,0.312,0.688,0.554,0.446,PHO
7,1,0.571,0,0.0,0.0,0.0,0.898,0.932,0.609,0.521,0.919,0.866,0.438,0.695,0.68,0.853,0.833,0.473,0.148,0.418,0.853,0.835,0.755,0.827,0.836,0.561,0.678,0.792,0.815,0.793,0.642,0.546,0.227,0.568,0.407,0.878,1.0,0.8,0.343,0.544,0.456,0.562,0.438,0.546,0.454,0.373,0.627,PHO
8,1,0.0,1,1.0,1.0,1.0,0.865,0.911,0.845,0.69,1.0,1.0,0.176,0.853,0.693,1.0,0.581,0.527,0.341,0.627,0.902,0.833,0.938,0.664,0.557,1.0,1.0,1.0,1.0,1.0,0.811,0.608,0.313,0.792,0.281,0.898,1.0,0.72,0.367,0.738,0.262,0.688,0.312,0.78,0.22,0.836,0.164,PHO
9,1,0.714,0,0.0,0.0,0.0,0.877,1.0,0.922,0.736,0.76,0.831,0.633,0.797,0.836,0.58,0.994,0.242,0.354,0.608,0.891,0.865,0.865,1.0,1.0,0.763,0.85,0.972,0.77,0.822,0.885,0.746,0.247,0.425,0.43,0.982,1.0,0.68,0.433,0.466,0.534,0.562,0.438,0.39,0.61,0.373,0.627,PHO
10,1,0.0,1,1.0,1.0,1.0,1.0,0.958,0.925,0.685,0.882,0.771,0.2,0.937,0.766,0.802,0.83,0.204,0.402,0.771,1.0,1.0,1.0,0.848,0.834,0.571,0.655,0.865,0.786,0.797,0.74,0.554,0.42,0.27,0.533,1.0,1.0,0.8,0.433,0.738,0.262,0.688,0.312,0.78,0.22,0.683,0.317,PHO
1,1,0.857,0,0.0,0.0,0.0,0.237,0.118,0.463,0.552,0.376,0.382,0.319,0.228,0.276,0.307,0.894,0.419,0.808,0.196,0.25,0.288,0.189,0.683,0.66,0.293,0.295,0.225,0.209,0.155,0.334,0.796,0.533,0.544,0.437,0.414,0.0,0.2,0.374,0.257,0.743,0.336,0.664,0.254,0.746,0.112,0.888,POR
2,1,0.857,0,0.0,0.0,0.0,0.179,0.203,0.349,0.346,0.498,0.526,0.276,0.404,0.392,0.208,0.505,0.306,0.402,0.281,0.199,0.295,0.296,0.369,0.434,0.338,0.213,0.427,0.519,0.451,0.382,0.438,0.64,0.324,0.541,0.333,0.0,0.2,0.397,0.299,0.701,0.336,0.664,0.337,0.663,0.172,0.828,POR
3,1,0.571,0,0.0,0.0,0.0,0.378,0.283,0.23,0.23,0.294,0.312,0.31,0.264,0.299,0.348,0.474,0.28,0.371,0.373,0.28,0.36,0.231,0.374,0.416,0.172,0.074,0.376,0.294,0.269,0.331,0.325,0.5,0.456,0.504,0.353,0.0,0.12,0.352,0.505,0.495,0.535,0.465,0.502,0.498,0.349,0.651,POR
1,1,0.286,1,0.5,0.0,0.0,0.476,0.34,0.346,0.438,0.362,0.425,0.695,0.287,0.473,0.604,0.316,0.78,0.218,0.614,0.391,0.342,0.267,0.23,0.205,0.263,0.23,0.298,0.169,0.151,0.389,0.258,0.193,0.517,0.333,0.312,0.0,0.0,0.343,0.711,0.289,0.801,0.199,0.585,0.415,0.645,0.355,SAC
2,1,0.143,1,1.0,0.5,0.0,0.395,0.314,0.37,0.361,0.457,0.365,0.629,0.472,0.587,0.573,0.368,0.478,0.376,0.621,0.354,0.326,0.361,0.244,0.275,0.121,0.19,0.427,0.251,0.255,0.365,0.325,0.427,0.351,0.533,0.282,0.0,0.2,0.377,0.67,0.33,0.734,0.266,0.585,0.415,0.645,0.355,SAC
3,1,0.714,0,0.0,0.0,0.0,0.277,0.275,0.481,0.446,0.226,0.318,0.281,0.282,0.301,0.375,0.632,0.323,0.21,0.301,0.258,0.351,0.296,0.515,0.486,0.288,0.309,0.478,0.413,0.391,0.355,0.396,0.24,0.409,0.422,0.407,0.0,0.28,0.429,0.422,0.578,0.602,0.398,0.254,0.746,0.349,0.651,SAC
4,1,0.286,1,1.0,0.5,0.0,0.447,0.493,0.275,0.38,0.398,0.449,0.51,0.459,0.529,0.608,0.529,0.591,0.231,0.386,0.358,0.353,0.348,0.298,0.314,0.288,0.34,0.438,0.487,0.431,0.432,0.425,0.18,0.718,0.519,0.344,1.0,0.68,0.486,0.583,0.417,0.688,0.312,0.468,0.532,0.549,0.451,SAC
5,1,0.429,1,1.0,0.5,0.0,0.472,0.446,0.304,0.327,0.303,0.268,0.7,0.249,0.446,0.44,0.529,0.683,0.336,0.359,0.367,0.323,0.216,0.404,0.383,0.348,0.32,0.242,0.288,0.219,0.422,0.45,0.293,0.784,0.341,0.364,1.0,0.8,0.446,0.544,0.456,0.562,0.438,0.546,0.454,0.554,0.446,SAC
6,1,0.0,1,1.0,1.0,1.0,0.428,0.33,0.481,0.61,0.303,0.26,0.605,0.348,0.483,0.468,0.66,0.629,0.402,0.294,0.38,0.202,0.162,0.415,0.428,0.106,0.136,0.034,0.336,0.182,0.253,0.771,0.253,0.896,0.452,0.245,1.0,0.64,0.434,0.816,0.184,0.875,0.125,0.702,0.298,0.836,0.164,SAC
7,1,0.143,1,1.0,1.0,0.5,0.565,0.604,0.624,0.659,0.43,0.429,0.838,0.464,0.666,0.406,0.617,0.769,0.585,0.163,0.536,0.484,0.381,0.485,0.445,0.323,0.43,0.152,0.418,0.282,0.402,0.621,0.313,0.938,0.533,0.496,1.0,0.76,0.447,0.66,0.34,0.812,0.188,0.468,0.532,0.497,0.503,SAC
8,1,0.286,1,0.5,0.0,0.0,0.528,0.636,0.713,0.668,0.412,0.375,1.0,0.472,0.737,0.502,0.532,0.742,0.886,0.248,0.528,0.528,0.447,0.507,0.451,0.475,0.519,0.23,0.399,0.296,0.52,0.629,0.513,1.0,0.519,0.557,1.0,0.88,0.421,0.583,0.417,0.688,0.312,0.468,0.532,0.554,0.446,SAC
9,1,0.429,1,0.5,0.0,0.0,0.491,0.562,0.83,0.84,0.48,0.39,0.695,0.467,0.61,0.283,0.678,0.71,0.777,0.092,0.542,0.684,0.499,0.39,0.365,0.475,0.508,0.23,0.529,0.391,0.652,0.921,0.467,0.903,1.0,0.63,1.0,0.64,0.404,0.544,0.456,0.75,0.25,0.312,0.688,0.435,0.565,SAC
10,1,0.714,0,0.0,0.0,0.0,0.622,0.609,0.755,0.666,0.317,0.308,0.71,0.574,0.697,0.512,0.541,0.548,0.769,0.229,0.591,0.767,0.602,0.417,0.291,0.662,0.647,0.331,0.357,0.3,0.807,0.692,0.433,0.718,0.563,0.726,1.0,0.72,0.367,0.311,0.689,0.375,0.625,0.312,0.688,0.249,0.751,SAC
4,1,0.714,0,0.0,0.0,0.0,0.301,0.44,0.612,0.646,0.14,0.184,0.514,0.655,0.68,0.13,0.793,0.0,0.459,0.68,0.295,0.472,0.552,0.593,0.617,0.288,0.374,0.685,0.571,0.578,0.48,0.546,0.52,0.131,0.511,0.514,1.0,0.68,0.59,0.311,0.689,0.5,0.5,0.156,0.844,0.393,0.607,SAS
5,1,0.857,0,0.0,0.0,0.0,0.343,0.268,0.463,0.385,0.077,0.07,0.286,0.416,0.405,0.352,0.489,0.457,0.459,0.281,0.277,0.521,0.361,0.247,0.246,0.404,0.345,0.32,0.378,0.311,0.632,0.358,0.553,0.394,0.43,0.463,1.0,0.76,0.422,0.194,0.806,0.312,0.688,0.156,0.844,0.215,0.785,SAS
6,1,0.857,0,0.0,0.0,0.0,0.243,0.125,0.507,0.443,0.217,0.224,0.067,0.388,0.295,0.147,0.556,0.043,0.555,0.176,0.239,0.544,0.423,0.374,0.342,0.253,0.208,0.472,0.362,0.352,0.591,0.612,0.573,0.151,0.57,0.493,1.0,0.64,0.384,0.117,0.883,0.25,0.75,0.078,0.922,0.045,0.955,SAS
7,1,0.714,0,0.0,0.0,0.0,0.557,0.691,0.51,0.492,0.575,0.588,0.533,0.703,0.724,0.512,0.435,0.317,0.349,0.131,0.525,0.721,0.647,0.447,0.402,0.369,0.322,0.59,0.788,0.704,0.581,0.429,0.38,0.347,0.43,0.656,1.0,0.64,0.338,0.35,0.65,0.312,0.688,0.468,0.532,0.497,0.503,SAS
8,1,0.143,1,1.0,0.5,0.0,0.574,0.585,0.391,0.262,0.656,0.605,0.386,0.576,0.568,0.604,0.565,0.516,0.655,0.438,0.521,0.558,0.511,0.553,0.5,0.278,0.311,0.528,0.553,0.511,0.432,0.338,0.4,0.745,0.489,0.56,1.0,0.76,0.352,0.621,0.379,0.5,0.5,0.78,0.22,0.61,0.39,SAS
9,1,0.0,1,1.0,1.0,0.5,0.528,0.456,0.681,0.545,0.548,0.559,0.019,0.787,0.579,0.72,0.41,0.457,0.511,0.569,0.543,0.558,0.657,0.396,0.389,0.237,0.376,0.685,0.661,0.644,0.378,0.533,0.54,0.533,0.281,0.507,1.0,0.72,0.387,0.777,0.223,0.875,0.125,0.624,0.376,0.497,0.503,SAS
10,1,0.429,1,0.5,0.0,0.0,0.601,0.604,0.46,0.38,0.878,0.894,0.186,0.586,0.494,0.71,0.392,0.376,0.441,0.346,0.594,0.781,0.666,0.442,0.361,0.409,0.412,0.545,0.68,0.609,0.476,0.438,0.473,0.432,0.363,0.702,1.0,0.88,0.349,0.427,0.573,0.562,0.438,0.312,0.688,0.497,0.503,SAS
1,1,1.0,0,0.0,0.0,0.0,0.042,0.0,0.137,0.223,0.213,0.266,0.067,0.0,0.0,0.0,0.55,0.366,0.511,0.196,0.0,0.265,0.05,0.469,0.43,0.126,0.043,0.118,0.407,0.263,0.399,0.333,0.58,0.537,0.385,0.308,0.0,0.12,0.421,0.092,0.908,0.203,0.797,0.088,0.912,0.112,0.888,SEA
2,1,1.0,0,0.0,0.0,0.0,0.087,0.109,0.245,0.332,0.299,0.347,0.305,0.122,0.189,0.075,0.419,0.462,0.1,0.418,0.074,0.207,0.082,0.249,0.236,0.167,0.022,0.163,0.5,0.346,0.351,0.208,0.207,0.498,0.415,0.209,0.0,0.24,0.187,0.257,0.743,0.27,0.73,0.337,0.663,0.231,0.769,SEA
3,1,0.429,1,0.5,0.0,0.0,0.306,0.279,0.254,0.179,0.543,0.504,0.571,0.244,0.39,0.423,0.474,0.511,0.301,0.575,0.274,0.277,0.157,0.298,0.293,0.051,0.06,0.225,0.251,0.186,0.338,0.104,0.38,0.544,0.4,0.253,0.0,0.08,0.269,0.546,0.454,0.602,0.398,0.502,0.498,0.467,0.533,SEA
4,1,0.571,0,0.0,0.0,0.0,0.505,0.409,0.325,0.237,0.471,0.494,0.476,0.495,0.542,0.539,0.538,0.242,0.249,0.49,0.424,0.419,0.401,0.314,0.301,0.268,0.273,0.478,0.323,0.325,0.23,0.133,0.32,0.266,0.244,0.391,1.0,0.72,0.314,0.544,0.456,0.75,0.25,0.312,0.688,0.445,0.555,SEA
5,1,0.143,1,1.0,1.0,1.0,0.47,0.383,0.57,0.501,0.475,0.392,0.514,0.437,0.514,0.553,0.602,0.618,0.397,0.444,0.461,0.435,0.345,0.266,0.303,0.237,0.17,0.202,0.296,0.211,0.402,0.583,0.367,0.529,0.489,0.383,1.0,0.68,0.38,0.621,0.379,0.75,0.25,0.468,0.532,0.61,0.39,SEA
6,1,0.143,1,0.5,0.0,0.0,0.538,0.438,0.63,0.53,0.362,0.375,0.386,0.607,0.591,0.444,0.578,0.075,0.472,0.621,0.507,0.53,0.538,0.447,0.414,0.207,0.233,0.376,0.315,0.284,0.608,0.638,0.467,0.185,0.615,0.498,1.0,0.68,0.464,0.621,0.379,0.812,0.188,0.39,0.61,0.61,0.39,SEA
7,1,0.429,1,0.5,0.0,0.0,0.653,0.515,0.684,0.588,0.443,0.452,0.405,0.721,0.685,0.423,0.653,0.242,0.707,0.418,0.616,0.642,0.598,0.558,0.539,0.364,0.378,0.309,0.376,0.306,0.446,0.604,0.667,0.367,0.326,0.633,1.0,0.64,0.437,0.544,0.456,0.5,0.5,0.624,0.376,0.497,0.503,SEA
8,1,0.429,1,0.5,0.0,0.0,0.659,0.631,0.743,0.596,0.733,0.727,0.486,0.718,0.716,0.488,0.465,0.296,0.546,0.575,0.684,0.751,0.712,0.415,0.291,0.52,0.477,0.371,0.513,0.427,0.686,0.433,0.5,0.405,0.304,0.691,1.0,0.68,0.386,0.505,0.495,0.688,0.312,0.312,0.688,0.497,0.503,SEA
9,1,0.143,1,0.5,0.0,0.0,0.524,0.499,0.654,0.627,0.367,0.415,0.467,0.723,0.712,0.478,0.66,0.441,0.515,0.503,0.503,0.458,0.539,0.507,0.484,0.404,0.501,0.365,0.511,0.424,0.372,0.567,0.44,0.483,0.326,0.497,1.0,0.64,0.411,0.699,0.301,0.938,0.062,0.39,0.61,0.683,0.317,SEA
10,1,0.143,1,0.5,0.0,0.0,0.545,0.505,0.663,0.576,0.493,0.471,0.352,0.637,0.6,0.498,0.739,0.478,0.642,0.569,0.541,0.507,0.523,0.501,0.465,0.556,0.604,0.365,0.474,0.397,0.436,0.558,0.52,0.637,0.444,0.553,1.0,1.0,0.378,0.621,0.379,0.75,0.25,0.468,0.532,0.683,0.317,SEA
1,1,0.571,0,0.0,0.0,0.0,0.439,0.209,0.824,0.777,0.118,0.095,0.505,0.495,0.554,0.451,0.702,0.145,0.594,0.614,0.443,0.456,0.318,0.558,0.568,0.323,0.298,0.258,0.082,0.074,0.389,0.683,0.693,0.181,0.304,0.498,0.0,0.0,0.227,0.587,0.413,0.734,0.266,0.42,0.58,0.645,0.355,SAS
2,1,0.286,1,0.5,0.0,0.0,0.341,0.146,0.519,0.499,0.072,0.065,0.252,0.604,0.535,0.457,0.471,0.081,0.371,0.608,0.289,0.291,0.331,0.444,0.443,0.167,0.255,0.433,0.167,0.195,0.304,0.446,0.52,0.0,0.57,0.325,0.0,0.12,0.262,0.629,0.371,0.535,0.465,0.751,0.249,0.527,0.473,SAS
3,1,0.286,1,1.0,0.0,0.0,0.407,0.23,0.925,0.908,0.122,0.07,0.5,0.467,0.531,0.3,0.602,0.22,0.498,0.752,0.447,0.435,0.432,0.518,0.5,0.172,0.139,0.528,0.206,0.257,0.341,0.775,0.42,0.208,0.578,0.447,0.0,0.08,0.303,0.67,0.33,0.734,0.266,0.585,0.415,0.586,0.414,SAS
1,0,0.429,1,0.5,0.0,0.0,0.385,0.098,0.209,0.264,0.213,0.218,0.276,0.277,0.295,0.447,0.395,0.312,0.428,0.412,0.265,0.421,0.22,0.154,0.227,0.288,0.183,0.18,0.119,0.074,0.422,0.238,0.427,0.255,0.23,0.348,0.0,0.0,0.925,0.422,0.578,0.402,0.598,0.502,0.498,0.645,0.355,WAS
2,0,1.0,0,0.0,0.0,0.0,0.191,0.235,0.0,0.085,0.249,0.357,0.543,0.411,0.506,0.116,0.213,0.376,0.38,0.418,0.079,0.295,0.297,0.06,0.047,0.273,0.208,0.36,0.45,0.377,0.334,0.021,0.427,0.247,0.237,0.231,0.0,0.16,0.938,0.257,0.743,0.469,0.531,0.088,0.912,0.112,0.888,WAS
3,0,0.286,1,1.0,0.0,0.0,0.331,0.228,0.078,0.022,0.462,0.399,0.419,0.434,0.473,0.43,0.353,0.183,0.205,0.203,0.235,0.284,0.251,0.195,0.193,0.278,0.293,0.236,0.299,0.224,0.182,0.133,0.267,0.197,0.222,0.264,0.0,0.08,1.0,0.546,0.454,0.535,0.465,0.585,0.415,0.586,0.414,WAS
