year,stint,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,total_points,total_rebounds,total_assists,total_blocks,total_steals,total_turnovers,FG%,FT%,award,Avg_Points_Per_Game,Avg_Rebounds_Per_Game,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,Usability,POSITION_METRIC,playoff,playerID,tmID,pos
7,1,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.025,0.1724137931034483,1,anderam01w,CON,F
7,2,3,0,9,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0.0,0.0,0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.075,0.05747126436781609,0,anderam01w,NYL,F
4,0,26,0,171,42,7,17,24,5,5,5,17,33,44,19,12,4,0,0,1,49,27,5,7,5,21,0.4489795918367347,0.35714285714285715,0,1.8846153846153846,1.0384615384615385,0.19230769230769232,0.2692307692307692,0.19230769230769232,0.8076923076923077,0.16442307692307692,0.053918044572250176,1,anderch01w,SAC,C
5,0,30,0,231,77,14,20,34,5,3,6,25,46,64,25,37,27,0,0,0,79,36,6,6,3,26,0.3939393939393939,0.7297297297297297,0,2.6333333333333333,1.2,0.2,0.2,0.1,0.8666666666666667,0.1925,0.056074766355140186,1,anderch01w,SAC,C
6,0,34,19,669,203,28,62,90,11,8,15,55,106,178,83,46,37,0,0,5,203,90,11,15,8,55,0.46629213483146065,0.8043478260869565,0,5.970588235294118,2.6470588235294117,0.3235294117647059,0.4411764705882353,0.23529411764705882,1.6176470588235294,0.4919117647058823,0.12369433754810334,0,anderch01w,SAS,C
7,0,23,20,414,153,28,57,85,15,7,10,29,73,112,59,45,35,0,0,0,153,85,15,10,7,29,0.5267857142857143,0.7777777777777778,0,6.6521739130434785,3.6956521739130435,0.6521739130434783,0.43478260869565216,0.30434782608695654,1.2608695652173914,0.45,0.12190166598943518,0,anderch01w,SAS,C
8,0,11,1,86,28,6,14,20,3,1,5,5,11,20,10,12,8,0,0,0,30,21,3,5,1,5,0.47619047619047616,0.7142857142857143,0,2.727272727272727,1.9090909090909092,0.2727272727272727,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.19545454545454546,0.12744265080713676,1,anderch01w,SAS,C
9,0,24,7,367,97,11,47,58,26,7,1,16,17,126,35,15,11,69,16,0,97,58,26,1,7,16,0.2777777777777778,0.7333333333333333,0,4.041666666666667,2.4166666666666665,1.0833333333333333,0.041666666666666664,0.2916666666666667,0.6666666666666666,0.38229166666666664,0.29545454545454547,1,anderjo01w,CON,G
1,0,30,9,434,75,12,34,46,75,25,3,47,53,68,29,18,14,8,3,0,77,51,80,3,25,51,0.4225352112676056,0.7,0,2.566666666666667,1.7,2.6666666666666665,0.1,0.8333333333333334,1.7,0.3616666666666667,0.2901353965183752,1,anderke01w,WAS,G
2,0,18,0,102,12,3,12,15,14,6,0,17,8,16,2,10,8,2,0,0,12,15,15,0,7,18,0.11764705882352941,0.8,0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.3888888888888889,1.0,0.14166666666666666,0.1497326203208556,1,anderke01w,CHA,G
3,0,7,0,31,7,2,4,6,5,0,0,3,4,12,3,0,0,4,1,0,7,6,5,0,0,3,0.25,0.0,0,1.0,0.8571428571428571,0.7142857142857143,0.0,0.0,0.42857142857142855,0.11071428571428571,0.30303030303030304,1,anderke01w,CHA,G
1,0,32,18,797,265,32,63,95,75,41,10,65,91,195,89,80,60,75,27,1,286,112,89,13,47,76,0.42543859649122806,0.7303370786516854,0,8.9375,3.5,2.78125,0.40625,1.46875,2.375,0.62265625,0.25592672413793105,1,andrame01w,CLE,F
2,0,32,32,893,152,21,66,87,100,51,10,61,77,171,58,45,30,30,6,0,165,96,101,12,53,68,0.3404255319148936,0.6666666666666666,0,5.15625,3.0,3.15625,0.375,1.65625,2.125,0.69765625,0.23437500000000003,1,andrame01w,CLE,F
3,0,32,16,665,91,17,39,56,67,29,6,41,82,111,34,23,18,26,5,2,91,56,67,6,29,41,0.3063063063063063,0.782608695652174,0,2.84375,1.75,2.09375,0.1875,0.90625,1.28125,0.51953125,0.15086206896551724,0,andrame01w,CLE,F
5,0,12,0,65,9,1,3,4,7,0,1,3,12,7,3,3,3,1,0,0,9,4,7,1,0,3,0.42857142857142855,1.0,0,0.75,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.0,0.25,0.13541666666666666,0.028735632183908046,0,andrame01w,CHA,F
