year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,FG%_weighted_mean,FT%_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean
10,0,0,,,,0.54,0.633,0.552,0.744,0.339,0.197,0.438,0.387,0.348,1.0,0.463,0.34,0.614,0.4,0.287,CON,,,0.3903023098064702,0.7341707753604286,1.981411489922801,0.40204658963930034,0.46992782327358695,
1,0,0,,,,0.557,0.063,0.471,0.386,0.392,0.533,0.163,0.128,0.36,0.193,0.422,0.58,0.591,0.57,0.246,DET,,,0.43214158066720204,0.7468787985602788,1.6923659048087198,0.2744560548632909,0.4448608036644413,
2,0,0,,,,0.177,0.367,0.39,0.27,0.204,0.393,0.124,0.056,0.067,0.357,0.169,0.433,0.359,0.281,0.257,DET,,,0.40413057427843385,0.7587744693384215,1.5081102629328598,0.27566383358880225,0.4537781699364539,1.8991400346271803
3,0,0,,,,0.441,0.217,0.562,0.3,0.075,0.581,0.451,0.295,0.264,0.27,0.26,0.533,0.205,0.504,0.181,DET,,,0.3927330104005003,,1.7780366256663964,0.43179122871254894,0.46211821145590487,2.4856973101873368
4,0,1,1,1,1,1.0,0.285,0.652,0.529,0.409,0.873,0.621,0.506,0.691,0.283,0.392,0.747,0.413,0.43,0.377,DET,6.0,2.0,0.43189796029609784,0.6960959578678361,2.5912206720607873,0.7506888169182114,0.6425765536133495,3.152228761100929
5,0,1,0,,,0.782,0.0,0.738,0.594,0.484,0.459,0.556,0.488,0.326,0.431,0.429,0.613,0.409,0.444,0.512,DET,1.0,2.0,,,2.1583880177462595,0.5804664785422579,0.535540267156024,2.852282433998785
6,0,1,0,,,0.738,0.063,0.81,0.287,0.29,0.712,0.601,0.315,0.034,0.471,0.287,0.5,0.502,0.481,0.505,DET,0.0,2.0,0.3878148653963774,0.7038998883207466,1.7331131725437379,0.5187597177667914,0.5145728336436294,2.3133373680405303
7,0,1,1,1,1,0.671,0.335,0.781,0.621,0.14,0.563,0.484,0.55,0.32,0.511,0.291,0.52,0.448,0.274,0.505,DET,7.0,3.0,0.42054600306453976,,3.284309603778844,0.4720928789177181,0.7912441416719413,2.3046119935570912
8,0,1,1,1,0,0.765,0.434,0.657,0.59,0.215,0.681,0.353,0.66,0.236,0.563,0.534,0.527,0.537,0.341,0.536,DET,6.0,5.0,0.4121765012773276,,2.681948553394872,0.5436719064895639,0.7150716141647803,3.099614242207376
9,0,1,1,1,1,0.666,0.48,0.776,0.73,0.489,0.384,0.359,0.673,0.32,0.513,0.446,0.213,0.703,0.356,0.521,DET,7.0,2.0,,,2.8331301200390517,0.7552235721438372,0.7154947564953608,
10,0,1,1,0,,0.61,0.412,0.624,0.631,0.398,0.603,0.222,0.662,0.298,0.566,0.459,0.547,0.544,0.289,0.389,DET,3.0,2.0,,,2.1752713147074547,0.3816935905294789,0.54056738610365,
1,1,1,1,1,1,0.4,0.498,0.148,0.355,0.522,0.14,0.268,0.23,0.129,0.119,0.287,0.24,0.347,0.104,0.687,HOU,6.0,0.0,0.45799560475889256,0.7976337659077934,2.446125770790711,0.4763702764266281,0.6469264254149261,2.0552829621403617
2,1,1,0,,,0.169,0.344,0.505,0.123,0.344,0.122,0.209,0.315,0.169,0.312,0.216,0.34,0.166,0.363,0.612,HOU,0.0,2.0,0.3825287227501186,0.7215418689784238,1.8707986504656928,0.3687052231308825,0.5531354653734947,2.6076103194000533
