tmID,playoff,playoff_predict,playoff_predict_without_8
ATL,Y,0,0
CHI,N,1,0
CON,N,0,0
IND,Y,1,1
LAS,Y,1,1
MIN,N,0,0
NYL,Y,1,0
PHO,Y,1,1
SAS,Y,1,1
SEA,Y,1,1
TUL,N,0,1
WAS,Y,1,0
