year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,W_post,L_post,GS_weighted_mean,minutes_weighted_mean,points_weighted_mean,oRebounds_weighted_mean,dRebounds_weighted_mean,rebounds_weighted_mean,assists_weighted_mean,steals_weighted_mean,blocks_weighted_mean,turnovers_weighted_mean,PF_weighted_mean,fgAttempted_weighted_mean,fgMade_weighted_mean,ftAttempted_weighted_mean,ftMade_weighted_mean,threeAttempted_weighted_mean,PostGP_weighted_mean,PostGS_weighted_mean,PostMinutes_weighted_mean,PostPoints_weighted_mean,PostoRebounds_weighted_mean,PostdRebounds_weighted_mean,PostRebounds_weighted_mean,PostAssists_weighted_mean,PostSteals_weighted_mean,PostTurnovers_weighted_mean,PostPF_weighted_mean,PostfgAttempted_weighted_mean,PostfgMade_weighted_mean,PostftAttempted_weighted_mean,PostftMade_weighted_mean,PostthreeAttempted_weighted_mean,total_points_weighted_mean,total_rebounds_weighted_mean,total_assists_weighted_mean,total_steals_weighted_mean,total_turnovers_weighted_mean,Avg_Points_Per_Game_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Avg_Steals_Per_Game_weighted_mean,Avg_Turnovers_Per_Game_weighted_mean,num_trophies,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Points_Per_Game,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,Durability_Ratio,FG%,FT%,GP_2,GS,PF,POSITION_METRIC,Points_Ratio,PostAssists,PostBlocks,PostDQ,PostGP,PostGS,PostMinutes,PostPF,PostPoints,PostRebounds,PostSteals,PostTurnovers,PostdRebounds,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostoRebounds,PostthreeAttempted,PostthreeMade,assists,blocks,dRebounds,dq,fgAttempted,fgMade,ftAttempted,ftMade,minutes,oRebounds,points,rebounds,steals,threeAttempted,threeMade,total_assists,total_blocks,total_points,total_rebounds,total_steals,total_turnovers,turnovers
9,0,0.44,0,0.4,0.36,0.34,0.43,0.39,0.46,0.44,0.43,0.43,0.41,0.48,0.51,0.44,0.57,0.4,0.44,0.39,0.4,0.45,0.39,0.43,0.42,0.32,0.32,0.35,0.42,0.35,0.45,0.48,0.44,0.46,0.37,0.45,0.63,0.51,0.42,0.51,0.49,0.59,0.41,0.44,0.56,0.5,0.5,ATL,1.85,1.83,19.19,691.54,255.87,32.88,75.84,108.73,56.08,27.62,12.66,50.1,63.63,216.94,92.76,69.89,53.28,49.55,2.37,1.69,62.85,22.85,2.94,6.99,9.92,5.05,2.27,4.09,5.57,19.72,8.31,5.89,4.57,4.72,278.72,118.65,61.13,29.88,54.19,9.38,2.07,0.47,1.02,1.86,0.59,1.47,0.26,7.06,3.06,0.71,1.47,0.42,0.42,0.7,29.15,14.3,55.45,0.32,0.08,3.69,0.96,0.1,2.64,0.7,42.17,4.46,14.99,5.57,1.24,2.69,4.13,14.13,5.25,3.8,2.63,1.44,5.64,1.86,45.23,6.7,63.31,0.23,187.36,78.44,45.42,34.87,600.0,27.27,212.79,90.57,21.52,57.54,21.04,48.91,7.66,227.78,96.15,22.77,46.82,44.13
10,0,0.86,1,0.4,0.36,0.34,0.52,0.69,0.62,0.62,0.63,0.66,0.47,0.51,0.55,0.35,1.0,0.53,0.81,0.52,0.53,0.81,0.64,0.96,0.97,0.4,0.42,0.75,0.79,0.76,1.0,0.78,0.75,0.66,0.47,0.88,1.0,0.68,0.42,0.0,1.0,0.0,1.0,0.16,0.84,0.0,1.0,ATL,1.85,1.83,14.85,535.84,208.26,23.39,54.87,78.26,41.93,23.73,8.89,42.82,57.1,187.92,73.11,56.29,42.96,55.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.26,78.26,41.93,23.73,42.82,7.72,1.46,0.51,0.95,1.6,0.0,1.93,0.47,8.78,4.06,0.94,1.98,0.48,0.43,0.72,28.59,17.73,67.44,0.36,0.01,0.7,0.12,0.0,0.6,0.18,7.58,0.63,2.52,1.03,0.14,0.56,0.83,2.79,0.93,0.46,0.33,0.2,1.29,0.33,54.38,11.58,72.16,0.77,202.27,84.38,68.75,48.98,642.61,36.86,232.25,109.02,25.72,42.99,14.51,55.07,11.7,234.77,110.05,25.85,50.19,49.63
11,0,0.38,1,0.0,0.36,0.34,0.78,0.85,0.68,0.67,0.37,0.41,0.67,0.71,0.78,0.47,0.89,0.68,0.8,0.42,0.7,0.79,0.72,0.86,0.82,0.43,0.46,0.57,0.71,0.64,0.84,0.71,0.92,0.76,0.46,0.83,1.0,0.81,0.35,0.36,0.64,0.46,0.54,0.31,0.69,0.29,0.71,ATL,0.0,1.33,16.58,597.47,250.15,32.57,71.67,104.24,46.62,28.52,10.58,48.69,62.96,215.66,94.01,64.56,48.87,40.95,1.0,0.66,22.82,10.01,1.21,2.43,3.64,1.92,0.88,2.59,2.78,7.84,3.5,3.45,2.31,1.66,260.16,107.88,48.54,29.41,51.28,8.81,1.74,0.42,1.04,1.78,0.67,1.91,0.47,8.6,3.89,1.06,1.72,0.47,0.44,0.74,29.71,16.26,62.07,0.36,0.04,2.66,0.18,0.0,1.22,0.84,27.1,3.05,11.75,3.83,1.16,3.64,2.88,9.92,4.54,2.93,1.93,0.95,1.75,0.75,58.2,12.31,78.44,0.76,221.1,99.56,64.01,46.93,661.38,35.18,258.35,113.61,31.35,39.78,12.3,60.87,12.49,270.1,117.44,32.5,54.1,50.46
2,0,1.0,1,0.4,0.36,0.34,0.34,0.22,0.29,0.26,0.31,0.3,0.3,0.24,0.27,0.55,0.75,0.19,0.38,0.18,0.27,0.5,0.28,0.56,0.56,0.23,0.24,0.33,0.26,0.23,0.7,0.24,0.41,0.14,0.39,0.52,0.0,0.12,0.16,0.17,0.82,0.27,0.73,0.17,0.83,0.17,0.83,CHA,1.85,1.83,17.61,656.34,234.5,28.44,62.48,90.92,64.14,23.74,9.37,48.92,64.74,200.97,86.56,60.87,46.42,43.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.5,90.92,64.14,23.74,48.92,8.58,2.19,0.31,0.85,1.75,0.0,2.59,0.28,9.4,3.04,1.01,1.89,0.55,0.41,0.77,28.8,18.32,67.59,0.35,0.02,1.36,0.15,0.0,1.06,0.45,18.32,2.58,4.76,2.79,0.83,1.07,1.81,5.07,1.51,1.65,1.05,0.98,2.97,0.69,78.41,8.36,58.52,0.76,224.59,92.4,71.82,55.91,740.98,24.6,263.29,83.12,28.93,69.67,22.57,79.77,8.51,268.05,85.91,29.76,56.16,55.09
3,0,0.62,1,0.67,0.67,0.0,0.25,0.11,0.25,0.18,0.38,0.35,0.31,0.25,0.29,0.36,0.53,0.17,0.32,0.28,0.21,0.27,0.22,0.38,0.35,0.15,0.16,0.4,0.09,0.12,0.36,0.19,0.4,0.19,0.39,0.29,0.0,0.15,0.21,0.45,0.55,0.54,0.46,0.39,0.61,0.57,0.43,CHA,2.67,2.67,19.51,717.26,239.93,30.96,66.79,97.75,61.73,25.37,11.0,51.94,63.87,207.6,87.92,58.42,45.71,51.71,4.94,3.47,129.08,37.91,4.88,11.73,16.61,9.84,4.12,8.65,10.77,35.47,14.31,7.2,5.74,9.23,277.83,114.36,71.58,29.49,60.59,9.35,2.35,0.44,0.99,2.06,0.0,2.33,0.49,9.14,3.67,0.94,2.04,0.58,0.4,0.77,28.15,18.85,61.49,0.33,0.14,9.37,2.46,0.0,4.68,3.6,121.73,10.97,36.69,15.88,3.76,8.31,11.19,34.02,13.73,7.38,5.84,4.69,8.97,3.4,60.73,12.04,60.75,0.64,198.16,82.37,59.53,46.28,694.92,31.02,229.16,91.77,24.4,51.82,18.14,70.1,14.5,265.85,107.65,28.16,59.58,51.27
4,0,0.24,1,0.33,0.33,0.0,0.24,0.06,0.39,0.36,0.59,0.48,0.3,0.28,0.31,0.33,0.5,0.25,0.1,0.29,0.27,0.23,0.16,0.31,0.29,0.17,0.13,0.25,0.09,0.08,0.29,0.23,0.18,0.16,0.29,0.24,0.0,0.11,0.24,0.59,0.41,0.67,0.33,0.5,0.5,0.64,0.35,CHA,1.33,2.67,21.22,735.3,253.89,31.0,69.54,100.55,60.47,26.97,10.92,46.85,65.97,207.22,88.44,69.66,52.69,62.13,3.65,2.64,95.62,27.68,3.98,9.08,13.06,7.44,3.36,6.31,7.47,27.29,10.66,5.17,3.65,8.25,281.57,113.61,67.91,30.33,53.16,9.16,2.2,0.42,0.99,1.73,0.0,2.28,0.42,9.3,3.82,1.05,1.74,0.58,0.41,0.77,29.37,22.38,66.71,0.33,0.09,7.36,1.47,0.0,3.29,2.77,91.47,7.2,26.96,12.52,3.34,5.9,8.7,26.56,10.31,5.14,3.68,3.81,8.25,2.65,63.56,10.86,70.75,0.65,213.55,90.97,69.9,53.02,767.37,32.63,259.55,103.38,29.12,62.65,24.59,70.92,12.33,286.51,115.9,32.46,54.26,48.36
5,0,0.14,0,0.0,0.36,0.34,0.28,0.15,0.4,0.35,0.6,0.53,0.41,0.25,0.33,0.37,0.65,0.43,0.26,0.32,0.3,0.28,0.21,0.38,0.41,0.22,0.18,0.5,0.14,0.2,0.35,0.27,0.32,0.25,0.24,0.31,0.67,0.51,0.29,0.56,0.44,0.72,0.28,0.38,0.62,0.53,0.47,CHA,0.0,2.0,21.84,754.92,256.26,33.12,68.44,101.56,61.11,30.71,10.99,49.97,70.3,212.23,89.28,69.6,53.18,65.55,1.93,1.3,45.21,14.29,2.19,3.95,6.15,3.26,1.67,2.58,3.95,13.54,5.13,3.26,2.37,4.61,270.55,107.7,64.37,32.38,52.55,8.42,1.99,0.37,1.01,1.62,0.0,2.18,0.41,8.46,3.81,1.05,1.82,0.56,0.41,0.76,31.54,25.84,81.13,0.28,0.05,3.27,0.56,0.0,1.81,1.42,46.6,4.02,13.94,7.0,1.53,3.29,4.58,13.14,5.11,2.95,2.2,2.43,4.09,1.51,67.71,12.74,78.95,0.75,219.44,92.34,72.68,55.21,826.66,36.42,260.53,115.37,32.74,57.75,20.63,70.98,13.31,274.46,122.37,34.27,58.85,55.56
6,0,0.43,0,0.0,0.36,0.34,0.23,0.07,0.33,0.29,0.5,0.46,0.2,0.21,0.22,0.21,0.6,0.25,0.34,0.42,0.23,0.31,0.27,0.34,0.35,0.21,0.12,0.6,0.15,0.24,0.4,0.25,0.35,0.22,0.29,0.31,1.0,0.77,0.3,0.49,0.51,0.62,0.38,0.36,0.64,0.41,0.59,CHA,0.0,0.67,21.82,759.74,240.05,29.09,65.71,94.8,54.74,26.14,13.28,50.2,68.51,198.31,84.46,67.37,51.15,54.92,0.67,0.42,14.83,4.96,0.71,1.17,1.88,1.0,0.51,0.79,1.46,4.38,1.69,1.24,0.99,1.4,245.01,96.69,55.74,26.65,50.99,7.46,1.67,0.42,0.81,1.56,0.0,2.18,0.46,8.85,3.82,1.02,1.85,0.57,0.4,0.76,32.21,25.22,75.29,0.38,0.06,4.56,1.17,0.0,2.01,1.72,55.39,5.09,18.6,9.55,2.54,4.76,6.65,19.37,7.25,4.21,3.04,2.9,3.5,1.05,68.46,14.05,78.96,0.52,247.25,102.21,73.27,56.46,852.13,38.16,276.64,117.12,31.4,49.65,15.75,73.02,15.21,295.23,126.68,33.94,61.59,56.84
7,0,0.67,0,0.4,0.36,0.34,0.24,0.16,0.33,0.35,0.28,0.25,0.26,0.19,0.22,0.28,0.71,0.39,0.47,0.37,0.2,0.4,0.25,0.43,0.46,0.17,0.06,0.52,0.29,0.31,0.39,0.4,0.42,0.43,0.48,0.4,1.0,0.85,0.23,0.21,0.79,0.35,0.65,0.13,0.87,0.21,0.79,CHA,1.85,1.83,18.19,647.34,202.92,25.42,56.2,81.62,46.21,23.75,10.97,46.09,61.94,176.83,73.65,58.91,43.46,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.92,81.62,46.21,23.75,46.09,7.04,1.67,0.36,0.81,1.62,0.0,1.69,0.52,8.68,3.67,1.03,1.97,0.56,0.4,0.75,29.11,23.53,76.62,0.33,0.03,2.31,0.73,0.0,0.93,0.93,28.08,2.47,9.67,4.69,1.27,2.61,3.15,10.23,3.92,1.97,1.44,1.54,1.39,0.38,48.16,15.01,73.58,0.92,229.6,93.95,75.08,56.34,771.52,33.44,256.16,107.02,30.54,37.02,11.92,50.47,15.75,265.83,111.71,31.81,60.26,57.65
7,0,0.44,0,0.4,0.36,0.34,0.43,0.39,0.46,0.44,0.43,0.43,0.41,0.48,0.51,0.44,0.57,0.4,0.44,0.39,0.4,0.45,0.39,0.43,0.42,0.32,0.32,0.35,0.42,0.35,0.45,0.48,0.44,0.46,0.37,0.45,0.63,0.51,0.42,0.51,0.49,0.59,0.41,0.44,0.56,0.5,0.5,CHI,1.85,1.83,19.19,691.54,255.87,32.88,75.84,108.73,56.08,27.62,12.66,50.1,63.63,216.94,92.76,69.89,53.28,49.55,2.37,1.69,62.85,22.85,2.94,6.99,9.92,5.05,2.27,4.09,5.57,19.72,8.31,5.89,4.57,4.72,278.72,118.65,61.13,29.88,54.19,9.38,2.07,0.47,1.02,1.86,0.59,1.59,0.28,5.06,2.45,0.7,1.24,0.41,0.39,0.64,29.97,14.86,65.78,0.26,0.1,3.32,0.39,0.06,2.67,1.53,55.14,6.35,13.8,6.54,1.41,3.25,4.55,10.91,4.69,5.37,3.63,1.99,2.49,0.8,46.52,8.67,45.31,0.39,138.7,54.35,37.39,25.03,574.74,26.11,146.75,71.42,20.11,39.68,13.01,49.84,9.07,160.54,77.96,21.52,38.99,35.74
