year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,W_post,L_post,GS_weighted_mean,minutes_weighted_mean,points_weighted_mean,oRebounds_weighted_mean,dRebounds_weighted_mean,rebounds_weighted_mean,assists_weighted_mean,steals_weighted_mean,blocks_weighted_mean,turnovers_weighted_mean,PF_weighted_mean,fgAttempted_weighted_mean,fgMade_weighted_mean,ftAttempted_weighted_mean,ftMade_weighted_mean,threeAttempted_weighted_mean,PostGP_weighted_mean,PostGS_weighted_mean,PostMinutes_weighted_mean,PostPoints_weighted_mean,PostoRebounds_weighted_mean,PostdRebounds_weighted_mean,PostRebounds_weighted_mean,PostAssists_weighted_mean,PostSteals_weighted_mean,PostTurnovers_weighted_mean,PostPF_weighted_mean,PostfgAttempted_weighted_mean,PostfgMade_weighted_mean,PostftAttempted_weighted_mean,PostftMade_weighted_mean,PostthreeAttempted_weighted_mean,total_points_weighted_mean,total_rebounds_weighted_mean,total_assists_weighted_mean,total_steals_weighted_mean,total_turnovers_weighted_mean,Avg_Points_Per_Game_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Avg_Steals_Per_Game_weighted_mean,Avg_Turnovers_Per_Game_weighted_mean,num_trophies,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Points_Per_Game,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,Durability_Ratio,FG%,FT%,GP_3,GS,PF,POSITION_METRIC,Points_Ratio,PostAssists,PostBlocks,PostDQ,PostGP,PostGS,PostMinutes,PostPF,PostPoints,PostRebounds,PostSteals,PostTurnovers,PostdRebounds,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostoRebounds,PostthreeAttempted,PostthreeMade,assists,blocks,dRebounds,dq,fgAttempted,fgMade,ftAttempted,ftMade,minutes,oRebounds,points,rebounds,steals,threeAttempted,threeMade,total_assists,total_blocks,total_points,total_rebounds,total_steals,total_turnovers,turnovers
2,1,0.57,1,0.37,0.3,0.28,0.44,0.21,0.82,0.78,0.12,0.1,0.5,0.5,0.55,0.45,0.7,0.14,0.59,0.61,0.44,0.46,0.32,0.56,0.57,0.32,0.3,0.26,0.08,0.07,0.39,0.68,0.69,0.18,0.3,0.5,0.0,0.0,0.23,0.59,0.41,0.73,0.27,0.42,0.58,0.64,0.35,SAS,1.71,1.69,17.73,632.65,253.81,37.76,76.62,114.38,53.45,21.52,14.98,51.9,66.91,196.83,90.86,82.95,64.01,23.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.81,114.38,53.45,21.52,51.9,9.42,2.3,0.51,0.84,1.96,0.0,2.56,0.57,10.59,4.91,0.94,2.18,0.58,0.45,0.77,27.33,22.11,80.18,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.56,16.84,94.55,1.22,228.52,105.04,94.9,72.92,745.6,44.74,290.79,139.29,26.23,21.85,7.78,61.56,16.84,290.79,139.29,26.23,60.76,60.76
3,1,0.38,1,0.0,0.3,0.28,0.37,0.17,0.62,0.59,0.09,0.08,0.34,0.57,0.54,0.45,0.55,0.1,0.45,0.61,0.34,0.35,0.33,0.48,0.48,0.22,0.27,0.37,0.14,0.15,0.33,0.52,0.58,0.06,0.48,0.38,0.0,0.08,0.25,0.61,0.38,0.6,0.4,0.64,0.36,0.57,0.43,SAS,0.0,1.33,20.76,761.8,275.1,38.39,94.05,132.44,64.92,24.12,18.71,57.74,74.3,221.09,99.99,85.65,65.41,27.25,1.27,0.98,35.58,11.57,1.64,4.1,5.75,2.38,1.11,2.29,4.08,9.67,4.0,4.36,3.35,1.56,286.66,138.19,67.3,25.23,60.02,9.77,2.37,0.64,0.87,2.06,0.0,2.42,0.66,10.51,4.94,0.92,2.14,0.61,0.44,0.76,28.0,21.87,73.79,0.45,0.04,2.59,1.1,0.19,1.28,1.03,37.46,4.17,12.41,5.87,1.19,2.32,4.18,9.87,4.1,5.04,3.94,1.69,1.56,0.26,64.79,19.01,96.85,0.95,235.31,106.07,92.52,69.28,792.64,41.47,290.16,138.31,25.02,25.87,8.75,67.38,20.12,302.57,144.18,26.22,61.47,59.15
4,1,0.33,0,0.5,0.3,0.28,0.39,0.2,0.77,0.75,0.1,0.07,0.42,0.52,0.54,0.38,0.57,0.16,0.47,0.68,0.39,0.39,0.38,0.5,0.49,0.2,0.2,0.45,0.17,0.21,0.34,0.65,0.5,0.13,0.53,0.41,0.0,0.08,0.28,0.64,0.36,0.67,0.33,0.61,0.39,0.58,0.42,SAS,1.0,2.17,21.57,779.22,291.41,40.38,90.84,131.22,64.4,26.23,19.87,60.9,76.12,230.48,103.89,95.94,73.77,27.78,2.86,2.28,87.89,29.76,3.82,10.45,14.28,6.9,2.57,6.55,8.32,25.15,10.71,9.76,7.16,3.92,321.17,145.5,71.3,28.8,67.45,10.93,2.44,0.74,0.99,2.29,0.0,2.63,0.83,11.15,4.52,0.96,2.4,0.64,0.41,0.74,27.57,23.44,73.24,0.43,0.09,7.41,2.15,0.05,2.57,2.14,82.71,7.6,27.84,11.57,2.5,6.64,9.36,24.22,9.91,9.14,6.75,2.21,4.11,1.26,68.93,23.03,85.34,0.51,243.85,108.03,94.43,72.27,803.5,33.96,298.36,119.3,25.63,29.65,10.02,76.34,25.19,326.2,130.87,28.13,70.5,63.86
5,1,0.5,0,0.33,0.3,0.28,0.34,0.32,0.7,0.71,0.12,0.13,0.47,0.58,0.61,0.24,0.68,0.09,0.46,0.69,0.34,0.43,0.48,0.54,0.55,0.23,0.28,0.59,0.38,0.41,0.4,0.61,0.49,0.13,0.54,0.46,0.5,0.39,0.44,0.48,0.52,0.58,0.42,0.4,0.6,0.48,0.52,SAS,0.67,1.33,23.26,825.51,291.71,40.73,95.13,135.87,61.22,25.67,20.73,61.27,80.2,246.05,103.41,97.65,74.08,32.63,1.8,1.44,55.63,18.87,2.41,6.63,9.04,4.4,1.62,4.17,5.21,15.96,6.8,6.14,4.5,2.48,310.58,144.91,65.62,27.29,65.44,9.92,2.08,0.7,0.87,2.09,0.0,2.06,0.65,10.59,4.55,0.99,2.15,0.55,0.43,0.73,28.76,21.92,67.77,0.42,0.06,3.63,1.43,0.02,1.62,1.41,51.05,4.72,19.46,8.72,1.58,4.27,6.77,15.89,6.77,7.11,5.33,1.95,1.8,0.6,60.8,18.79,90.01,0.55,257.41,109.81,103.84,78.24,757.08,41.28,304.17,131.29,28.77,25.02,6.3,64.43,20.22,323.63,140.01,30.35,65.8,61.53
6,1,0.71,0,0.17,0.3,0.28,0.34,0.32,0.59,0.56,0.11,0.11,0.4,0.5,0.52,0.27,0.61,0.27,0.47,0.49,0.31,0.49,0.44,0.41,0.41,0.33,0.32,0.48,0.41,0.39,0.53,0.49,0.52,0.28,0.48,0.48,0.83,0.62,0.46,0.31,0.69,0.44,0.55,0.23,0.77,0.34,0.66,SAS,0.33,0.5,20.15,715.19,247.84,34.18,77.9,112.08,51.77,24.5,14.33,52.64,66.58,212.47,88.84,79.21,61.03,28.0,0.74,0.6,23.37,7.99,1.0,2.8,3.8,1.9,0.67,1.8,2.09,6.77,2.9,2.53,1.83,1.04,255.83,115.88,53.68,25.17,54.44,8.58,1.77,0.48,0.88,1.82,0.0,1.94,0.19,9.04,3.17,0.96,1.77,0.52,0.41,0.66,27.12,21.53,57.45,0.25,0.08,2.74,0.49,0.0,1.97,1.62,44.01,3.69,14.39,6.22,1.14,2.9,4.86,12.29,5.32,3.8,2.72,1.36,3.17,1.03,55.66,4.71,61.51,0.44,207.71,87.88,78.39,61.57,676.02,24.9,249.11,86.41,26.14,36.87,11.78,58.4,5.2,263.5,92.63,27.28,52.25,49.35
7,1,0.83,0,0.37,0.3,0.28,0.29,0.23,0.51,0.46,0.16,0.17,0.21,0.44,0.4,0.21,0.57,0.17,0.51,0.29,0.26,0.52,0.42,0.37,0.36,0.31,0.28,0.46,0.4,0.38,0.59,0.52,0.56,0.23,0.51,0.49,1.0,0.69,0.43,0.18,0.82,0.31,0.69,0.12,0.88,0.16,0.84,SAS,1.71,1.69,18.82,674.02,219.71,26.74,67.39,94.13,49.73,22.65,8.54,50.1,59.88,189.9,77.98,67.47,52.9,32.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.71,94.13,49.73,22.65,50.1,7.42,1.67,0.28,0.8,1.68,0.0,2.26,0.19,7.66,2.49,0.76,1.73,0.49,0.4,0.73,26.75,18.96,52.86,0.28,0.02,2.37,0.22,0.0,0.82,0.7,24.19,2.02,7.58,2.99,0.65,1.19,2.05,6.34,2.64,2.51,2.02,0.94,1.27,0.28,64.44,5.05,53.15,0.49,182.27,76.69,61.51,49.8,675.55,19.57,218.34,72.72,20.85,46.46,15.17,66.81,5.27,225.92,75.7,21.5,50.68,49.49
8,1,0.79,1,0.37,0.3,0.28,0.42,0.43,0.5,0.46,0.37,0.38,0.34,0.55,0.53,0.36,0.48,0.25,0.44,0.17,0.39,0.63,0.52,0.39,0.36,0.34,0.29,0.51,0.58,0.52,0.59,0.48,0.47,0.29,0.48,0.57,1.0,0.66,0.37,0.25,0.75,0.29,0.71,0.29,0.71,0.3,0.7,SAS,1.71,1.69,19.31,667.75,232.29,29.62,70.77,100.39,54.52,25.61,6.26,45.62,55.9,203.09,83.0,66.24,52.26,41.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.29,100.39,54.52,25.61,45.62,7.82,1.8,0.21,0.86,1.55,0.0,2.3,0.41,9.86,4.11,1.12,1.96,0.58,0.4,0.79,29.6,26.4,69.74,0.32,0.03,2.0,1.18,0.1,1.38,1.35,37.46,3.97,9.54,4.72,0.82,2.83,3.2,9.5,3.8,1.63,1.32,1.53,1.79,0.61,67.78,11.54,89.35,0.54,254.88,104.28,81.9,65.61,815.52,35.41,290.37,124.77,32.59,48.46,16.2,69.78,12.72,299.91,129.49,33.41,59.35,56.52
9,1,0.45,1,0.5,0.0,0.28,0.51,0.54,0.45,0.37,0.56,0.54,0.38,0.59,0.57,0.5,0.52,0.37,0.54,0.29,0.48,0.61,0.54,0.49,0.44,0.3,0.3,0.54,0.6,0.55,0.51,0.41,0.42,0.51,0.48,0.58,1.0,0.7,0.35,0.45,0.55,0.4,0.6,0.56,0.44,0.48,0.52,SAS,1.0,1.5,21.13,728.18,264.93,33.19,78.64,111.84,63.37,28.57,9.98,51.7,63.02,229.01,96.75,67.82,54.04,49.12,2.38,1.84,65.04,27.74,3.86,7.26,11.13,6.77,2.31,4.45,5.87,23.35,10.26,5.52,4.26,6.62,292.67,122.96,70.14,30.88,56.15,9.65,2.31,0.39,1.0,1.87,0.0,2.62,0.57,11.31,4.59,1.06,2.19,0.61,0.42,0.8,28.46,25.3,70.4,0.36,0.1,7.48,2.11,0.14,2.87,2.76,83.17,7.74,33.8,14.02,2.35,5.72,9.18,29.15,12.83,6.06,4.92,4.85,7.22,3.23,69.95,14.67,90.48,0.36,253.96,112.36,76.07,61.54,795.24,34.61,303.33,125.09,29.83,47.02,17.06,77.42,16.77,337.13,139.12,32.18,64.08,58.36
10,1,0.17,1,0.83,0.5,0.0,0.55,0.54,0.56,0.44,0.59,0.58,0.23,0.7,0.6,0.65,0.47,0.45,0.53,0.45,0.53,0.59,0.61,0.46,0.43,0.27,0.35,0.62,0.65,0.61,0.43,0.45,0.47,0.57,0.38,0.55,1.0,0.72,0.37,0.65,0.35,0.66,0.34,0.65,0.35,0.53,0.47,SAS,2.67,3.5,22.26,775.57,310.22,31.98,93.51,125.49,71.93,30.98,13.81,55.59,63.62,256.88,112.39,81.14,65.93,56.79,5.62,4.24,158.05,64.09,6.37,16.47,22.84,13.67,5.12,11.2,11.53,52.21,22.78,17.18,13.89,11.66,374.31,148.33,85.6,36.1,66.79,11.86,2.72,0.54,1.15,2.14,0.5,2.95,0.6,12.84,5.01,1.17,2.34,0.66,0.42,0.81,30.21,24.17,67.91,0.36,0.18,14.11,3.05,0.06,5.74,4.56,164.3,12.18,65.68,23.46,5.11,11.73,16.77,54.41,23.42,17.11,13.95,6.69,12.49,4.88,76.64,15.47,100.23,0.35,271.35,120.85,85.9,70.29,815.84,31.91,332.21,132.14,31.5,58.51,20.22,90.75,18.51,397.89,155.6,36.61,71.61,59.88
11,1,0.24,1,0.5,0.33,0.0,0.57,0.55,0.52,0.42,0.73,0.73,0.16,0.65,0.53,0.7,0.43,0.43,0.5,0.44,0.56,0.67,0.64,0.45,0.39,0.33,0.38,0.59,0.65,0.6,0.44,0.45,0.48,0.52,0.36,0.61,1.0,0.81,0.36,0.58,0.42,0.66,0.34,0.49,0.51,0.52,0.48,SAS,2.17,3.17,21.76,769.1,320.71,30.85,90.19,121.05,71.59,29.9,13.43,55.33,60.92,260.99,115.39,81.77,66.21,69.13,4.85,3.64,132.93,56.14,5.48,13.66,19.14,11.36,4.53,8.65,9.74,45.08,20.23,14.45,11.51,10.0,376.85,140.18,82.95,34.43,63.97,12.33,2.67,0.51,1.11,2.12,0.33,2.95,0.51,14.16,4.17,1.5,2.17,0.67,0.42,0.82,31.56,27.32,70.2,0.37,0.12,9.87,1.73,0.06,4.19,3.64,123.33,9.61,51.28,14.53,4.99,7.73,10.34,41.6,17.42,14.65,11.7,4.2,12.7,4.73,84.28,14.41,89.24,0.62,323.91,141.05,100.79,83.69,906.38,29.74,401.53,118.98,43.53,99.25,35.74,94.15,16.14,452.81,133.51,48.52,69.1,61.37
2,1,1.0,0,0.37,0.3,0.28,0.04,0.0,0.14,0.22,0.21,0.27,0.07,0.0,0.0,0.0,0.55,0.37,0.51,0.2,0.0,0.26,0.05,0.47,0.43,0.13,0.04,0.12,0.41,0.26,0.4,0.33,0.58,0.54,0.39,0.31,0.0,0.12,0.42,0.09,0.91,0.2,0.8,0.09,0.91,0.11,0.89,SEA,1.71,1.69,13.82,526.28,149.53,19.31,42.14,61.44,32.7,21.19,7.45,40.16,50.51,142.51,54.94,46.23,30.82,29.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.53,61.44,32.7,21.19,40.16,6.42,1.32,0.28,0.83,1.64,0.0,1.32,0.31,5.52,2.48,0.81,1.66,0.41,0.39,0.59,27.08,12.56,59.48,0.27,0.0,0.06,0.0,0.0,0.12,0.0,0.58,0.0,0.0,0.06,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.06,0.12,0.0,38.25,8.81,48.14,0.58,140.09,54.65,50.23,31.93,562.58,20.34,151.15,68.49,23.93,31.18,9.91,38.3,8.81,151.15,68.55,23.93,45.16,45.05
3,1,1.0,1,0.37,0.3,0.28,0.07,0.07,0.21,0.3,0.27,0.32,0.23,0.08,0.13,0.05,0.46,0.43,0.24,0.34,0.05,0.23,0.07,0.32,0.3,0.15,0.03,0.15,0.47,0.32,0.37,0.25,0.33,0.51,0.4,0.24,0.0,0.2,0.26,0.2,0.8,0.25,0.75,0.25,0.75,0.19,0.81,SEA,1.71,1.69,16.26,615.45,182.04,26.62,55.11,81.73,37.92,25.88,12.5,39.76,55.19,173.31,65.8,57.57,39.1,37.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.04,81.73,37.92,25.88,39.76,6.6,1.35,0.44,0.91,1.44,0.0,1.43,0.55,6.91,3.22,0.91,1.48,0.46,0.37,0.67,27.39,16.22,57.91,0.33,0.0,0.25,0.05,0.0,0.27,0.18,3.98,0.19,0.35,0.41,0.06,0.16,0.33,0.88,0.13,0.04,0.04,0.08,0.33,0.05,41.15,15.36,63.24,0.63,188.71,71.87,64.34,44.47,636.8,28.56,200.94,91.79,26.48,42.0,12.72,41.4,15.42,201.29,92.2,26.54,42.63,42.47
4,1,0.71,0,0.0,0.3,0.28,0.19,0.18,0.23,0.24,0.41,0.41,0.4,0.16,0.26,0.24,0.47,0.47,0.27,0.46,0.16,0.25,0.11,0.31,0.3,0.1,0.04,0.19,0.36,0.25,0.35,0.18,0.36,0.53,0.4,0.25,0.0,0.14,0.27,0.37,0.63,0.42,0.58,0.38,0.62,0.33,0.67,SEA,0.0,1.0,15.73,586.77,191.93,28.19,55.11,83.31,43.24,25.16,13.75,40.13,52.69,176.26,69.61,52.63,38.42,42.76,0.73,0.48,18.12,5.68,0.65,1.38,2.03,1.42,0.91,1.46,1.63,5.25,1.88,1.71,1.47,1.77,197.61,85.33,44.65,26.07,41.58,7.29,1.67,0.52,0.98,1.57,0.0,2.07,0.58,8.88,3.24,1.04,1.71,0.51,0.39,0.76,26.18,18.56,53.5,0.3,0.07,2.85,0.6,0.0,1.1,0.77,31.01,2.67,10.37,2.59,1.47,1.78,1.74,9.78,3.61,2.62,2.25,0.84,3.61,0.9,57.28,15.62,60.89,0.34,216.54,87.98,63.0,50.1,659.68,27.85,246.85,88.74,27.81,58.28,20.79,60.13,16.22,257.22,91.33,29.28,48.66,46.88
5,1,0.6,1,0.0,0.3,0.28,0.37,0.32,0.29,0.23,0.47,0.47,0.48,0.35,0.43,0.42,0.5,0.37,0.24,0.51,0.32,0.34,0.27,0.3,0.29,0.18,0.16,0.34,0.33,0.28,0.29,0.14,0.32,0.4,0.32,0.31,0.5,0.43,0.28,0.5,0.5,0.62,0.38,0.38,0.62,0.42,0.58,SEA,0.0,0.67,17.88,643.03,231.88,31.84,67.34,99.17,53.45,24.69,15.22,43.1,56.48,202.05,85.33,56.74,43.92,50.71,0.49,0.32,12.08,3.79,0.43,0.92,1.35,0.95,0.61,0.97,1.09,3.5,1.25,1.14,0.98,1.18,235.66,100.52,54.4,25.3,44.07,8.03,1.85,0.54,0.9,1.55,0.5,2.24,0.58,10.25,4.24,1.03,1.89,0.54,0.42,0.73,28.68,19.95,64.66,0.37,0.03,1.78,0.35,0.02,0.93,0.48,22.47,2.16,7.84,3.08,1.34,1.79,2.08,7.53,2.84,2.27,1.79,1.0,1.74,0.38,66.2,16.62,84.34,0.68,264.59,112.14,72.2,55.52,735.94,38.4,302.17,122.74,29.51,65.87,22.38,67.98,16.97,310.01,125.83,30.85,55.02,53.23
6,1,0.33,1,0.5,0.5,0.5,0.45,0.37,0.44,0.36,0.48,0.44,0.51,0.42,0.5,0.53,0.56,0.47,0.33,0.48,0.42,0.4,0.33,0.29,0.3,0.22,0.19,0.3,0.3,0.24,0.33,0.35,0.35,0.44,0.39,0.36,0.83,0.59,0.34,0.58,0.42,0.73,0.27,0.42,0.58,0.53,0.47,SEA,3.0,1.33,20.58,725.19,277.14,35.24,78.15,113.39,62.75,28.71,15.87,50.94,65.49,230.63,100.59,69.19,55.21,56.14,4.06,2.94,102.87,37.09,4.95,11.08,16.04,8.71,4.12,7.72,8.56,32.37,13.53,8.92,7.2,6.28,314.23,129.43,71.46,32.83,58.66,10.13,2.27,0.59,1.07,1.91,0.83,2.45,0.72,11.75,4.41,0.99,2.05,0.57,0.42,0.76,28.92,18.17,60.4,0.35,0.14,8.64,1.99,0.0,3.98,2.67,99.45,8.2,41.92,15.27,4.01,6.92,10.72,34.08,15.01,9.85,8.33,4.55,7.51,3.57,68.01,19.99,84.94,0.31,263.36,116.15,75.51,60.39,726.18,33.77,320.18,118.71,26.16,74.39,27.49,76.65,21.98,362.1,133.97,30.17,61.34,54.42
7,1,0.21,1,0.33,0.33,0.33,0.51,0.41,0.56,0.47,0.42,0.4,0.44,0.53,0.56,0.5,0.58,0.28,0.41,0.54,0.48,0.48,0.45,0.36,0.36,0.23,0.22,0.34,0.31,0.27,0.48,0.54,0.41,0.31,0.51,0.44,1.0,0.69,0.41,0.61,0.39,0.78,0.22,0.4,0.6,0.58,0.42,SEA,2.5,1.67,21.46,751.15,291.45,36.4,84.56,120.96,62.45,26.05,17.32,54.31,69.03,238.58,104.88,76.91,61.71,55.94,3.86,2.82,99.35,35.19,4.14,10.68,14.81,7.8,3.63,7.03,8.95,31.03,12.8,8.5,7.1,7.02,326.65,135.78,70.25,29.68,61.34,10.35,2.22,0.59,0.95,1.97,0.5,2.06,0.63,10.23,4.45,0.82,1.86,0.55,0.42,0.76,29.06,20.75,67.09,0.34,0.08,6.25,1.43,0.0,3.16,2.44,82.76,7.56,31.26,12.53,3.1,5.35,9.33,26.92,11.17,7.6,6.59,3.19,6.67,2.34,58.73,18.19,90.35,0.73,236.12,105.7,74.93,59.71,736.85,37.09,291.81,127.44,22.84,57.6,20.69,64.98,19.62,323.07,139.96,25.94,57.72,52.37
8,1,0.29,1,0.17,0.17,0.17,0.58,0.47,0.65,0.55,0.42,0.42,0.42,0.64,0.63,0.45,0.62,0.25,0.58,0.49,0.55,0.57,0.54,0.47,0.46,0.29,0.29,0.31,0.34,0.28,0.49,0.61,0.55,0.33,0.45,0.55,1.0,0.66,0.44,0.58,0.42,0.65,0.35,0.52,0.48,0.55,0.45,SEA,1.83,2.0,19.8,692.95,279.37,33.89,81.34,115.23,55.81,23.94,15.24,52.07,65.4,223.99,100.61,74.58,59.8,51.97,3.34,2.38,85.34,30.89,3.28,9.37,12.65,6.63,2.71,5.51,7.41,26.64,10.68,8.68,7.21,7.35,310.26,127.88,62.44,26.65,57.58,10.2,1.98,0.57,0.88,1.92,1.17,1.95,0.57,10.1,4.35,0.82,1.88,0.52,0.42,0.74,27.59,19.7,60.77,0.37,0.07,5.46,1.48,0.05,2.68,2.11,70.1,5.91,26.91,10.23,2.24,4.43,7.7,22.94,9.13,7.68,6.46,2.53,7.12,2.19,54.95,14.75,79.12,0.69,220.26,98.96,71.35,56.79,666.73,32.65,274.46,111.76,22.19,54.99,19.75,60.42,16.23,301.37,122.0,24.43,54.88,50.45
9,1,0.38,1,0.0,0.3,0.28,0.64,0.56,0.7,0.58,0.57,0.58,0.44,0.7,0.68,0.46,0.55,0.24,0.59,0.53,0.63,0.68,0.64,0.47,0.39,0.42,0.4,0.35,0.43,0.36,0.59,0.52,0.55,0.36,0.36,0.64,1.0,0.67,0.42,0.54,0.46,0.65,0.35,0.43,0.57,0.52,0.48,SEA,0.5,2.0,19.45,676.52,287.92,33.12,81.56,114.68,55.15,23.42,15.34,50.53,61.04,227.63,102.67,74.47,60.9,61.29,2.01,1.43,52.2,21.09,2.03,6.3,8.33,3.98,1.52,3.46,5.09,17.69,7.29,4.97,4.36,6.48,309.01,123.01,59.13,24.94,53.99,10.12,1.89,0.56,0.83,1.83,1.67,2.44,0.61,10.95,4.96,1.05,2.06,0.58,0.42,0.76,27.04,19.51,55.39,0.43,0.1,6.66,1.78,0.0,3.28,2.88,87.41,7.33,34.77,16.47,2.41,5.82,11.03,29.21,12.73,10.33,7.88,5.44,4.48,1.43,61.17,15.64,84.59,0.29,229.42,102.11,84.2,66.51,690.55,37.7,286.46,122.29,26.28,45.88,15.73,67.83,17.42,321.23,138.76,28.69,55.95,50.13
10,1,0.29,1,0.0,0.3,0.28,0.59,0.55,0.69,0.61,0.5,0.53,0.46,0.72,0.71,0.47,0.59,0.36,0.56,0.51,0.58,0.59,0.61,0.48,0.43,0.44,0.47,0.36,0.49,0.41,0.49,0.53,0.5,0.44,0.32,0.58,1.0,0.65,0.41,0.61,0.39,0.78,0.22,0.4,0.6,0.59,0.41,SEA,0.67,2.0,19.17,674.13,278.38,32.22,80.67,112.88,56.65,25.56,14.3,49.75,61.24,225.05,99.6,75.32,60.27,56.32,2.15,1.44,54.57,21.08,2.19,6.09,8.28,3.58,2.33,3.87,5.15,18.08,7.27,5.51,4.74,5.44,299.46,121.17,60.22,27.89,53.62,10.31,1.96,0.55,0.96,1.85,1.0,2.21,0.63,10.23,4.31,0.93,1.97,0.54,0.42,0.75,29.23,18.23,66.04,0.38,0.09,4.84,1.15,0.03,2.91,1.67,66.48,5.77,23.98,10.32,1.88,4.73,7.25,20.86,8.81,6.44,4.92,3.07,4.43,1.44,62.96,16.55,80.11,0.41,224.42,97.7,77.94,61.68,700.97,33.69,273.66,113.8,24.93,49.2,16.59,67.81,17.7,297.64,124.12,26.81,57.68,52.95
11,1,0.19,1,0.0,0.3,0.28,0.56,0.52,0.67,0.6,0.49,0.49,0.41,0.68,0.66,0.49,0.67,0.44,0.58,0.55,0.55,0.53,0.56,0.49,0.44,0.5,0.55,0.37,0.49,0.41,0.46,0.54,0.49,0.55,0.38,0.56,1.0,0.83,0.39,0.63,0.37,0.8,0.2,0.42,0.58,0.65,0.35,SEA,0.83,2.0,19.76,715.57,280.01,33.02,81.72,114.74,60.71,28.07,14.01,52.14,66.36,230.64,100.4,76.41,60.74,53.94,2.15,1.57,58.94,21.56,2.24,5.88,8.12,4.16,2.67,4.17,5.98,18.9,7.45,5.66,4.9,5.06,301.57,122.86,64.87,30.74,56.31,10.27,2.19,0.54,1.22,1.96,0.83,2.59,0.49,12.53,4.52,1.07,2.16,0.64,0.43,0.8,29.53,24.1,74.59,0.44,0.1,6.75,0.97,0.02,3.24,2.75,93.08,7.96,35.43,12.49,2.66,5.89,8.77,30.37,12.59,8.95,7.34,3.72,8.49,2.9,73.84,13.03,87.61,0.88,278.9,121.48,85.69,70.18,837.24,35.29,339.58,122.9,29.47,75.22,26.43,80.6,14.0,375.01,135.38,32.13,65.34,59.45
2,0,0.43,0,0.0,0.3,0.28,0.39,0.1,0.21,0.26,0.21,0.22,0.28,0.28,0.3,0.45,0.4,0.31,0.43,0.41,0.26,0.42,0.22,0.15,0.23,0.29,0.18,0.18,0.12,0.07,0.42,0.24,0.43,0.26,0.23,0.35,0.0,0.0,0.92,0.42,0.58,0.4,0.6,0.5,0.5,0.64,0.35,WAS,0.0,2.0,22.76,804.35,288.0,37.47,83.77,121.24,62.94,31.85,17.15,59.28,67.88,237.34,111.82,73.38,51.05,41.3,1.62,1.33,48.4,14.65,1.62,3.87,5.5,3.31,1.76,3.8,3.21,12.53,5.78,2.97,2.3,2.55,302.65,126.73,66.24,33.62,63.08,9.74,2.29,0.58,1.09,2.1,0.0,1.89,0.69,11.66,4.79,1.23,2.19,0.63,0.47,0.68,31.14,26.29,78.09,0.43,0.06,3.86,1.19,0.0,1.82,1.56,59.44,4.07,18.41,6.7,2.23,4.52,4.76,15.65,7.23,3.68,2.97,1.93,3.09,0.98,56.18,20.84,98.42,0.51,290.03,138.41,89.66,61.84,907.81,47.08,352.87,145.5,36.83,44.46,14.21,60.04,22.03,371.28,152.19,39.06,69.58,65.06
