year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_8,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostftAttempted,PostoRebounds,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
9,1,4.47,0,0.24,0.22,0.22,918.42,2155.53,507.08,656.69,574.97,308.92,738.72,1047.64,565.58,688.28,277.31,480.28,139.25,906.0,2127.81,713.94,181.94,500.0,361.5,1162.08,537.11,662.78,249.53,543.75,122.81,33.67,133295.03,0.5,0.5,0.61,0.39,0.39,0.61,0.5,0.5,12.0,3.53,0.93,1.76,0.42,0.78,31.18,22.41,73.03,0.39,1.74,0.07,13.01,4.22,15.16,0.63,0.21,1979.82,0.9,316.49,68.7,72.13,810.19,7.26,28.36,96.45,16.87,129.01,33.76,61.98,163.57,PHO
10,1,4.72,1,0.19,0.19,0.19,962.69,2250.89,542.36,687.61,620.58,324.39,772.67,1097.06,572.25,715.11,266.67,482.36,145.14,943.83,2225.0,770.94,199.56,553.72,382.61,1205.19,565.36,676.17,245.53,535.42,124.39,33.83,134900.78,0.5,0.5,0.6,0.4,0.39,0.61,0.48,0.52,12.0,4.06,0.99,1.91,0.42,0.8,30.22,24.39,78.46,0.43,1.46,0.04,8.39,2.85,8.75,0.64,0.1,1981.48,1.1,327.13,85.71,72.07,794.17,6.3,33.49,91.21,18.64,136.46,33.1,62.85,166.7,PHO
11,1,3.81,1,0.39,0.39,0.39,1012.69,2320.33,574.28,710.75,649.67,316.86,812.39,1129.25,590.72,725.39,255.94,485.22,154.78,987.25,2331.75,800.0,205.72,580.36,396.56,1236.28,579.5,678.83,247.03,519.06,128.03,33.94,136960.53,0.54,0.46,0.63,0.37,0.46,0.54,0.53,0.47,9.42,4.48,0.9,1.87,0.43,0.76,30.2,19.08,73.04,0.39,2.14,0.14,11.81,4.57,9.18,0.59,0.18,1920.74,0.65,285.96,85.41,70.09,750.88,5.1,41.2,59.72,21.62,159.63,30.69,64.24,151.09,PHO
2,1,7.0,0,0.0,0.0,0.0,761.0,1828.0,488.0,697.0,433.0,309.0,627.0,936.0,480.0,761.0,265.0,593.0,93.0,788.0,1847.0,766.0,150.0,447.0,307.0,953.0,487.0,729.0,277.0,531.0,130.0,32.0,133076.0,0.31,0.69,0.38,0.62,0.25,0.75,0.19,0.81,13.0,3.86,1.0,2.02,0.42,0.73,30.55,25.06,82.01,0.32,0.0,0.0,0.0,0.0,0.0,0.65,0.0,1973.79,1.19,227.65,63.92,71.94,812.24,5.34,37.27,53.61,12.15,119.5,30.88,62.36,165.13,POR
3,1,7.0,0,0.0,0.0,0.0,742.33,1870.0,462.67,640.33,490.33,303.0,673.0,976.0,460.67,675.67,251.0,531.0,101.67,790.0,1911.67,692.67,156.0,422.33,331.0,1055.0,496.33,671.67,287.67,493.0,139.33,32.0,136129.33,0.33,0.67,0.38,0.62,0.29,0.71,0.22,0.78,13.0,3.55,0.9,1.69,0.41,0.72,30.21,22.55,65.67,0.35,0.37,0.0,1.76,0.56,3.85,0.61,0.16,1975.28,0.52,194.46,54.15,70.89,750.75,4.85,30.67,48.66,11.55,112.05,28.25,52.99,161.53,POR
2,1,3.0,1,0.5,0.0,0.0,876.0,1993.0,449.0,650.0,459.0,388.0,650.0,1038.0,567.0,571.0,332.0,458.0,157.0,811.0,1918.0,544.0,144.0,418.0,320.0,951.0,503.0,600.0,226.0,524.0,116.0,32.0,126841.0,0.66,0.34,0.81,0.19,0.5,0.5,0.62,0.38,14.0,4.31,1.32,2.0,0.44,0.72,29.31,25.62,72.15,0.4,0.28,0.13,4.05,2.16,3.78,0.68,0.0,1972.6,0.77,261.38,62.19,72.05,799.34,7.06,48.17,48.67,25.51,139.88,41.44,61.38,162.94,SAC
3,1,2.33,0,0.83,0.33,0.0,850.0,1980.33,454.33,628.67,435.0,378.67,698.67,1077.33,561.0,582.33,294.67,482.0,157.67,806.33,1974.67,566.67,125.33,406.0,335.33,987.0,498.33,610.67,249.33,495.33,134.0,32.0,131349.0,0.64,0.36,0.77,0.23,0.5,0.5,0.62,0.38,14.0,4.22,1.15,1.86,0.42,0.73,29.32,21.33,67.57,0.37,1.81,0.04,10.93,4.68,6.93,0.63,0.0,1972.1,0.62,229.98,55.08,72.0,744.44,7.08,45.79,44.99,22.09,143.48,37.79,59.58,162.04,SAC
4,1,4.17,1,0.42,0.17,0.0,815.0,1962.67,474.17,640.83,415.0,339.83,673.33,1013.17,530.5,628.67,270.83,469.0,133.33,810.67,1959.33,623.83,137.17,429.5,343.67,1031.0,495.67,621.83,241.17,495.67,131.0,32.0,137764.0,0.54,0.46,0.7,0.3,0.38,0.62,0.5,0.5,14.0,4.42,1.11,1.8,0.42,0.72,27.52,18.36,70.77,0.37,0.85,0.02,5.12,2.4,2.53,0.64,0.0,1972.73,0.75,226.28,59.41,72.71,714.66,8.1,42.34,29.77,19.51,130.94,31.53,52.04,161.75,SAC
5,1,3.7,1,0.65,0.3,0.0,833.8,2020.4,454.5,634.9,438.2,343.5,691.2,1034.7,545.5,633.6,281.3,465.8,128.8,812.8,1972.0,613.1,141.9,444.5,344.2,1057.0,503.8,629.1,234.3,527.8,135.0,32.8,144889.6,0.55,0.45,0.7,0.3,0.39,0.61,0.52,0.48,14.0,4.14,1.08,1.69,0.41,0.7,29.87,18.2,69.74,0.37,1.61,0.01,8.43,4.02,6.6,0.62,0.03,1973.8,0.74,233.51,55.31,72.22,748.2,8.15,41.16,46.92,17.78,140.21,34.07,55.86,162.33,SAC
6,1,3.8,1,0.77,0.37,0.0,847.2,2037.6,448.0,624.6,413.8,358.67,672.47,1031.13,536.67,636.07,292.2,472.2,125.2,809.53,1938.67,619.07,148.27,449.0,332.8,1033.33,506.87,634.73,236.53,549.53,129.0,33.2,145774.4,0.54,0.46,0.66,0.34,0.42,0.58,0.53,0.47,14.0,4.17,1.1,1.77,0.42,0.71,31.41,16.79,71.22,0.36,2.25,0.01,9.76,5.52,5.46,0.59,0.0,1976.51,0.56,200.89,57.1,73.04,734.38,8.63,45.09,36.3,16.07,146.06,38.47,61.68,168.5,SAC
