year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_4,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostftAttempted,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
9,0,4.11,0,0.43,0.21,0.11,847.58,2007.6,480.2,642.4,453.48,327.34,718.05,1045.39,516.29,649.32,261.1,505.02,121.38,847.88,2009.59,642.4,152.8,451.95,328.21,1045.67,517.42,648.88,261.57,504.32,119.75,33.13,142427.59,0.5,0.5,0.61,0.39,0.39,0.61,0.5,0.5,0.0,2.67,0.71,1.71,0.41,0.74,30.66,17.47,58.45,0.3,0.3,0.12,5.5,9.53,0.48,0.03,1980.6,0.21,218.62,44.39,70.59,620.31,7.31,22.39,63.93,5.48,93.67,25.25,60.01,150.21,ATL
10,0,7.0,1,0.0,0.0,0.0,895.0,2258.0,542.0,725.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,1014.0,2254.0,918.0,172.0,502.0,401.0,1265.0,684.0,726.0,310.0,561.0,134.0,34.0,141379.0,0.12,0.88,0.06,0.94,0.18,0.82,0.1,0.9,0.0,4.01,0.86,1.82,0.45,0.73,29.54,18.24,68.62,0.37,0.44,0.0,2.21,1.93,0.55,0.04,1980.97,0.75,218.31,50.49,72.87,656.34,6.98,37.5,42.68,12.85,118.52,25.35,51.5,157.32,ATL
11,0,3.67,1,0.33,0.0,0.0,1024.33,2371.33,560.0,745.0,448.67,382.67,815.67,1198.33,528.67,759.33,314.33,591.0,128.0,1002.0,2326.67,844.0,178.0,520.67,369.0,1204.33,638.0,708.67,334.67,587.67,133.33,34.0,127617.67,0.39,0.61,0.49,0.51,0.29,0.71,0.34,0.66,9.42,3.43,0.98,1.53,0.43,0.73,31.14,14.75,59.96,0.33,0.11,0.0,2.5,2.48,0.52,0.12,1983.62,0.61,207.05,45.62,72.26,652.27,4.27,33.09,41.49,11.18,109.48,31.79,51.22,162.46,ATL
2,0,8.0,1,0.0,0.0,0.0,812.0,1903.0,431.0,577.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,879.0,1930.0,716.0,138.0,423.0,326.0,990.0,596.0,596.0,259.0,426.0,123.0,32.0,90963.0,0.25,0.75,0.31,0.69,0.19,0.81,0.24,0.76,1.0,3.01,0.99,1.92,0.42,0.77,29.94,17.27,69.46,0.35,0.19,0.0,0.9,1.27,0.63,0.0,1972.13,0.59,228.86,53.81,70.18,763.84,5.82,26.22,66.67,9.35,91.66,30.44,59.83,157.16,CHA
3,0,5.33,1,0.67,0.67,0.33,768.0,1821.0,417.0,544.33,414.0,307.67,636.0,943.67,495.0,641.0,218.67,481.33,106.0,781.0,1874.0,613.33,122.0,387.0,338.0,937.33,494.0,584.67,257.67,440.0,123.67,32.0,100671.0,0.46,0.54,0.56,0.44,0.35,0.65,0.56,0.44,1.0,3.15,0.86,1.82,0.4,0.77,29.9,20.23,66.29,0.32,2.3,0.0,7.53,9.68,0.61,0.0,1972.82,0.75,214.73,50.13,70.82,746.93,6.01,31.66,57.33,14.76,111.7,30.66,64.84,162.81,CHA
4,0,3.67,1,0.58,0.33,0.17,769.0,1805.5,453.5,603.67,470.5,304.83,644.5,949.33,495.5,644.0,229.83,444.67,105.5,779.5,1840.5,605.67,127.5,379.5,316.5,926.17,491.5,592.33,232.83,432.0,113.33,32.0,103670.5,0.51,0.49,0.62,0.37,0.4,0.6,0.56,0.44,1.0,3.42,0.97,1.64,0.42,0.78,29.98,22.0,68.07,0.32,1.5,0.0,5.4,7.7,0.63,0.0,1973.63,0.67,219.91,54.89,70.58,779.24,6.88,33.56,61.58,12.75,117.26,33.58,57.0,158.66,CHA
5,0,3.0,0,0.55,0.2,0.1,776.2,1835.7,454.5,598.2,489.1,319.7,638.3,958.0,496.9,665.2,249.5,465.6,109.3,783.7,1865.1,630.2,131.7,390.5,344.3,958.5,491.3,597.8,245.3,446.8,109.6,32.8,110226.7,0.52,0.48,0.68,0.32,0.36,0.64,0.54,0.46,1.0,3.66,1.04,1.82,0.41,0.77,31.63,25.69,81.29,0.3,1.18,0.0,4.24,6.2,0.66,0.0,1974.02,0.77,227.67,57.33,71.09,844.68,7.27,36.77,60.74,14.62,126.96,35.93,63.47,165.15,CHA
6,0,3.4,0,0.35,0.1,0.05,762.7,1797.9,450.2,598.4,486.9,296.3,629.6,925.9,466.0,658.2,237.6,469.7,120.5,785.8,1889.4,610.7,131.4,373.0,356.4,974.6,495.8,597.7,243.7,445.0,109.8,33.4,114458.0,0.52,0.48,0.67,0.33,0.36,0.64,0.5,0.5,1.0,3.9,1.05,1.75,0.4,0.75,32.61,27.81,83.97,0.38,1.65,0.02,5.73,5.66,0.66,0.0,1976.96,0.77,279.86,61.24,72.45,875.06,9.0,40.81,66.15,21.48,142.32,38.03,64.03,170.43,CHA
7,0,4.5,0,0.15,0.0,0.0,766.7,1843.6,449.8,610.9,414.2,301.8,619.5,921.3,474.4,689.3,256.5,497.9,118.9,816.2,1895.9,654.5,129.5,358.9,359.1,1013.7,500.3,621.3,254.1,480.9,123.7,33.8,108815.7,0.37,0.63,0.52,0.48,0.23,0.77,0.36,0.64,1.0,3.72,1.01,1.81,0.39,0.74,31.39,25.44,81.89,0.34,0.92,0.0,3.31,2.89,0.65,0.0,1977.2,0.96,251.97,59.21,72.75,821.04,8.78,38.55,47.4,18.27,128.02,34.74,61.6,169.8,CHA
7,0,4.11,0,0.43,0.21,0.11,847.58,2007.6,480.2,642.4,453.48,327.34,718.05,1045.39,516.29,649.32,261.1,505.02,121.38,847.88,2009.59,642.4,152.8,451.95,328.21,1045.67,517.42,648.88,261.57,504.32,119.75,33.13,142427.59,0.5,0.5,0.61,0.39,0.39,0.61,0.5,0.5,2.0,2.19,0.62,1.14,0.38,0.67,30.08,15.91,66.2,0.26,0.37,0.05,4.77,3.08,0.46,0.0,1978.83,0.48,146.94,25.47,72.32,581.37,6.42,25.66,51.52,8.62,75.76,20.36,39.03,161.69,CHI
