year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_4,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostftAttempted,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
8,0,7.0,0,0.0,0.0,0.0,858.0,2175.0,449.0,643.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,971.0,2147.0,736.0,200.0,536.0,379.0,1239.0,623.0,584.0,262.0,535.0,120.0,34.0,57635.0,0.15,0.85,0.18,0.82,0.12,0.88,0.2,0.8,2.0,3.29,0.91,1.47,0.4,0.72,28.04,19.1,58.69,0.29,0.1,0.0,2.76,1.32,0.59,0.0,1980.9,0.21,214.67,50.05,71.74,685.67,6.28,31.27,33.55,11.12,101.72,26.51,44.23,165.29,CHI
9,0,6.33,0,0.0,0.0,0.0,902.67,2243.0,475.67,696.33,541.33,374.33,748.0,1122.33,567.67,647.33,267.0,515.67,116.33,965.67,2211.0,673.33,189.33,499.33,379.0,1229.67,597.0,650.0,248.67,555.67,132.0,34.0,63583.0,0.32,0.68,0.29,0.71,0.35,0.65,0.27,0.73,2.0,4.49,0.96,1.63,0.41,0.71,30.22,21.9,65.48,0.43,0.11,0.05,1.59,0.31,0.61,0.16,1980.97,0.34,241.77,65.82,71.63,762.74,6.36,49.17,18.9,14.66,145.85,29.58,51.76,163.37,CHI
10,0,5.67,0,0.0,0.0,0.0,900.83,2171.5,519.83,754.17,441.17,365.67,759.0,1124.67,557.83,643.17,268.0,520.33,132.67,941.33,2207.0,664.17,179.67,503.67,372.5,1194.83,564.0,665.5,251.83,538.83,128.0,34.0,62864.5,0.34,0.66,0.38,0.62,0.29,0.71,0.38,0.62,2.0,4.08,0.94,1.67,0.41,0.71,30.47,18.62,62.65,0.34,0.02,0.0,0.75,0.56,0.59,0.04,1982.56,0.58,238.52,61.1,71.54,725.94,5.34,38.19,32.18,14.88,124.93,28.83,51.35,161.02,CHI
11,0,5.4,0,0.0,0.0,0.0,912.5,2157.3,522.7,729.7,453.1,342.2,765.8,1108.0,547.5,627.9,260.4,525.0,134.8,966.4,2231.8,643.7,190.2,539.4,367.1,1179.3,582.4,653.7,260.3,518.9,125.2,34.0,64459.5,0.39,0.61,0.51,0.49,0.27,0.73,0.41,0.59,9.42,4.13,0.69,1.71,0.44,0.73,29.68,18.85,64.46,0.33,0.56,0.0,1.38,2.89,0.54,0.0,1981.58,0.63,190.35,49.32,73.99,653.68,5.64,33.72,47.28,15.8,126.39,20.54,51.67,170.44,CHI
2,0,2.0,1,1.0,0.5,0.0,809.0,1828.0,426.0,570.0,407.0,331.0,603.0,934.0,539.0,647.0,259.0,538.0,91.0,774.0,1761.0,583.0,119.0,368.0,277.0,873.0,540.0,693.0,305.0,552.0,95.0,32.0,137532.0,0.53,0.47,0.81,0.19,0.25,0.75,0.62,0.38,3.0,3.45,0.95,1.8,0.44,0.74,29.6,16.76,73.43,0.31,1.45,0.0,11.01,6.52,0.58,0.0,1974.93,1.11,198.15,49.06,71.4,686.27,6.28,39.08,32.57,11.41,128.54,34.3,62.01,167.79,CLE
3,0,1.33,0,0.67,0.17,0.0,778.33,1789.33,390.0,526.67,359.0,308.33,642.33,950.67,515.0,570.33,264.33,475.33,85.67,700.67,1750.33,490.33,127.67,400.67,290.33,885.0,469.33,629.0,251.67,514.67,116.33,32.0,144092.67,0.64,0.36,0.85,0.15,0.42,0.58,0.68,0.32,3.0,3.93,1.04,1.63,0.45,0.72,29.89,18.53,66.83,0.31,1.62,0.0,7.04,4.18,0.61,0.0,1975.46,0.48,213.35,46.66,71.86,735.81,6.5,39.23,29.46,11.41,132.14,35.17,54.76,167.13,CLE
4,0,4.17,1,0.33,0.08,0.0,769.17,1804.67,410.0,539.83,366.5,301.67,658.17,959.83,497.5,568.67,242.67,463.17,84.33,748.83,1792.17,505.67,138.33,420.83,284.17,901.5,499.67,621.0,246.83,471.33,112.67,32.0,146588.33,0.47,0.53,0.55,0.45,0.4,0.6,0.51,0.49,3.0,3.97,0.93,1.78,0.41,0.75,28.8,19.75,63.09,0.3,0.4,0.0,3.19,2.96,0.62,0.02,1976.14,0.78,237.82,52.51,70.63,740.02,7.44,36.3,53.36,8.04,123.27,29.83,54.73,161.74,CLE
2,0,3.0,0,0.5,0.0,0.0,833.0,1911.0,397.0,546.0,424.0,319.0,606.0,925.0,473.0,583.0,255.0,486.0,130.0,851.0,1964.0,495.0,153.0,450.0,348.0,1017.0,536.0,637.0,264.0,500.0,108.0,32.0,117810.0,0.5,0.5,0.69,0.31,0.31,0.69,0.62,0.38,4.0,4.5,1.25,2.13,0.43,0.72,30.72,24.96,79.46,0.5,2.19,0.0,4.6,5.31,0.69,0.0,1973.28,0.7,260.26,60.94,71.98,869.94,7.44,48.28,48.07,23.33,154.69,42.16,72.11,175.09,CON
3,0,4.33,0,0.17,0.0,0.0,789.67,1913.0,419.0,573.33,496.0,343.67,611.33,955.0,459.0,623.0,298.33,516.67,126.67,821.0,1875.33,568.33,155.67,442.0,326.67,989.0,534.67,612.33,286.67,530.67,112.0,32.0,118519.33,0.44,0.56,0.65,0.35,0.23,0.77,0.49,0.51,4.0,4.04,1.13,1.9,0.41,0.74,29.04,21.97,70.27,0.41,0.56,0.0,1.68,2.28,0.66,0.0,1974.54,0.63,247.86,50.07,71.93,791.33,7.22,41.75,65.28,13.13,124.6,34.37,58.36,170.53,CON
4,0,4.67,1,0.08,0.0,0.0,798.83,1913.5,456.0,609.67,478.5,331.83,603.17,935.0,452.5,646.0,296.67,486.33,119.83,812.5,1868.67,618.17,155.83,432.0,344.33,1017.5,526.83,624.67,268.83,535.83,110.0,32.0,116178.17,0.47,0.53,0.64,0.36,0.3,0.7,0.56,0.44,4.0,4.07,1.35,1.8,0.41,0.74,29.64,22.88,72.15,0.44,0.18,0.0,0.54,1.07,0.68,0.04,1973.64,0.55,240.62,55.19,70.75,808.49,7.59,39.85,63.26,10.32,122.24,40.82,54.24,165.25,CON
5,0,4.0,1,0.45,0.2,0.0,824.9,1988.9,465.2,624.2,506.7,332.3,666.7,999.0,479.5,652.8,286.0,465.4,116.3,833.1,1962.8,640.1,162.3,473.6,353.0,1081.7,537.3,642.4,262.1,511.9,101.2,32.8,110680.1,0.49,0.51,0.62,0.38,0.37,0.63,0.52,0.48,4.0,4.38,1.24,1.65,0.43,0.75,30.75,22.36,78.58,0.49,0.62,0.0,3.85,2.54,0.66,0.03,1974.29,0.8,263.55,53.49,71.63,812.19,8.08,43.97,59.58,14.42,140.55,39.17,52.6,172.24,CON
6,0,2.8,1,0.7,0.55,0.2,848.0,2025.2,458.9,617.7,496.9,327.9,698.6,1026.5,519.2,641.0,291.6,459.4,106.8,843.8,1985.1,635.6,156.5,442.6,336.2,1085.3,549.1,638.9,251.2,502.4,104.6,33.4,110991.5,0.51,0.49,0.6,0.4,0.42,0.58,0.58,0.42,4.0,4.19,1.11,1.86,0.42,0.76,31.58,23.2,78.32,0.43,2.07,0.01,14.72,7.48,0.65,0.0,1977.53,0.6,251.14,58.33,64.26,825.04,8.0,38.5,56.28,24.34,150.88,40.4,66.71,181.99,CON
7,0,1.8,1,0.9,0.8,0.55,882.8,2037.1,480.1,646.0,445.2,323.7,744.3,1068.0,549.4,632.1,267.6,451.8,114.3,844.6,2045.8,620.7,142.3,424.6,341.2,1090.3,530.0,655.6,250.4,473.7,93.9,33.8,114853.0,0.62,0.38,0.69,0.31,0.56,0.44,0.62,0.38,4.0,4.42,1.12,1.87,0.43,0.73,31.72,26.55,77.28,0.46,3.66,0.0,22.53,12.58,0.68,0.07,1977.09,0.39,292.68,72.02,63.91,891.75,8.03,40.61,55.9,23.58,171.49,43.76,72.25,181.42,CON
8,0,1.2,1,1.0,0.75,0.4,929.2,2114.3,506.3,659.0,464.2,330.9,827.8,1158.7,590.3,587.5,258.4,477.0,130.5,887.7,2182.4,566.8,148.0,453.6,350.8,1115.0,528.0,653.2,259.6,473.0,96.3,34.0,120068.3,0.69,0.31,0.75,0.25,0.64,0.36,0.68,0.32,4.0,3.9,0.95,1.63,0.43,0.76,31.19,22.27,64.7,0.42,2.68,0.0,15.24,12.43,0.61,0.07,1978.79,0.07,246.78,58.87,64.07,777.12,7.54,33.59,57.27,19.37,143.82,35.3,61.3,177.9,CON
9,0,1.8,1,0.8,0.45,0.25,965.8,2205.7,500.5,645.1,503.1,340.7,855.0,1195.7,608.4,601.2,261.5,506.8,143.9,927.6,2253.5,580.1,154.2,464.8,346.4,1139.4,546.3,644.7,255.8,493.0,92.0,34.0,127815.3,0.65,0.35,0.66,0.34,0.64,0.36,0.62,0.38,4.0,3.67,0.94,1.89,0.42,0.77,32.18,19.47,67.98,0.38,0.9,0.06,10.68,7.92,0.59,0.0,1980.87,0.37,253.54,65.8,71.18,765.18,6.87,35.27,52.46,7.81,133.35,33.24,69.53,170.82,CON
10,0,2.0,0,0.65,0.2,0.1,974.3,2258.2,519.2,677.5,578.5,354.8,872.0,1226.8,611.8,612.3,240.0,504.8,129.2,947.9,2290.1,602.9,158.2,485.5,354.1,1172.1,551.0,667.8,255.0,498.2,95.6,34.0,130041.0,0.64,0.36,0.69,0.31,0.58,0.42,0.62,0.38,4.0,3.77,0.81,1.75,0.41,0.76,31.82,20.0,68.9,0.37,0.63,0.03,7.07,6.45,0.56,0.0,1982.0,0.43,260.77,62.68,71.41,734.43,5.51,36.37,60.98,11.09,134.43,28.62,63.04,170.18,CON
11,0,3.7,0,0.35,0.05,0.0,974.3,2325.2,518.6,684.2,621.7,359.2,857.3,1216.5,612.1,640.7,242.9,486.7,127.6,957.7,2278.7,665.0,160.0,491.8,344.0,1220.7,545.2,675.7,251.3,522.7,108.5,34.0,124891.3,0.56,0.44,0.69,0.31,0.42,0.58,0.55,0.45,9.42,3.25,0.78,1.84,0.42,0.81,29.69,14.79,59.94,0.34,0.53,0.05,3.07,2.51,0.59,0.07,1981.65,0.52,263.11,51.73,70.64,705.67,5.74,29.74,72.96,10.52,102.83,24.81,57.82,165.99,CON
2,0,5.0,0,0.0,0.0,0.0,868.0,1980.0,519.0,699.0,273.0,341.0,644.0,985.0,503.0,701.0,260.0,530.0,88.0,905.0,1967.0,652.0,136.0,372.0,331.0,971.0,513.0,672.0,284.0,543.0,148.0,32.0,107289.0,0.44,0.56,0.5,0.5,0.38,0.62,0.48,0.52,5.0,3.95,0.94,1.97,0.44,0.75,30.6,25.2,75.13,0.35,0.0,0.0,0.0,0.0,0.63,0.0,1973.38,0.38,251.46,65.67,71.78,780.75,6.51,42.95,25.12,9.82,123.2,28.47,60.77,163.53,DET
3,0,6.33,0,0.0,0.0,0.0,805.33,1936.0,447.67,594.33,361.0,329.67,628.67,958.33,480.33,635.0,236.67,508.67,84.0,867.0,1880.33,606.0,130.0,350.67,296.33,977.67,463.0,618.0,269.33,503.0,122.0,32.0,108661.67,0.35,0.65,0.42,0.58,0.29,0.71,0.38,0.62,5.0,3.26,0.75,1.69,0.4,0.72,28.92,15.15,65.06,0.44,0.0,0.0,0.0,0.01,0.54,0.0,1976.52,0.41,207.11,46.96,71.3,651.17,8.35,36.71,23.59,9.77,98.64,22.52,51.05,169.91,DET
4,0,7.17,1,0.0,0.0,0.0,785.67,1927.5,459.83,622.67,362.5,344.83,673.83,1018.67,479.17,622.0,218.83,524.83,108.0,847.5,1932.17,605.5,138.0,398.83,305.17,980.33,464.0,627.5,273.17,473.0,130.5,32.0,101416.33,0.32,0.68,0.43,0.57,0.21,0.79,0.33,0.67,5.0,4.03,0.9,2.06,0.42,0.72,30.65,22.1,69.73,0.43,0.24,0.0,1.5,1.58,0.63,0.0,1976.65,0.43,241.54,64.99,72.15,785.66,8.17,42.75,54.43,19.59,127.1,28.38,64.45,161.38,DET
5,0,4.7,1,0.4,0.4,0.4,832.2,1958.1,525.5,726.4,346.7,358.5,744.7,1103.2,505.5,615.2,236.5,558.1,128.0,872.9,2073.7,585.7,147.2,455.7,339.1,1013.8,480.0,686.1,287.5,482.6,129.9,32.8,114308.6,0.48,0.52,0.56,0.44,0.41,0.59,0.5,0.5,5.0,4.88,0.95,2.04,0.42,0.71,31.69,23.05,74.58,0.47,3.05,0.0,13.35,4.91,0.64,0.2,1977.7,0.45,246.96,71.9,72.17,821.34,7.73,47.25,32.09,22.76,181.36,33.93,72.42,167.28,DET
6,0,3.8,1,0.5,0.3,0.3,850.8,2015.2,545.2,765.8,293.8,376.9,770.4,1147.3,531.6,622.7,252.4,545.6,141.2,867.7,2105.5,589.7,166.6,498.9,337.7,1035.9,494.0,709.9,289.9,484.4,129.8,33.4,134207.1,0.51,0.49,0.54,0.46,0.47,0.53,0.54,0.46,5.0,4.8,1.04,2.05,0.43,0.71,31.36,26.04,76.31,0.47,2.6,0.0,11.96,4.33,0.66,0.08,1977.05,0.71,259.54,75.38,72.05,851.7,7.79,47.99,32.97,22.14,171.22,36.85,71.95,167.04,DET
7,0,3.5,1,0.55,0.2,0.2,851.6,2045.8,542.4,788.7,258.9,395.7,795.2,1190.9,515.6,680.7,252.2,558.0,151.2,836.6,2063.0,656.0,165.7,495.2,316.1,1034.8,491.0,734.5,285.0,500.5,133.4,33.8,148146.9,0.51,0.49,0.62,0.38,0.41,0.59,0.56,0.44,5.0,4.43,1.03,2.11,0.41,0.71,31.11,24.94,82.69,0.48,1.76,0.11,8.09,4.84,0.68,0.04,1978.21,1.3,277.44,74.6,72.26,858.37,7.99,44.51,53.95,20.29,152.23,35.1,71.27,170.05,DET
8,0,2.7,1,0.75,0.5,0.5,881.9,2125.8,547.5,777.2,311.1,403.3,832.6,1235.9,538.3,702.8,239.2,549.5,146.7,834.3,2097.7,684.4,170.5,521.9,315.5,1056.4,484.9,739.4,280.3,507.3,123.1,34.0,157124.7,0.59,0.41,0.71,0.29,0.46,0.54,0.63,0.37,5.0,4.39,1.03,2.11,0.41,0.72,31.48,24.86,78.54,0.48,1.79,0.04,14.98,6.97,0.67,0.14,1977.8,0.81,272.0,81.16,71.55,858.46,8.37,43.72,56.31,14.08,161.85,37.01,76.64,169.33,DET
9,0,2.1,1,0.85,0.7,0.5,918.1,2192.1,561.3,771.8,369.5,395.9,874.3,1270.2,548.0,711.1,230.6,552.2,133.7,852.8,2153.1,709.5,183.6,556.8,307.9,1069.9,506.7,748.3,276.2,517.0,119.5,34.0,162088.3,0.63,0.37,0.72,0.28,0.54,0.46,0.66,0.34,5.0,4.56,0.99,1.91,0.42,0.73,31.38,20.56,75.51,0.49,2.68,0.18,17.77,13.63,0.65,0.2,1977.48,0.75,270.95,69.08,72.68,816.73,8.42,40.73,59.93,15.18,171.47,35.93,71.78,172.34,DET
10,0,1.5,1,0.95,0.9,0.75,948.1,2246.3,562.4,759.7,429.6,398.4,872.8,1271.2,572.3,718.5,246.0,532.1,125.2,863.7,2166.5,727.2,197.3,587.2,314.4,1079.3,513.9,755.9,256.6,540.7,117.9,34.0,162615.2,0.65,0.35,0.78,0.22,0.53,0.47,0.73,0.28,5.0,4.43,1.06,1.81,0.42,0.77,31.26,21.6,73.41,0.47,2.9,0.09,16.34,14.26,0.64,0.16,1978.23,0.53,263.04,63.36,72.44,813.89,7.78,40.27,67.12,15.33,165.67,38.79,67.99,167.01,DET
11,1,1.9,0,1.0,0.8,0.5,970.5,2273.5,556.7,743.2,447.0,387.3,868.3,1255.6,581.0,735.1,254.5,533.7,111.3,885.4,2194.6,761.0,205.8,607.3,319.4,1092.1,522.2,741.7,263.0,540.4,113.9,34.0,152321.2,0.61,0.39,0.73,0.27,0.5,0.5,0.65,0.35,9.42,3.39,0.88,1.64,0.4,0.77,27.76,14.82,53.57,0.25,0.13,0.05,4.55,6.15,0.52,0.05,1979.82,0.09,211.03,51.81,70.76,581.6,5.81,24.86,60.01,5.43,99.76,26.04,48.64,156.95,DET
2,1,2.0,1,1.0,1.0,1.0,891.0,1894.0,521.0,634.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,440.0,104.0,786.0,1938.0,508.0,124.0,418.0,290.0,902.0,473.0,648.0,233.0,480.0,85.0,32.0,196077.0,0.84,0.16,0.88,0.12,0.81,0.19,0.81,0.19,6.0,4.64,0.97,1.52,0.47,0.79,29.97,24.3,69.64,0.42,2.37,0.0,8.22,9.43,0.63,0.31,1971.65,0.47,217.67,52.58,73.08,790.25,6.83,44.72,54.43,14.88,174.87,35.89,57.04,178.51,HOU
3,1,3.33,1,0.67,0.33,0.33,795.0,1903.33,450.33,570.67,453.67,323.0,714.67,1037.67,448.67,524.0,262.0,437.33,98.0,755.33,1901.33,505.33,142.67,443.33,294.67,955.33,459.0,590.0,243.0,448.67,108.33,32.0,186102.33,0.68,0.32,0.75,0.25,0.6,0.4,0.68,0.32,6.0,4.75,1.31,1.92,0.44,0.77,30.06,23.62,63.38,0.38,0.84,0.0,9.6,7.46,0.68,0.41,1972.41,0.25,319.4,78.33,72.5,845.35,7.12,44.78,63.68,16.2,165.65,45.77,66.58,167.88,HOU
4,1,2.67,1,0.58,0.17,0.17,775.0,1840.67,451.67,577.83,392.83,311.0,708.33,1019.33,449.33,495.5,261.0,446.17,112.0,730.17,1890.67,478.67,146.83,466.17,301.83,964.17,452.5,598.0,252.5,456.33,89.67,32.0,187375.17,0.71,0.29,0.81,0.19,0.61,0.39,0.72,0.28,6.0,4.23,1.28,2.17,0.42,0.82,31.0,26.85,60.85,0.35,1.49,0.0,13.56,11.03,0.75,0.37,1972.5,0.09,315.39,89.76,71.89,929.61,7.03,37.38,70.92,14.66,146.8,44.92,74.53,162.09,HOU
5,1,2.4,0,0.55,0.1,0.1,796.2,1870.8,460.2,586.7,373.3,293.0,730.6,1023.6,455.6,493.3,249.0,447.7,118.8,767.7,1946.4,466.4,155.7,479.7,300.3,980.9,477.9,612.4,242.3,445.8,102.6,32.8,172506.3,0.66,0.34,0.82,0.18,0.51,0.49,0.67,0.33,6.0,3.97,1.05,1.81,0.41,0.75,29.38,20.13,57.66,0.31,1.58,0.0,6.98,6.01,0.63,0.26,1975.01,0.23,255.26,61.55,72.45,761.01,7.62,35.78,57.98,17.89,133.96,35.58,58.85,163.07,HOU
6,1,3.8,1,0.3,0.0,0.0,793.3,1894.4,457.2,596.9,356.3,298.8,730.2,1029.0,452.5,513.3,243.2,463.2,116.2,795.8,1976.5,487.6,156.9,467.0,314.9,1016.6,504.8,629.5,248.5,453.5,114.4,33.4,155884.0,0.54,0.46,0.7,0.3,0.38,0.62,0.52,0.48,6.0,4.68,1.2,2.13,0.42,0.77,30.75,25.98,69.88,0.38,0.77,0.01,5.86,3.62,0.75,0.13,1972.61,0.37,294.56,73.35,71.89,932.34,7.81,44.36,43.4,14.29,152.83,39.97,69.11,159.18,HOU
7,1,3.6,1,0.55,0.2,0.0,824.5,1908.9,488.1,639.0,291.4,286.8,713.8,1000.6,460.1,543.6,243.2,450.7,112.5,824.7,1974.0,517.7,153.7,448.3,300.6,999.4,525.9,657.9,227.8,466.1,114.6,33.8,138412.3,0.53,0.47,0.67,0.33,0.39,0.61,0.49,0.51,6.0,3.83,1.04,1.86,0.42,0.75,30.0,21.4,65.87,0.36,0.94,0.04,7.67,3.19,0.66,0.13,1974.92,0.42,241.75,61.64,71.58,806.25,8.31,32.78,32.56,13.51,126.6,34.84,60.84,159.71,HOU
8,1,3.5,0,0.55,0.15,0.0,871.6,1993.4,489.8,661.2,356.3,292.8,755.2,1048.0,489.6,581.1,246.1,495.7,99.4,874.8,2080.6,564.7,150.9,462.1,313.8,1049.5,532.1,681.9,252.6,489.1,106.9,34.0,130948.5,0.51,0.49,0.66,0.34,0.36,0.64,0.49,0.51,6.0,3.95,0.9,1.67,0.45,0.75,28.87,16.93,61.09,0.32,1.43,0.04,6.41,2.88,0.59,0.19,1977.21,0.59,226.88,55.87,72.67,687.86,7.59,33.11,35.72,14.06,125.73,29.16,52.74,163.8,HOU
9,1,4.1,0,0.35,0.1,0.0,896.2,2066.3,517.4,691.3,364.4,326.8,763.8,1090.6,521.3,618.8,264.6,556.4,100.5,901.0,2135.2,637.0,170.0,509.2,326.2,1060.1,555.1,684.8,278.6,526.2,125.8,34.0,132582.9,0.46,0.54,0.56,0.44,0.36,0.64,0.48,0.52,6.0,3.86,0.87,1.89,0.42,0.75,29.49,18.82,69.31,0.29,0.8,0.07,4.38,3.36,0.58,0.04,1977.6,0.58,225.1,57.92,72.2,686.04,8.17,35.35,43.59,11.9,122.54,27.42,59.67,164.11,HOU
