year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,W_post,L_post,GS_weighted_mean,minutes_weighted_mean,points_weighted_mean,oRebounds_weighted_mean,dRebounds_weighted_mean,rebounds_weighted_mean,assists_weighted_mean,steals_weighted_mean,blocks_weighted_mean,turnovers_weighted_mean,PF_weighted_mean,fgAttempted_weighted_mean,fgMade_weighted_mean,ftAttempted_weighted_mean,ftMade_weighted_mean,threeAttempted_weighted_mean,total_points_weighted_mean,total_rebounds_weighted_mean,total_assists_weighted_mean,total_blocks_weighted_mean,total_steals_weighted_mean,total_turnovers_weighted_mean,FG%_weighted_mean,FT%_weighted_mean,award_weighted_mean,Avg_Points_Per_Game_weighted_mean,Avg_Rebounds_Per_Game_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Avg_Steals_Per_Game_weighted_mean,Avg_Turnovers_Per_Game_weighted_mean,Usability_weighted_mean,POSITION_METRIC_weighted_mean,num_trophies,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Points_Per_Game,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_6,GS,PF,POSITION_METRIC,Usability,assists,award,blocks,dRebounds,dq,fgAttempted,fgMade,ftAttempted,ftMade,minutes,oRebounds,points,rebounds,steals,threeAttempted,threeMade,total_assists,total_blocks,total_points,total_rebounds,total_steals,total_turnovers,turnovers
5,0,0.43,1,0.45,0.2,0.0,0.37,0.33,0.39,0.38,0.46,0.51,0.43,0.33,0.4,0.31,0.56,0.53,0.25,0.35,0.34,0.39,0.32,0.41,0.4,0.35,0.35,0.48,0.43,0.4,0.5,0.43,0.43,0.47,0.22,0.42,0.4,0.4,0.26,0.5,0.5,0.59,0.41,0.41,0.59,0.52,0.48,CON,0.9,1.0,20.18,732.98,266.68,35.47,73.54,109.01,57.98,32.36,11.9,50.09,66.34,227.55,95.62,73.86,55.64,59.88,281.89,114.93,61.7,12.63,33.94,52.39,0.41,0.73,0.0,9.38,3.86,2.01,0.44,1.15,1.75,0.62,0.41,0.0,1.89,0.5,10.27,4.66,1.3,1.7,0.43,0.75,29.49,21.72,74.82,0.5,0.67,54.33,0.03,13.86,86.87,0.76,252.23,108.31,68.03,51.73,783.0,42.84,287.83,129.71,36.67,57.03,19.49,57.38,14.48,303.92,136.14,38.15,50.28,48.35
6,0,0.29,1,0.63,0.47,0.17,0.41,0.36,0.36,0.35,0.44,0.48,0.41,0.38,0.43,0.41,0.52,0.56,0.25,0.3,0.36,0.41,0.33,0.38,0.37,0.33,0.29,0.4,0.45,0.39,0.54,0.41,0.38,0.45,0.25,0.42,0.6,0.53,0.27,0.51,0.49,0.58,0.42,0.46,0.54,0.59,0.41,CON,2.27,1.67,21.39,770.88,278.17,36.35,79.14,115.48,62.25,34.3,12.18,51.99,68.19,239.15,101.47,74.72,55.53,60.1,311.74,129.68,69.71,13.57,38.61,57.85,0.42,0.74,0.04,9.99,4.18,2.22,0.44,1.25,1.87,0.63,0.41,0.33,2.44,0.76,10.38,4.68,1.25,2.08,0.42,0.77,31.28,22.95,76.99,0.44,0.64,66.59,0.0,22.34,94.25,0.58,244.98,105.69,77.29,57.85,814.75,38.71,287.49,132.97,34.56,55.15,18.25,77.54,24.31,330.68,149.08,39.58,65.95,58.64
7,0,0.2,1,0.74,0.62,0.4,0.45,0.37,0.41,0.4,0.4,0.43,0.4,0.45,0.48,0.47,0.51,0.47,0.23,0.34,0.39,0.41,0.37,0.37,0.36,0.28,0.26,0.42,0.45,0.39,0.49,0.46,0.39,0.38,0.2,0.4,0.71,0.56,0.28,0.61,0.39,0.65,0.35,0.57,0.43,0.62,0.38,CON,3.05,2.05,21.87,785.59,290.43,36.96,83.75,120.72,64.95,33.34,12.9,52.16,68.75,245.39,106.3,78.74,58.96,56.62,335.38,140.31,73.94,15.32,38.42,59.85,0.42,0.72,0.07,10.53,4.43,2.31,0.49,1.22,1.9,0.63,0.41,0.52,2.6,0.74,11.8,5.0,1.26,2.14,0.43,0.72,30.52,24.68,74.17,0.45,0.66,72.73,0.05,20.66,98.38,0.41,272.05,120.66,89.48,67.93,840.29,39.48,326.9,137.87,34.72,51.92,17.65,84.08,23.69,382.46,160.64,40.53,68.67,58.94
8,0,0.12,1,0.86,0.64,0.33,0.53,0.46,0.49,0.44,0.43,0.45,0.42,0.63,0.62,0.59,0.42,0.43,0.28,0.41,0.48,0.48,0.49,0.3,0.3,0.29,0.3,0.46,0.49,0.45,0.48,0.46,0.41,0.36,0.2,0.43,0.86,0.63,0.3,0.69,0.31,0.7,0.3,0.68,0.32,0.68,0.32,CON,3.29,2.14,21.41,766.74,294.08,36.94,89.0,125.93,66.14,31.84,13.85,51.68,64.25,245.66,107.62,78.37,60.02,55.76,340.42,147.44,75.57,16.59,36.75,59.91,0.42,0.74,0.1,10.73,4.65,2.38,0.52,1.17,1.89,0.61,0.43,0.71,2.43,0.59,10.2,4.3,1.07,1.87,0.42,0.74,29.97,20.9,63.39,0.42,0.59,67.78,0.05,16.65,87.29,0.16,237.18,102.99,72.41,57.21,739.59,31.29,281.98,118.58,29.42,54.88,18.78,76.54,19.11,322.55,135.16,33.71,59.19,51.11
9,0,0.14,1,0.81,0.5,0.26,0.61,0.57,0.48,0.42,0.48,0.49,0.45,0.73,0.71,0.68,0.44,0.42,0.37,0.47,0.54,0.56,0.58,0.32,0.31,0.31,0.33,0.45,0.57,0.5,0.53,0.45,0.38,0.39,0.17,0.5,0.95,0.72,0.33,0.68,0.32,0.64,0.36,0.72,0.28,0.64,0.36,CON,2.86,2.24,21.23,757.33,300.23,36.54,90.6,127.13,68.76,31.53,14.21,53.03,63.32,252.46,110.77,76.78,59.36,57.75,344.33,147.77,77.96,16.76,36.0,61.16,0.42,0.75,0.08,10.87,4.67,2.46,0.53,1.14,1.93,0.6,0.42,0.57,2.51,0.25,9.86,3.88,0.99,2.05,0.42,0.76,31.82,18.47,67.13,0.37,0.57,73.94,0.0,7.3,80.66,0.35,239.71,103.84,80.63,63.17,740.23,33.59,286.72,114.25,30.11,50.12,15.87,81.57,8.16,321.13,126.09,32.24,66.23,59.06
10,0,0.12,0,0.74,0.36,0.19,0.64,0.64,0.53,0.48,0.55,0.58,0.5,0.79,0.78,0.72,0.44,0.33,0.38,0.42,0.59,0.61,0.63,0.33,0.32,0.32,0.35,0.47,0.63,0.54,0.54,0.52,0.38,0.4,0.18,0.54,1.0,0.74,0.34,0.68,0.32,0.67,0.33,0.69,0.31,0.66,0.34,CON,2.38,2.24,20.27,718.07,292.9,35.19,88.79,123.98,66.8,27.8,13.02,50.15,61.17,245.7,107.63,75.12,58.13,58.41,331.28,142.18,74.74,15.02,31.63,57.29,0.42,0.75,0.06,10.61,4.58,2.41,0.47,1.03,1.85,0.58,0.41,0.43,2.23,0.34,9.62,3.93,0.87,1.87,0.41,0.75,30.97,18.23,66.4,0.35,0.55,65.71,0.0,9.95,80.01,0.37,241.51,102.63,76.31,58.78,701.67,34.76,281.92,114.77,25.48,56.6,17.88,71.64,10.62,308.14,125.89,27.66,60.15,54.31
11,0,0.29,0,0.5,0.21,0.12,0.66,0.72,0.54,0.5,0.59,0.63,0.53,0.79,0.79,0.74,0.49,0.32,0.34,0.43,0.61,0.65,0.64,0.44,0.4,0.32,0.37,0.44,0.74,0.62,0.52,0.55,0.37,0.47,0.25,0.59,1.0,0.79,0.33,0.62,0.38,0.68,0.32,0.56,0.44,0.6,0.4,CON,1.57,1.57,18.79,674.84,276.51,33.7,83.2,116.91,62.82,25.41,12.43,46.65,59.46,235.03,101.83,70.4,54.29,56.35,302.4,129.39,68.15,13.78,27.92,51.55,0.41,0.75,0.04,10.08,4.34,2.28,0.45,0.94,1.72,0.57,0.39,0.29,1.96,0.35,10.36,3.55,0.82,1.99,0.42,0.78,29.24,13.45,58.66,0.33,0.57,54.93,0.05,9.77,63.35,0.5,253.45,107.27,62.38,49.58,684.2,30.23,287.46,93.59,22.47,67.03,23.35,59.39,10.5,308.73,102.57,24.25,58.01,53.98
2,0,0.57,0,0.0,0.0,0.0,0.46,0.32,0.56,0.56,0.06,0.11,0.47,0.27,0.37,0.39,0.71,0.39,0.53,0.16,0.38,0.56,0.32,0.42,0.43,0.22,0.13,0.36,0.19,0.19,0.42,0.56,0.58,0.59,0.57,0.51,0.0,0.04,0.25,0.42,0.58,0.47,0.53,0.42,0.58,0.47,0.53,DET,1.53,1.51,17.89,627.2,233.32,33.43,63.53,96.97,49.13,24.64,8.24,49.43,64.29,198.25,87.59,69.46,51.61,24.24,233.32,96.97,49.13,8.24,24.64,49.43,0.43,0.75,0.0,7.92,3.25,1.69,0.27,0.88,1.68,0.53,0.31,0.0,1.91,0.3,9.3,3.84,0.94,1.93,0.44,0.74,30.0,24.45,73.05,0.36,0.62,58.4,0.0,9.35,76.82,0.36,242.5,107.85,86.31,64.24,758.47,41.53,286.22,118.35,28.21,24.45,6.29,58.4,9.35,286.22,118.35,28.21,58.99,58.99
3,0,0.76,0,0.0,0.0,0.0,0.33,0.26,0.34,0.3,0.27,0.26,0.42,0.23,0.32,0.31,0.51,0.27,0.44,0.14,0.27,0.47,0.23,0.36,0.33,0.19,0.08,0.16,0.3,0.2,0.25,0.33,0.48,0.44,0.38,0.43,0.0,0.17,0.25,0.31,0.69,0.38,0.62,0.31,0.69,0.35,0.65,DET,1.53,1.51,16.72,616.18,212.76,31.23,61.33,92.56,45.53,22.07,8.15,47.42,58.48,188.81,79.36,57.08,43.11,32.54,212.76,92.56,45.53,8.15,22.07,47.42,0.41,0.75,0.0,7.42,3.27,1.57,0.28,0.79,1.66,0.54,0.36,0.0,1.56,0.29,7.78,3.59,0.78,1.72,0.41,0.72,27.27,15.69,61.57,0.41,0.56,45.69,0.0,8.21,66.36,0.35,201.24,83.25,63.15,46.54,639.91,34.15,223.35,100.52,22.45,31.24,10.31,45.69,8.21,223.39,100.52,22.45,49.05,49.05
4,0,0.88,1,0.0,0.0,0.0,0.29,0.25,0.38,0.37,0.24,0.26,0.49,0.35,0.44,0.3,0.47,0.17,0.51,0.29,0.24,0.43,0.28,0.37,0.33,0.23,0.19,0.21,0.29,0.21,0.26,0.37,0.51,0.32,0.44,0.41,0.0,0.13,0.22,0.26,0.74,0.39,0.61,0.2,0.8,0.29,0.71,DET,1.53,1.51,16.28,592.49,204.63,31.69,63.58,95.27,44.65,20.23,9.85,47.46,55.01,180.12,74.64,60.49,45.06,32.32,204.63,95.27,44.65,9.85,20.23,47.46,0.4,0.72,0.0,7.52,3.53,1.67,0.35,0.77,1.77,0.55,0.4,0.0,1.83,0.57,8.25,3.75,0.94,2.04,0.4,0.7,28.01,18.97,64.41,0.41,0.6,50.34,0.0,16.92,72.24,0.37,206.27,84.42,75.44,55.09,692.75,37.2,238.25,109.43,25.67,47.71,14.33,50.83,17.13,242.08,110.79,26.08,57.66,57.27
5,0,0.53,1,0.4,0.4,0.4,0.38,0.29,0.57,0.62,0.26,0.24,0.55,0.53,0.6,0.39,0.45,0.27,0.66,0.42,0.37,0.49,0.44,0.32,0.29,0.28,0.31,0.4,0.28,0.27,0.31,0.62,0.6,0.36,0.44,0.44,0.4,0.4,0.28,0.48,0.52,0.53,0.47,0.46,0.54,0.5,0.5,DET,2.4,0.8,18.7,670.28,244.02,36.04,78.11,114.15,52.94,24.13,13.57,55.24,60.31,201.99,87.68,78.01,56.95,33.64,272.69,128.19,60.0,15.56,26.56,60.25,0.41,0.71,0.11,9.11,4.32,2.02,0.51,0.91,2.04,0.57,0.43,0.8,2.15,0.68,10.14,5.33,1.06,2.22,0.41,0.71,30.15,21.87,69.58,0.45,0.63,57.7,0.19,18.3,100.46,0.41,230.29,99.53,91.81,65.69,775.63,43.32,276.9,143.78,28.71,35.85,12.15,65.87,21.06,316.15,166.89,31.94,68.26,61.66
6,0,0.45,1,0.43,0.27,0.27,0.41,0.35,0.61,0.68,0.17,0.16,0.62,0.55,0.64,0.46,0.48,0.34,0.59,0.47,0.38,0.48,0.45,0.34,0.31,0.35,0.37,0.38,0.33,0.3,0.35,0.68,0.61,0.37,0.44,0.45,0.6,0.5,0.36,0.49,0.51,0.5,0.5,0.52,0.48,0.52,0.48,DET,1.93,1.2,19.5,697.71,254.64,39.11,81.66,120.76,57.15,26.71,14.94,55.29,63.55,214.85,92.16,83.36,60.21,30.17,281.33,133.58,63.49,16.81,29.29,60.0,0.41,0.7,0.07,9.19,4.42,2.09,0.54,0.98,2.0,0.58,0.44,0.53,2.17,0.56,10.61,4.5,1.03,2.01,0.42,0.71,29.46,23.04,71.9,0.46,0.64,61.26,0.06,15.61,87.6,0.85,247.6,106.61,99.13,72.77,786.74,39.5,303.03,127.11,29.08,48.21,17.05,66.77,17.36,328.73,139.53,31.31,62.05,57.63
7,0,0.44,1,0.45,0.19,0.19,0.41,0.38,0.58,0.69,0.14,0.13,0.67,0.59,0.69,0.41,0.6,0.32,0.62,0.51,0.36,0.42,0.4,0.43,0.4,0.34,0.36,0.28,0.37,0.29,0.33,0.73,0.58,0.41,0.45,0.44,0.71,0.6,0.4,0.48,0.52,0.56,0.44,0.44,0.56,0.53,0.47,DET,1.38,1.43,18.52,665.68,238.76,37.44,78.26,115.7,52.6,24.96,14.61,52.91,62.78,205.15,86.71,78.84,56.04,28.04,261.47,126.61,57.77,16.17,27.14,56.95,0.4,0.7,0.05,8.85,4.3,1.98,0.53,0.93,1.96,0.58,0.44,0.38,2.09,0.63,10.53,4.6,1.05,2.19,0.4,0.7,27.51,21.55,72.35,0.46,0.66,54.71,0.04,16.85,84.53,1.13,241.21,101.04,91.52,65.02,745.41,40.0,283.3,124.53,28.34,47.66,16.19,59.67,18.47,307.99,135.5,30.54,62.57,58.45
8,0,0.33,1,0.64,0.43,0.43,0.45,0.46,0.61,0.71,0.19,0.18,0.72,0.69,0.79,0.48,0.65,0.28,0.62,0.52,0.41,0.41,0.45,0.47,0.44,0.37,0.43,0.29,0.42,0.33,0.32,0.78,0.56,0.42,0.4,0.45,0.86,0.66,0.45,0.57,0.43,0.64,0.36,0.5,0.5,0.6,0.4,DET,3.05,2.0,19.77,699.36,255.55,39.54,85.4,124.94,57.05,24.74,15.0,54.01,66.54,219.06,92.41,82.18,59.43,33.65,298.81,144.96,66.77,17.35,28.38,62.03,0.4,0.71,0.12,9.77,4.76,2.23,0.56,0.96,2.1,0.58,0.46,0.86,2.55,0.44,10.83,4.8,1.06,2.24,0.4,0.71,28.38,21.44,69.94,0.47,0.64,68.37,0.09,11.53,86.3,0.78,238.68,99.32,99.07,72.14,749.35,40.32,287.0,126.62,28.66,48.26,16.23,77.09,13.1,327.45,145.25,31.97,66.91,59.61
9,0,0.2,1,0.79,0.62,0.48,0.53,0.55,0.68,0.75,0.25,0.24,0.72,0.81,0.88,0.52,0.69,0.26,0.64,0.49,0.49,0.44,0.52,0.52,0.49,0.44,0.51,0.28,0.47,0.37,0.39,0.86,0.55,0.46,0.38,0.5,0.95,0.71,0.49,0.65,0.35,0.67,0.33,0.61,0.39,0.67,0.33,DET,4.1,3.0,19.36,700.48,264.85,38.13,87.41,125.54,58.89,24.69,13.68,53.66,65.82,225.24,95.42,82.86,60.97,38.44,324.49,154.18,71.94,16.4,28.98,64.45,0.4,0.71,0.16,10.82,5.43,2.38,0.56,1.0,2.27,0.6,0.47,1.24,2.02,0.53,11.08,5.49,1.05,2.05,0.42,0.74,28.93,18.36,68.54,0.46,0.62,52.31,0.14,13.48,91.69,0.68,240.29,102.51,84.0,62.21,723.31,43.1,281.84,134.79,27.3,44.06,14.62,61.57,15.64,330.39,159.72,30.99,60.05,51.93
10,0,0.12,1,0.88,0.76,0.64,0.59,0.63,0.68,0.73,0.33,0.31,0.74,0.82,0.9,0.59,0.73,0.32,0.57,0.45,0.55,0.45,0.53,0.57,0.54,0.5,0.57,0.28,0.5,0.39,0.41,0.89,0.45,0.54,0.37,0.53,1.0,0.74,0.51,0.68,0.32,0.73,0.27,0.61,0.39,0.74,0.26,DET,5.14,2.9,17.91,662.96,256.18,35.6,81.8,117.4,57.94,23.97,12.03,48.88,62.62,217.97,92.5,76.54,56.92,41.23,319.4,146.69,71.2,14.81,28.76,60.06,0.4,0.72,0.15,11.19,5.55,2.47,0.56,1.02,2.2,0.58,0.46,1.24,2.39,0.51,11.08,5.32,1.15,2.07,0.43,0.76,29.19,18.01,67.15,0.45,0.61,60.98,0.12,11.39,86.7,0.5,227.66,96.39,79.05,60.1,723.63,37.87,271.86,124.57,30.02,53.82,18.98,71.25,13.73,325.02,149.14,34.31,60.5,51.89
11,1,0.16,0,0.93,0.71,0.48,0.63,0.67,0.66,0.68,0.37,0.35,0.71,0.82,0.89,0.61,0.8,0.34,0.56,0.37,0.58,0.48,0.54,0.67,0.62,0.54,0.61,0.27,0.53,0.4,0.43,0.85,0.46,0.56,0.34,0.58,1.0,0.79,0.48,0.64,0.36,0.71,0.29,0.57,0.43,0.68,0.32,DET,4.71,2.71,17.06,638.44,248.24,33.36,78.08,111.44,55.88,22.92,10.31,46.62,61.88,212.65,90.33,70.24,52.67,42.61,304.96,137.09,67.6,12.73,27.47,57.21,0.4,0.7,0.11,10.76,5.17,2.38,0.5,1.0,2.12,0.58,0.44,0.9,2.09,0.22,9.22,3.62,1.0,1.75,0.39,0.77,27.48,15.8,51.8,0.26,0.54,54.01,0.1,6.12,70.45,0.09,218.99,89.72,66.6,52.96,605.52,24.09,250.78,94.54,26.26,58.27,18.37,57.47,6.34,269.62,100.55,27.91,48.42,45.47
2,1,0.14,1,1.0,1.0,1.0,0.51,0.21,0.56,0.4,0.5,0.48,0.15,0.48,0.39,0.35,0.26,0.52,0.14,0.27,0.49,0.28,0.29,0.12,0.13,0.16,0.23,0.13,0.12,0.06,0.29,0.46,0.24,0.35,0.1,0.22,0.0,0.12,0.69,0.96,0.04,0.87,0.13,1.0,0.0,0.88,0.12,HOU,6.0,0.0,21.93,777.6,332.14,32.32,88.64,120.97,64.21,36.22,12.84,54.36,59.52,251.88,119.99,83.28,69.28,63.69,393.02,143.83,74.08,14.2,43.13,63.83,0.46,0.8,0.46,12.77,4.72,2.4,0.47,1.4,2.08,0.64,0.39,3.0,1.28,0.45,9.56,5.25,1.08,1.71,0.46,0.79,28.88,22.1,64.99,0.45,0.6,33.27,0.28,11.56,92.44,0.43,199.93,94.11,60.9,49.52,732.79,41.66,255.67,134.1,28.05,50.09,17.94,39.65,13.76,295.63,161.75,33.22,52.72,43.92
3,1,0.33,1,0.67,0.33,0.33,0.31,0.22,0.35,0.25,0.4,0.42,0.39,0.45,0.47,0.2,0.17,0.4,0.13,0.23,0.28,0.21,0.25,0.11,0.13,0.26,0.29,0.16,0.25,0.16,0.24,0.22,0.31,0.23,0.28,0.19,0.0,0.09,0.64,0.74,0.26,0.73,0.27,0.72,0.28,0.72,0.28,HOU,2.0,1.33,21.35,773.03,296.72,37.49,85.42,122.9,57.98,33.43,11.33,52.85,58.69,254.33,107.44,74.73,61.51,60.68,327.29,136.09,63.48,12.28,36.43,58.43,0.41,0.75,0.27,10.58,4.42,2.04,0.4,1.17,1.89,0.63,0.36,1.67,2.32,0.43,10.88,4.39,1.52,2.01,0.41,0.74,30.35,23.71,62.24,0.35,0.67,67.58,0.25,12.81,89.15,0.41,262.05,112.14,79.1,63.48,836.35,34.87,310.83,124.02,44.23,67.33,23.07,72.6,13.55,339.05,136.75,47.66,62.43,57.62
4,1,0.24,1,0.58,0.17,0.17,0.27,0.14,0.35,0.26,0.3,0.31,0.33,0.43,0.44,0.2,0.09,0.4,0.17,0.32,0.23,0.15,0.24,0.06,0.07,0.28,0.34,0.2,0.25,0.18,0.22,0.25,0.37,0.26,0.14,0.13,0.0,0.07,0.64,0.79,0.21,0.8,0.2,0.74,0.26,0.77,0.23,HOU,1.5,1.67,20.1,731.28,272.66,34.71,80.9,115.61,53.92,31.7,11.84,50.54,51.75,233.54,99.21,70.94,57.96,49.14,300.62,127.78,58.95,13.11,34.95,54.9,0.4,0.72,0.21,9.87,4.3,1.97,0.45,1.18,1.86,0.62,0.34,1.33,3.06,0.47,14.05,4.72,1.43,2.4,0.42,0.82,30.95,26.7,60.8,0.35,0.75,85.28,0.37,13.11,93.53,0.09,314.58,136.07,107.46,89.53,926.14,37.4,385.98,130.93,39.6,71.0,24.3,95.25,14.59,436.39,146.42,44.55,74.46,67.28
5,1,0.2,0,0.55,0.1,0.1,0.31,0.18,0.38,0.28,0.28,0.28,0.24,0.49,0.45,0.22,0.08,0.33,0.17,0.36,0.27,0.24,0.3,0.04,0.05,0.32,0.37,0.19,0.3,0.21,0.3,0.31,0.3,0.22,0.23,0.19,0.4,0.31,0.57,0.72,0.28,0.81,0.19,0.6,0.4,0.7,0.3,HOU,1.3,1.8,20.37,744.32,270.01,32.13,83.34,115.47,54.07,30.2,13.14,49.74,51.71,231.01,98.79,70.32,57.1,46.34,296.54,127.46,58.93,14.53,33.2,53.85,0.41,0.74,0.23,10.46,4.33,2.2,0.5,1.14,1.96,0.66,0.33,1.6,1.91,0.53,10.08,4.17,1.1,1.87,0.41,0.75,28.44,18.96,54.96,0.3,0.6,52.98,0.23,15.07,80.74,0.2,242.49,102.23,75.53,58.62,722.52,34.23,281.32,114.98,30.58,55.29,18.23,57.82,16.57,306.76,126.72,33.43,55.96,52.26
6,1,0.37,1,0.37,0.07,0.07,0.31,0.2,0.38,0.31,0.28,0.27,0.27,0.49,0.45,0.22,0.14,0.32,0.23,0.34,0.27,0.29,0.32,0.08,0.09,0.32,0.33,0.25,0.34,0.26,0.37,0.37,0.34,0.25,0.3,0.24,0.6,0.45,0.51,0.6,0.4,0.7,0.3,0.48,0.52,0.56,0.44,HOU,0.87,1.2,19.95,735.49,263.24,32.0,81.84,113.84,52.16,28.63,12.83,49.58,52.73,227.65,96.5,69.8,55.24,44.62,280.93,121.83,55.4,13.75,30.63,52.31,0.4,0.74,0.15,9.86,4.15,2.0,0.47,1.05,1.87,0.64,0.31,1.07,2.35,0.46,11.29,4.85,1.25,2.18,0.41,0.75,28.7,23.5,64.45,0.37,0.72,67.2,0.14,12.92,94.13,0.38,275.75,117.78,87.24,67.29,851.55,40.67,317.14,134.8,35.14,42.09,14.29,70.89,13.8,338.92,144.18,37.69,64.19,60.42
7,1,0.35,1,0.55,0.19,0.05,0.35,0.21,0.44,0.37,0.2,0.2,0.24,0.45,0.42,0.23,0.2,0.32,0.18,0.32,0.29,0.33,0.31,0.13,0.13,0.31,0.31,0.19,0.33,0.23,0.41,0.44,0.24,0.28,0.3,0.28,0.71,0.54,0.46,0.59,0.41,0.68,0.32,0.5,0.5,0.54,0.46,HOU,1.19,1.71,19.95,727.22,260.4,30.11,77.83,107.94,52.18,28.12,12.42,47.48,53.89,222.05,95.66,71.54,56.46,37.95,284.41,118.04,56.72,13.45,30.58,51.62,0.41,0.75,0.15,9.98,4.07,2.07,0.46,1.06,1.86,0.64,0.3,1.05,2.41,0.48,10.27,4.4,1.14,2.05,0.42,0.74,28.36,19.96,63.94,0.38,0.65,64.32,0.13,12.95,82.97,0.52,238.88,102.71,78.15,59.15,754.09,34.73,275.38,117.7,30.35,32.05,10.82,69.91,13.99,302.32,128.93,33.16,59.05,54.13
8,1,0.34,0,0.52,0.12,0.0,0.42,0.29,0.44,0.42,0.26,0.25,0.25,0.53,0.48,0.3,0.28,0.32,0.33,0.27,0.36,0.42,0.4,0.19,0.2,0.3,0.34,0.25,0.41,0.31,0.44,0.53,0.36,0.34,0.26,0.36,0.86,0.66,0.41,0.56,0.44,0.67,0.33,0.44,0.56,0.52,0.48,HOU,0.71,1.86,19.32,704.8,255.12,28.45,77.06,105.51,52.51,26.66,11.28,47.9,53.2,216.78,94.0,69.39,53.64,39.38,275.38,113.76,56.38,12.3,28.5,51.48,0.42,0.76,0.2,9.98,4.06,2.1,0.42,1.01,1.92,0.64,0.29,1.52,1.85,0.48,10.34,4.43,1.01,1.87,0.44,0.75,28.25,16.83,60.72,0.34,0.59,49.53,0.17,12.6,83.05,0.58,231.6,102.47,73.8,55.85,685.43,33.87,273.21,116.92,27.32,37.6,12.42,54.21,14.0,298.4,127.6,29.8,53.64,49.45
9,1,0.41,0,0.38,0.1,0.0,0.47,0.38,0.51,0.49,0.27,0.25,0.35,0.55,0.54,0.39,0.38,0.38,0.53,0.27,0.42,0.5,0.46,0.35,0.32,0.37,0.41,0.3,0.42,0.34,0.53,0.57,0.47,0.45,0.37,0.47,0.95,0.7,0.39,0.49,0.51,0.58,0.42,0.41,0.59,0.49,0.51,HOU,0.52,1.33,18.21,663.11,244.41,28.13,73.6,101.74,50.99,25.25,10.55,48.22,52.53,206.02,89.75,67.11,52.16,36.47,258.98,107.53,53.76,11.27,26.54,50.81,0.42,0.78,0.15,9.57,3.98,2.13,0.39,1.0,1.99,0.63,0.3,1.14,1.99,0.41,10.07,4.19,0.94,2.0,0.42,0.75,28.49,18.89,67.67,0.3,0.6,54.35,0.05,11.14,80.38,0.59,227.91,98.14,75.03,57.18,690.66,34.69,269.47,115.07,25.56,45.98,16.01,58.46,12.05,289.57,123.23,27.59,58.54,54.95
2,0,0.86,0,0.0,0.0,0.0,0.31,0.13,0.28,0.24,0.59,0.53,0.2,0.28,0.27,0.38,0.53,0.45,0.48,0.41,0.29,0.41,0.21,0.48,0.46,0.09,0.1,0.3,0.17,0.16,0.47,0.31,0.47,0.33,0.03,0.4,0.0,0.04,0.61,0.22,0.78,0.27,0.73,0.25,0.75,0.29,0.71,IND,1.53,1.51,18.2,662.59,234.94,27.52,68.11,95.62,50.06,29.63,11.98,49.14,62.49,193.36,84.14,57.45,43.82,60.93,234.94,95.62,50.06,11.98,29.63,49.14,0.42,0.7,0.0,7.68,3.2,1.68,0.4,0.96,1.68,0.55,0.33,0.0,1.71,0.3,7.82,3.27,1.07,1.65,0.41,0.74,29.21,17.71,65.45,0.33,0.58,51.84,0.0,8.65,68.67,0.94,200.73,83.0,56.6,43.17,695.04,28.57,235.8,97.24,33.21,71.86,26.63,51.95,8.68,236.37,97.65,33.21,49.5,49.44
3,0,0.76,1,0.0,0.0,0.0,0.26,0.12,0.37,0.28,0.48,0.45,0.21,0.28,0.27,0.28,0.45,0.35,0.4,0.38,0.26,0.43,0.23,0.32,0.34,0.16,0.11,0.25,0.22,0.17,0.56,0.32,0.42,0.31,0.35,0.38,0.0,0.09,0.47,0.24,0.76,0.36,0.64,0.2,0.8,0.29,0.71,IND,1.53,1.51,16.61,609.6,208.73,25.84,60.88,86.73,45.92,25.97,10.36,46.15,56.7,173.18,73.61,55.89,44.22,47.59,208.73,86.73,45.92,10.36,25.97,46.15,0.41,0.77,0.0,7.22,3.08,1.57,0.37,0.87,1.62,0.53,0.31,0.0,1.59,0.23,7.02,2.67,0.88,1.61,0.4,0.79,27.82,18.1,57.47,0.24,0.53,44.59,0.0,6.51,51.75,0.75,171.56,70.88,54.94,42.59,620.65,23.53,203.64,75.27,24.73,56.81,19.3,45.96,6.53,206.35,76.46,25.11,46.33,45.55
