year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,min,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,W_post,L_post,GS_weighted_mean,minutes_weighted_mean,points_weighted_mean,oRebounds_weighted_mean,dRebounds_weighted_mean,rebounds_weighted_mean,assists_weighted_mean,steals_weighted_mean,blocks_weighted_mean,turnovers_weighted_mean,PF_weighted_mean,fgAttempted_weighted_mean,fgMade_weighted_mean,ftAttempted_weighted_mean,ftMade_weighted_mean,threeAttempted_weighted_mean,PostGP_weighted_mean,PostGS_weighted_mean,PostMinutes_weighted_mean,PostPoints_weighted_mean,PostoRebounds_weighted_mean,PostdRebounds_weighted_mean,PostRebounds_weighted_mean,PostAssists_weighted_mean,PostSteals_weighted_mean,PostTurnovers_weighted_mean,PostPF_weighted_mean,PostfgAttempted_weighted_mean,PostfgMade_weighted_mean,PostftAttempted_weighted_mean,PostftMade_weighted_mean,PostthreeAttempted_weighted_mean,total_points_weighted_mean,total_rebounds_weighted_mean,total_assists_weighted_mean,total_steals_weighted_mean,total_turnovers_weighted_mean,Avg_Points_Per_Game_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Avg_Steals_Per_Game_weighted_mean,Avg_Turnovers_Per_Game_weighted_mean,num_trophies,Avg_Assists_Per_Game,Avg_Blocks_Per_Game,Avg_Points_Per_Game,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,Durability_Ratio,FG%,FT%,GP_10,GS,PF,POSITION_METRIC,Points_Ratio,PostAssists,PostBlocks,PostDQ,PostGP,PostGS,PostMinutes,PostPF,PostPoints,PostRebounds,PostSteals,PostTurnovers,PostdRebounds,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostoRebounds,PostthreeAttempted,PostthreeMade,assists,blocks,dRebounds,dq,fgAttempted,fgMade,ftAttempted,ftMade,minutes,oRebounds,points,rebounds,steals,threeAttempted,threeMade,total_assists,total_blocks,total_points,total_rebounds,total_steals,total_turnovers,turnovers
9,0,0.46,0,0.33,0.26,0.18,0.39,0.32,0.41,0.4,0.4,0.4,0.4,0.43,0.46,0.41,0.54,0.39,0.4,0.38,0.35,0.4,0.34,0.4,0.39,0.29,0.28,0.33,0.37,0.31,0.42,0.44,0.42,0.42,0.36,0.41,0.49,0.42,0.43,0.5,0.5,0.58,0.42,0.44,0.56,0.5,0.5,ATL,1.48,1.45,19.2,693.32,251.97,33.05,74.76,107.81,55.73,27.71,12.74,49.99,63.64,214.2,91.49,69.1,52.4,48.25,2.21,1.6,59.46,21.02,2.75,6.47,9.21,4.8,2.15,3.82,5.2,18.24,7.68,5.39,4.16,4.3,272.99,117.02,60.53,29.87,53.81,9.2,2.05,0.47,1.02,1.85,0.54,1.3,0.26,6.29,2.92,0.67,1.41,0.39,0.41,0.7,27.96,10.66,52.03,0.3,0.09,3.62,0.94,0.03,2.83,0.66,44.18,4.53,14.82,5.34,1.44,2.89,4.13,13.31,5.21,4.25,2.98,1.21,4.36,1.42,36.67,6.52,57.88,0.21,162.09,66.35,37.22,27.58,530.63,24.71,176.9,82.59,19.1,47.26,16.63,40.29,7.46,191.73,87.93,20.54,41.87,38.98
10,0,0.86,1,0.33,0.26,0.18,0.52,0.69,0.62,0.62,0.63,0.66,0.47,0.51,0.55,0.35,1.0,0.53,0.81,0.52,0.53,0.81,0.64,0.96,0.97,0.4,0.42,0.75,0.79,0.76,1.0,0.78,0.75,0.66,0.47,0.88,1.0,0.68,0.42,0.0,1.0,0.0,1.0,0.16,0.84,0.0,1.0,ATL,1.48,1.45,14.85,535.84,208.26,23.39,54.87,78.26,41.93,23.73,8.89,42.82,57.1,187.92,73.11,56.29,42.96,55.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.26,78.26,41.93,23.73,42.82,7.72,1.46,0.51,0.95,1.6,0.0,2.1,0.44,9.27,4.4,0.98,1.93,0.51,0.43,0.71,29.61,19.17,70.73,0.38,0.04,2.97,0.36,0.01,1.25,0.72,27.23,2.58,9.11,3.83,0.93,2.16,2.94,8.02,3.18,2.79,2.08,0.9,2.68,0.67,60.47,11.98,84.02,0.75,223.52,94.57,77.17,55.12,699.7,39.59,259.52,123.62,27.49,44.01,15.26,63.44,12.35,268.63,127.45,28.43,55.14,52.98
11,0,0.38,1,0.0,0.26,0.18,0.78,0.85,0.68,0.67,0.37,0.41,0.67,0.71,0.78,0.47,0.89,0.68,0.8,0.42,0.7,0.79,0.72,0.86,0.82,0.43,0.46,0.57,0.71,0.64,0.84,0.71,0.92,0.76,0.46,0.83,1.0,0.81,0.35,0.36,0.64,0.46,0.54,0.31,0.69,0.29,0.71,ATL,0.0,1.33,16.58,597.47,250.15,32.57,71.67,104.24,46.62,28.52,10.58,48.69,62.96,215.66,94.01,64.56,48.87,40.95,1.0,0.66,22.82,10.01,1.21,2.43,3.64,1.92,0.88,2.59,2.78,7.84,3.5,3.45,2.31,1.66,260.16,107.88,48.54,29.41,51.28,8.81,1.74,0.42,1.04,1.78,0.67,1.87,0.4,7.67,3.5,0.98,1.58,0.44,0.43,0.72,29.04,13.89,56.51,0.33,0.05,2.19,0.13,0.0,1.18,0.67,25.3,2.72,10.52,3.45,0.96,3.02,2.67,9.11,4.04,2.18,1.51,0.79,2.31,0.93,56.14,10.32,68.42,0.6,193.02,85.58,58.83,42.26,610.16,31.2,225.12,99.62,28.72,37.36,11.7,58.33,10.45,235.64,103.07,29.68,48.35,45.33
2,0,1.0,1,0.33,0.26,0.18,0.34,0.22,0.29,0.26,0.31,0.3,0.3,0.24,0.27,0.55,0.75,0.19,0.38,0.18,0.27,0.5,0.28,0.56,0.56,0.23,0.24,0.33,0.26,0.23,0.7,0.24,0.41,0.14,0.39,0.52,0.0,0.12,0.16,0.17,0.82,0.27,0.73,0.17,0.83,0.17,0.83,CHA,1.48,1.45,17.61,656.34,234.5,28.44,62.48,90.92,64.14,23.74,9.37,48.92,64.74,200.97,86.56,60.87,46.42,43.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.5,90.92,64.14,23.74,48.92,8.58,2.19,0.31,0.85,1.75,0.0,2.59,0.28,9.4,3.04,1.01,1.89,0.55,0.41,0.77,28.8,18.32,67.59,0.35,0.02,1.36,0.15,0.0,1.06,0.45,18.32,2.58,4.76,2.79,0.83,1.07,1.81,5.07,1.51,1.65,1.05,0.98,2.97,0.69,78.41,8.36,58.52,0.76,224.59,92.4,71.82,55.91,740.98,24.6,263.29,83.12,28.93,69.67,22.57,79.77,8.51,268.05,85.91,29.76,56.16,55.09
3,0,0.62,1,0.67,0.67,0.0,0.25,0.11,0.25,0.18,0.38,0.35,0.31,0.25,0.29,0.36,0.53,0.17,0.32,0.28,0.21,0.27,0.22,0.38,0.35,0.15,0.16,0.4,0.09,0.12,0.36,0.19,0.4,0.19,0.39,0.29,0.0,0.15,0.21,0.45,0.55,0.54,0.46,0.39,0.61,0.57,0.43,CHA,2.67,2.67,19.51,717.26,239.93,30.96,66.79,97.75,61.73,25.37,11.0,51.94,63.87,207.6,87.92,58.42,45.71,51.71,4.94,3.47,129.08,37.91,4.88,11.73,16.61,9.84,4.12,8.65,10.77,35.47,14.31,7.2,5.74,9.23,277.83,114.36,71.58,29.49,60.59,9.35,2.35,0.44,0.99,2.06,0.0,2.33,0.49,9.16,3.67,0.95,2.04,0.58,0.4,0.77,28.38,19.09,62.05,0.33,0.14,9.41,2.44,0.0,4.7,3.61,122.09,11.03,36.75,15.9,3.81,8.31,11.21,34.14,13.73,7.42,5.86,4.69,9.11,3.42,61.06,12.09,61.11,0.65,200.66,83.26,60.2,46.8,702.48,31.07,231.81,92.18,24.74,53.03,18.49,70.47,14.54,268.56,108.08,28.55,60.02,51.71
4,0,0.38,1,0.33,0.33,0.0,0.25,0.09,0.36,0.33,0.53,0.44,0.3,0.27,0.3,0.36,0.54,0.23,0.16,0.28,0.26,0.27,0.18,0.35,0.33,0.18,0.14,0.28,0.11,0.1,0.35,0.23,0.24,0.16,0.31,0.28,0.0,0.11,0.23,0.52,0.48,0.6,0.4,0.45,0.55,0.58,0.42,CHA,1.33,2.33,20.55,723.18,249.72,30.68,68.32,98.99,61.09,26.37,10.73,47.75,65.56,206.49,88.14,67.15,51.03,58.5,3.36,2.41,87.85,25.5,3.6,8.27,11.87,6.81,3.03,5.81,6.95,24.9,9.79,4.78,3.45,7.34,275.22,110.87,67.9,29.4,53.56,9.11,2.22,0.41,0.97,1.77,0.0,2.29,0.42,9.32,3.8,1.05,1.78,0.58,0.41,0.78,29.3,21.24,66.4,0.33,0.09,6.85,1.46,0.0,3.25,2.62,87.42,7.32,26.25,12.13,3.3,5.88,8.31,25.21,9.96,5.32,3.89,3.83,7.41,2.44,64.16,10.97,69.35,0.65,212.93,91.13,70.11,53.55,756.23,33.11,258.37,102.47,28.96,59.26,22.57,71.01,12.43,284.63,114.6,32.26,55.15,49.27
5,0,0.29,0,0.2,0.2,0.0,0.27,0.13,0.36,0.31,0.54,0.48,0.37,0.26,0.32,0.36,0.6,0.34,0.25,0.3,0.27,0.28,0.21,0.38,0.38,0.2,0.17,0.43,0.12,0.17,0.35,0.25,0.32,0.22,0.29,0.3,0.4,0.36,0.26,0.53,0.47,0.66,0.34,0.39,0.61,0.54,0.46,CHA,0.8,2.2,21.12,741.04,251.69,32.2,68.08,100.28,61.23,28.77,10.94,49.92,68.07,210.15,88.78,66.88,51.25,61.37,2.81,1.96,70.51,21.25,3.01,6.37,9.38,5.29,2.43,4.44,5.92,20.2,7.9,4.35,3.26,6.08,272.94,109.67,66.52,31.2,54.36,8.75,2.11,0.39,1.0,1.74,0.0,2.29,0.45,8.7,3.83,1.05,1.89,0.57,0.41,0.76,31.29,24.42,78.09,0.29,0.07,5.25,1.12,0.0,2.59,2.14,69.63,5.95,20.04,9.64,2.31,4.81,6.55,19.56,7.48,4.04,3.05,3.09,5.83,2.03,68.31,13.01,76.67,0.76,218.63,92.09,70.96,54.17,810.21,35.45,258.78,112.12,31.52,57.23,20.43,73.56,14.13,278.82,121.75,33.83,60.52,55.71
6,0,0.38,0,0.13,0.13,0.0,0.25,0.09,0.34,0.31,0.52,0.46,0.27,0.24,0.26,0.28,0.58,0.27,0.27,0.36,0.25,0.29,0.23,0.35,0.35,0.2,0.14,0.48,0.14,0.19,0.38,0.25,0.32,0.21,0.3,0.3,0.6,0.5,0.27,0.51,0.49,0.63,0.37,0.39,0.61,0.49,0.51,CHA,0.53,1.47,21.33,745.93,245.38,30.27,66.96,97.22,57.95,26.86,12.06,49.52,67.66,203.31,86.46,67.2,51.15,57.43,1.88,1.31,47.01,14.17,2.01,4.25,6.26,3.52,1.62,2.96,3.94,13.47,5.27,2.9,2.17,4.05,259.54,103.48,61.47,28.48,52.48,8.19,1.92,0.41,0.9,1.66,0.0,2.19,0.48,9.31,3.93,1.06,1.93,0.57,0.4,0.74,31.16,24.44,74.03,0.38,0.06,4.89,1.03,0.02,2.2,1.83,61.58,5.29,19.66,9.55,2.59,4.92,6.66,20.25,7.51,4.55,3.24,2.89,4.51,1.4,66.6,14.39,77.55,0.59,251.13,104.23,74.92,57.01,831.26,39.35,282.65,116.9,31.67,52.21,17.17,71.49,15.42,302.31,126.45,34.25,62.36,57.44
7,0,0.48,0,0.1,0.1,0.0,0.25,0.13,0.34,0.33,0.42,0.37,0.29,0.22,0.26,0.3,0.64,0.34,0.35,0.35,0.24,0.33,0.23,0.39,0.41,0.19,0.11,0.48,0.2,0.24,0.37,0.31,0.36,0.31,0.37,0.34,0.71,0.61,0.25,0.38,0.62,0.52,0.48,0.28,0.72,0.38,0.62,CHA,0.38,1.05,19.92,702.28,228.98,28.74,62.67,91.41,53.86,26.07,11.27,48.16,65.32,193.92,81.63,63.55,47.88,48.3,1.34,0.93,33.58,10.12,1.43,3.03,4.47,2.52,1.16,2.11,2.82,9.62,3.76,2.07,1.55,2.9,239.1,95.88,56.37,27.23,50.28,7.86,1.87,0.38,0.89,1.66,0.0,1.74,0.58,9.2,4.01,1.06,1.86,0.56,0.39,0.74,30.66,24.42,78.41,0.34,0.05,3.83,1.04,0.02,1.86,1.57,50.93,4.69,16.36,8.77,2.18,3.81,6.18,17.21,6.35,3.58,2.62,2.59,3.65,1.03,50.85,17.38,79.88,0.89,249.22,101.93,75.57,56.36,795.96,38.23,276.83,118.11,31.77,50.87,16.61,54.68,18.43,293.19,126.88,33.96,59.14,55.34
7,0,0.46,0,0.33,0.26,0.18,0.39,0.32,0.41,0.4,0.4,0.4,0.4,0.43,0.46,0.41,0.54,0.39,0.4,0.38,0.35,0.4,0.34,0.4,0.39,0.29,0.28,0.33,0.37,0.31,0.42,0.44,0.42,0.42,0.36,0.41,0.49,0.42,0.43,0.5,0.5,0.58,0.42,0.44,0.56,0.5,0.5,CHI,1.48,1.45,19.2,693.32,251.97,33.05,74.76,107.81,55.73,27.71,12.74,49.99,63.64,214.2,91.49,69.1,52.4,48.25,2.21,1.6,59.46,21.02,2.75,6.47,9.21,4.8,2.15,3.82,5.2,18.24,7.68,5.39,4.16,4.3,272.99,117.02,60.53,29.87,53.81,9.2,2.05,0.47,1.02,1.85,0.54,1.67,0.3,5.49,2.47,0.74,1.35,0.43,0.39,0.65,29.1,16.43,64.69,0.26,0.09,3.85,0.36,0.04,2.4,1.74,52.39,5.51,13.28,5.88,1.22,3.09,4.16,11.44,4.71,4.47,3.02,1.72,2.7,0.85,47.3,8.97,44.2,0.53,145.23,57.22,39.84,27.64,585.01,26.04,156.04,70.24,20.81,42.81,13.97,51.15,9.33,169.32,76.12,22.03,41.13,38.04
