year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_9,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostGP,PostftAttempted,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
10,0,2.22,0,0.69,0.37,0.19,926.49,2155.47,497.42,654.93,529.04,342.58,805.82,1148.4,575.96,618.24,258.0,488.38,124.78,903.78,2173.31,605.33,155.11,465.69,348.58,1131.18,544.4,656.04,255.8,495.91,97.51,33.73,123215.58,0.61,0.39,0.68,0.32,0.54,0.46,0.61,0.39,4.0,3.58,0.81,1.69,0.41,0.75,31.75,18.58,68.55,0.35,0.73,0.02,3.4,7.6,5.9,0.55,0.0,1982.08,0.36,243.82,59.27,71.37,717.07,5.43,35.28,56.29,11.18,127.36,28.32,60.72,170.02,CON
11,0,2.89,0,0.57,0.3,0.16,941.62,2215.09,505.11,666.31,555.58,346.69,820.98,1167.67,588.84,629.38,254.44,482.02,126.09,918.89,2202.4,634.47,155.56,471.76,345.16,1166.22,541.29,663.36,253.56,505.58,102.47,33.87,122304.73,0.59,0.41,0.68,0.32,0.49,0.51,0.59,0.41,9.42,3.1,0.75,1.81,0.42,0.79,30.28,12.78,59.98,0.32,0.78,0.04,2.91,4.58,3.72,0.57,0.04,1981.57,0.47,253.34,49.49,70.67,697.92,5.8,30.24,70.7,10.86,102.16,24.73,59.02,165.72,CON
2,0,5.0,0,0.0,0.0,0.0,868.0,1980.0,519.0,699.0,273.0,341.0,644.0,985.0,503.0,701.0,260.0,530.0,88.0,905.0,1967.0,652.0,136.0,372.0,331.0,971.0,513.0,672.0,284.0,543.0,148.0,32.0,107289.0,0.44,0.56,0.5,0.5,0.38,0.62,0.48,0.52,5.0,3.95,0.94,1.97,0.44,0.75,30.6,25.2,75.13,0.35,0.0,0.0,0.0,0.0,0.0,0.63,0.0,1973.38,0.38,251.46,65.67,71.78,780.75,6.51,42.95,25.12,9.82,123.2,28.47,60.77,163.53,DET
3,0,6.33,0,0.0,0.0,0.0,805.33,1936.0,447.67,594.33,361.0,329.67,628.67,958.33,480.33,635.0,236.67,508.67,84.0,867.0,1880.33,606.0,130.0,350.67,296.33,977.67,463.0,618.0,269.33,503.0,122.0,32.0,108661.67,0.35,0.65,0.42,0.58,0.29,0.71,0.38,0.62,5.0,3.26,0.75,1.69,0.4,0.72,28.92,15.15,65.06,0.44,0.0,0.0,0.03,0.0,0.01,0.54,0.0,1976.52,0.41,207.11,46.96,71.3,651.17,8.35,36.71,23.59,9.77,98.64,22.52,51.05,169.91,DET
4,0,7.17,1,0.0,0.0,0.0,785.67,1927.5,459.83,622.67,362.5,344.83,673.83,1018.67,479.17,622.0,218.83,524.83,108.0,847.5,1932.17,605.5,138.0,398.83,305.17,980.33,464.0,627.5,273.17,473.0,130.5,32.0,101416.33,0.32,0.68,0.43,0.57,0.21,0.79,0.33,0.67,5.0,4.03,0.9,2.06,0.42,0.72,30.65,22.1,69.73,0.43,0.24,0.0,0.4,1.5,1.58,0.63,0.0,1976.65,0.43,241.54,64.99,72.15,785.66,8.17,42.75,54.43,19.59,127.1,28.38,64.45,161.38,DET
5,0,4.7,1,0.4,0.4,0.4,832.2,1958.1,525.5,726.4,346.7,358.5,744.7,1103.2,505.5,615.2,236.5,558.1,128.0,872.9,2073.7,585.7,147.2,455.7,339.1,1013.8,480.0,686.1,287.5,482.6,129.9,32.8,114308.6,0.48,0.52,0.56,0.44,0.41,0.59,0.5,0.5,5.0,4.88,0.95,2.04,0.42,0.71,31.69,23.05,74.58,0.47,3.05,0.0,4.24,13.35,4.91,0.64,0.2,1977.7,0.45,246.96,71.9,72.17,821.34,7.73,47.25,32.09,22.76,181.36,33.93,72.42,167.28,DET
6,0,4.13,1,0.43,0.27,0.27,846.13,2004.4,535.67,748.27,300.8,371.33,754.13,1125.47,525.0,626.13,250.0,543.07,134.67,868.6,2081.8,593.47,161.8,481.47,334.4,1027.53,491.67,700.07,288.0,487.07,130.27,33.2,129825.73,0.49,0.51,0.53,0.47,0.45,0.55,0.52,0.48,5.0,4.82,1.05,2.06,0.43,0.71,31.2,25.93,76.03,0.47,2.6,0.0,3.2,11.75,4.34,0.67,0.08,1977.02,0.71,262.39,75.88,72.05,851.98,7.78,47.98,34.16,22.32,171.25,36.88,71.94,166.98,DET
7,0,4.1,1,0.45,0.19,0.19,841.81,2020.29,528.05,755.62,282.86,382.95,768.1,1151.05,510.43,664.67,247.43,551.05,140.48,844.43,2042.71,639.33,159.57,474.19,316.86,1024.81,486.33,712.62,283.43,496.48,131.9,33.43,138262.95,0.48,0.52,0.58,0.42,0.39,0.61,0.53,0.47,5.0,4.39,1.02,2.11,0.41,0.71,31.0,24.54,82.36,0.48,1.71,0.1,2.4,7.82,4.54,0.68,0.04,1978.17,1.29,277.06,76.25,72.25,854.67,7.98,44.6,57.22,20.02,150.25,34.51,70.68,170.01,DET
8,0,3.57,1,0.59,0.39,0.39,861.11,2070.21,534.29,753.21,315.64,388.71,796.07,1184.79,525.82,676.25,238.82,547.54,139.61,843.32,2073.29,655.0,163.43,495.89,318.64,1039.61,483.25,717.71,281.32,498.86,125.93,33.57,143560.46,0.53,0.47,0.64,0.36,0.42,0.58,0.57,0.43,5.0,4.42,1.02,2.13,0.41,0.72,31.29,24.52,78.75,0.48,1.75,0.04,3.83,13.63,5.68,0.68,0.09,1977.75,0.83,275.85,84.69,71.54,858.18,8.37,44.68,58.76,14.41,160.79,36.21,75.47,169.19,DET
9,0,3.0,1,0.68,0.53,0.42,885.75,2112.61,547.78,760.28,343.72,386.78,826.06,1212.83,534.08,681.97,236.19,551.19,134.58,854.81,2115.22,669.0,172.22,521.25,316.5,1050.58,497.19,728.67,280.14,505.56,123.94,33.67,148488.81,0.57,0.43,0.66,0.34,0.49,0.51,0.6,0.4,5.0,4.48,0.99,1.93,0.42,0.73,31.29,21.08,76.6,0.49,2.3,0.14,5.24,14.8,9.73,0.65,0.15,1977.39,0.81,273.88,70.44,72.6,818.31,8.43,41.41,60.75,14.95,164.27,35.35,70.09,172.05,DET
10,0,2.6,1,0.74,0.62,0.53,903.4,2149.09,549.42,757.02,370.18,390.42,829.44,1219.87,548.07,690.38,244.56,540.16,131.27,858.24,2122.38,683.2,180.78,540.2,318.0,1057.47,501.76,735.33,269.91,518.84,122.96,33.73,151324.84,0.59,0.41,0.69,0.31,0.48,0.52,0.64,0.36,5.0,4.41,1.07,1.84,0.42,0.76,31.15,21.32,74.52,0.47,2.55,0.07,5.21,13.98,10.76,0.64,0.13,1978.26,0.65,260.39,65.74,72.5,813.19,7.77,41.05,66.53,15.82,161.81,38.2,66.82,167.35,DET
11,1,2.49,0,0.83,0.63,0.46,924.29,2187.82,550.64,754.22,387.51,389.38,843.04,1232.42,557.02,708.84,248.2,541.4,125.44,866.58,2147.13,714.27,188.87,562.93,318.24,1070.33,507.71,736.13,270.76,523.07,119.71,33.87,150704.62,0.59,0.41,0.69,0.31,0.48,0.52,0.62,0.38,9.42,3.4,0.95,1.66,0.4,0.77,28.08,15.66,54.19,0.26,0.24,0.03,1.98,5.35,5.81,0.54,0.12,1979.44,0.13,226.79,53.97,70.82,617.81,5.93,24.46,59.33,6.84,102.42,28.92,50.12,156.48,DET
2,1,2.0,1,1.0,1.0,1.0,891.0,1894.0,521.0,634.0,491.0,273.0,724.0,997.0,494.0,554.0,284.0,440.0,104.0,786.0,1938.0,508.0,124.0,418.0,290.0,902.0,473.0,648.0,233.0,480.0,85.0,32.0,196077.0,0.84,0.16,0.88,0.12,0.81,0.19,0.81,0.19,6.0,4.64,0.97,1.52,0.47,0.79,29.97,24.3,69.64,0.42,2.37,0.0,5.64,8.22,9.43,0.63,0.31,1971.65,0.47,217.67,52.58,73.08,790.25,6.83,44.72,54.43,14.88,174.87,35.89,57.04,178.51,HOU
3,1,3.33,1,0.67,0.33,0.33,795.0,1903.33,450.33,570.67,453.67,323.0,714.67,1037.67,448.67,524.0,262.0,437.33,98.0,755.33,1901.33,505.33,142.67,443.33,294.67,955.33,459.0,590.0,243.0,448.67,108.33,32.0,186102.33,0.68,0.32,0.75,0.25,0.6,0.4,0.68,0.32,6.0,4.75,1.31,1.92,0.44,0.77,30.06,23.62,63.38,0.38,0.84,0.0,3.48,9.6,7.46,0.68,0.41,1972.41,0.25,319.4,78.33,72.5,845.35,7.12,44.78,63.68,16.2,165.65,45.77,66.58,167.88,HOU
4,1,2.67,1,0.58,0.17,0.17,775.0,1840.67,451.67,577.83,392.83,311.0,708.33,1019.33,449.33,495.5,261.0,446.17,112.0,730.17,1890.67,478.67,146.83,466.17,301.83,964.17,452.5,598.0,252.5,456.33,89.67,32.0,187375.17,0.71,0.29,0.81,0.19,0.61,0.39,0.72,0.28,6.0,4.23,1.28,2.17,0.42,0.82,31.0,26.85,60.85,0.35,1.49,0.0,3.36,13.56,11.03,0.75,0.37,1972.5,0.09,315.39,89.76,71.89,929.61,7.03,37.38,70.92,14.66,146.8,44.92,74.53,162.09,HOU
5,1,2.4,0,0.55,0.1,0.1,796.2,1870.8,460.2,586.7,373.3,293.0,730.6,1023.6,455.6,493.3,249.0,447.7,118.8,767.7,1946.4,466.4,155.7,479.7,300.3,980.9,477.9,612.4,242.3,445.8,102.6,32.8,172506.3,0.66,0.34,0.82,0.18,0.51,0.49,0.67,0.33,6.0,3.97,1.05,1.81,0.41,0.75,29.38,20.13,57.66,0.31,1.58,0.0,2.62,6.98,6.01,0.63,0.26,1975.01,0.23,255.26,61.55,72.45,761.01,7.62,35.78,57.98,17.89,133.96,35.58,58.85,163.07,HOU
6,1,3.6,1,0.37,0.07,0.07,796.8,1891.53,459.47,596.13,368.2,299.0,728.4,1027.4,454.07,513.87,246.67,459.8,114.87,789.8,1966.93,487.93,154.47,464.47,311.87,1005.6,498.27,626.6,247.53,454.2,111.4,33.2,160822.53,0.57,0.43,0.72,0.28,0.42,0.58,0.55,0.45,6.0,4.73,1.23,2.16,0.42,0.77,30.71,26.15,70.22,0.38,0.87,0.02,1.82,6.37,3.88,0.75,0.15,1972.58,0.38,297.77,74.1,71.89,933.93,7.82,44.95,44.08,14.49,155.31,40.85,70.36,159.37,HOU
7,1,3.43,1,0.55,0.19,0.05,814.86,1899.67,478.76,622.95,321.57,292.43,715.71,1008.14,457.76,533.05,246.48,449.86,112.05,806.43,1960.38,508.24,152.62,452.62,301.05,992.86,510.48,643.29,233.1,461.86,111.29,33.43,149352.1,0.57,0.43,0.7,0.3,0.43,0.57,0.54,0.46,6.0,4.02,1.08,1.95,0.42,0.74,30.03,22.09,66.88,0.38,1.03,0.05,2.83,8.29,3.82,0.67,0.14,1974.79,0.46,254.27,63.55,71.66,821.56,8.32,35.0,35.56,14.17,133.77,36.51,64.31,160.61,HOU
