year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_1,GS,PF,POSITION_METRIC,PostAssists,PostBlocks,PostDQ,PostGP,PostGS,PostPF,PostRebounds,PostSteals,PostTurnovers,PostftAttempted,PostoRebounds,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight
9,0,4.03,0,0.44,0.21,0.11,860.47,2038.74,488.24,650.74,464.18,329.89,731.95,1061.84,520.96,653.28,262.68,509.8,122.5,860.24,2040.76,650.5,156.9,463.34,330.71,1061.6,520.77,653.22,263.12,509.15,121.46,33.32,141785.94,0.5,0.5,0.61,0.39,0.39,0.61,0.5,0.5,ATL,2.85,0.75,1.87,0.42,0.78,32.67,20.71,59.23,0.34,3.75,0.47,0.29,2.59,1.18,5.21,6.1,0.91,3.17,2.26,1.62,9.61,0.54,0.0,1980.61,0.0,249.16,59.34,70.68,719.78,7.51,25.9,86.85,7.79,101.46,26.39,65.99,149.91
10,0,7.0,1,0.0,0.0,0.0,895.0,2258.0,542.0,725.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,1014.0,2254.0,918.0,172.0,502.0,401.0,1265.0,684.0,726.0,310.0,561.0,134.0,34.0,141379.0,0.12,0.88,0.06,0.94,0.18,0.82,0.1,0.9,ATL,3.91,0.96,1.76,0.43,0.73,30.22,20.61,74.39,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,1981.52,1.0,231.87,50.79,72.39,702.22,6.37,36.74,57.05,12.33,112.77,27.82,50.71,155.94
11,0,2.0,1,0.5,0.0,0.0,1089.0,2428.0,569.0,755.0,374.0,404.0,855.0,1259.0,547.0,741.0,329.0,590.0,121.0,996.0,2363.0,807.0,181.0,530.0,353.0,1174.0,615.0,700.0,347.0,601.0,133.0,34.0,120737.0,0.53,0.47,0.71,0.29,0.35,0.65,0.45,0.55,ATL,4.16,1.05,1.74,0.44,0.74,33.33,21.03,72.1,0.38,3.92,0.25,0.0,1.7,1.21,4.45,5.5,1.83,5.05,4.43,1.51,2.3,0.58,0.09,1983.61,0.7,264.77,56.53,72.7,779.36,4.38,42.36,41.02,15.77,145.29,37.4,64.04,165.18
2,0,8.0,1,0.0,0.0,0.0,812.0,1903.0,431.0,577.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,879.0,1930.0,716.0,138.0,423.0,326.0,990.0,596.0,596.0,259.0,426.0,123.0,32.0,90963.0,0.25,0.75,0.31,0.69,0.19,0.81,0.24,0.76,CHA,3.01,0.99,1.92,0.42,0.77,29.94,17.27,69.46,0.35,0.74,0.19,0.0,0.92,0.18,1.69,2.29,0.28,0.94,0.9,1.0,1.27,0.63,0.0,1972.13,0.59,228.86,53.81,70.18,763.84,5.82,26.22,66.67,9.35,91.66,30.44,59.83,157.16
3,0,4.0,1,1.0,1.0,0.5,746.0,1780.0,410.0,528.0,428.0,309.0,639.0,948.0,467.0,605.0,217.0,474.0,114.0,732.0,1846.0,562.0,114.0,369.0,344.0,911.0,443.0,579.0,257.0,447.0,124.0,32.0,105525.0,0.56,0.44,0.69,0.31,0.44,0.56,0.71,0.29,CHA,3.28,0.84,1.82,0.4,0.77,30.58,21.98,66.15,0.33,14.72,3.03,0.0,6.73,5.13,15.09,23.2,5.98,12.58,10.29,6.63,13.96,0.62,0.0,1972.98,0.68,220.32,48.14,70.89,777.66,6.17,34.2,58.42,15.54,124.92,32.49,69.57,163.45
4,0,2.0,1,0.5,0.0,0.0,770.0,1790.0,490.0,663.0,527.0,302.0,653.0,955.0,496.0,647.0,241.0,408.0,105.0,778.0,1807.0,598.0,133.0,372.0,295.0,915.0,489.0,600.0,208.0,424.0,103.0,32.0,106670.0,0.56,0.44,0.69,0.31,0.44,0.56,0.57,0.43,CHA,3.58,1.0,1.58,0.42,0.75,30.88,24.16,75.2,0.32,4.16,0.43,0.0,1.79,1.53,3.23,7.75,2.22,3.28,2.47,2.46,5.92,0.66,0.0,1973.75,0.86,231.03,62.18,70.58,825.25,7.22,34.58,72.41,11.99,120.25,33.62,53.13,158.22
5,0,2.0,0,0.5,0.0,0.0,787.0,1881.0,456.0,590.0,517.0,342.0,629.0,971.0,499.0,697.0,279.0,497.0,115.0,790.0,1902.0,667.0,138.0,407.0,386.0,1007.0,491.0,606.0,264.0,469.0,104.0,34.0,120061.0,0.53,0.47,0.76,0.24,0.29,0.71,0.5,0.5,CHA,3.71,1.1,1.85,0.41,0.78,32.37,27.13,85.78,0.29,3.27,0.62,0.0,1.95,1.51,4.8,7.51,1.42,3.54,3.74,2.47,4.01,0.67,0.0,1974.09,0.75,232.06,55.74,71.22,878.17,7.39,39.01,62.15,13.98,128.15,37.59,64.36,166.28
6,0,5.0,0,0.0,0.0,0.0,745.0,1744.0,436.0,590.0,459.0,256.0,616.0,872.0,426.0,648.0,210.0,479.0,134.0,800.0,1932.0,587.0,130.0,349.0,368.0,996.0,516.0,595.0,243.0,437.0,114.0,34.0,116383.0,0.47,0.53,0.59,0.41,0.35,0.65,0.4,0.6,CHA,3.63,1.0,1.83,0.4,0.77,33.18,28.45,84.05,0.37,7.45,2.14,0.0,2.95,2.95,7.79,14.75,4.02,8.49,6.0,4.84,4.42,0.66,0.0,1976.92,0.39,264.35,65.13,72.47,890.21,9.05,35.44,54.25,23.36,136.58,37.58,69.85,170.2
7,0,6.0,0,0.0,0.0,0.0,772.0,1913.0,447.0,624.0,301.0,316.0,609.0,925.0,493.0,727.0,284.0,535.0,113.0,851.0,1888.0,713.0,124.0,339.0,355.0,1055.0,496.0,654.0,269.0,534.0,146.0,34.0,98054.0,0.18,0.82,0.29,0.71,0.06,0.94,0.2,0.8,CHA,3.69,1.06,2.06,0.4,0.74,29.85,23.9,83.08,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1977.18,1.39,241.1,61.04,73.0,801.12,8.76,36.88,29.94,14.82,114.7,33.03,63.68,169.53
7,0,4.03,0,0.44,0.21,0.11,860.47,2038.74,488.24,650.74,464.18,329.89,731.95,1061.84,520.96,653.28,262.68,509.8,122.5,860.24,2040.76,650.5,156.9,463.34,330.71,1061.6,520.77,653.22,263.12,509.15,121.46,33.32,141785.94,0.5,0.5,0.61,0.39,0.39,0.61,0.5,0.5,CHI,2.12,0.59,1.01,0.4,0.68,31.53,11.82,63.38,0.25,2.7,0.47,0.1,3.21,1.76,7.76,8.13,0.99,3.83,6.96,2.45,3.56,0.44,0.0,1979.05,0.05,143.78,26.67,72.52,561.19,6.63,24.14,47.75,7.57,76.46,19.81,35.89,163.21
